5810_8689_000000_000000	Shepherd Paul	Shepherd Paul
5810_8689_000001_000000	Once upon a time a shepherd was taking his flock out to pasture, when he found a little baby lying in a meadow, left there by some wicked person, who thought it was too much trouble to look after it.	Once upon a time a shepherd was taking his flock out to pasture, when he found a little baby lying in a meadow, left there by some wicked person, who thought it was too much trouble to look after it.
5810_8689_000001_000001	The shepherd was fond of children, so he took the baby home with him and gave it plenty of milk, and by the time the boy was fourteen he could tear up oaks as if they were weeds.	The shepherd was fond of children, so he took the baby home with him and gave it plenty of milk, and by the time the boy was fourteen he could tear up oaks as if they were weeds.
5810_8689_000001_000002	Then Paul, as the shepherd had called him, grew tired of living at home, and went out into the world to try his luck.	Then Paul, as the shepherd had called him, grew tired of living at home, and went out into the world to try his luck.
5810_8689_000003_000000	'Good morning, friend,' said Paul; 'upon my word, you must be a strong man!'	'Good morning, friend,' said Paul; 'upon my word, you must be a strong man!'
5810_8689_000004_000000	The man stopped his work and laughed.	The man stopped his work and laughed.
5810_8689_000004_000001	'I am Tree Comber,' he answered proudly; 'and the greatest wish of my life is to wrestle with Shepherd Paul.'	'I am Tree Comber,' he answered proudly; 'and the greatest wish of my life is to wrestle with Shepherd Paul.'
5810_8689_000005_000001	However, in a moment he was up again, and catching hold of Paul, threw him so that he sank up to his waist; but then it was Paul's turn again, and this time the man was buried up to his neck.	However, in a moment he was up again, and catching hold of Paul, threw him so that he sank up to his waist; but then it was Paul's turn again, and this time the man was buried up to his neck.
5810_8689_000006_000000	'Very good,' answered Paul, and they continued their journey together.	'Very good,' answered Paul, and they continued their journey together.
5810_8689_000007_000000	By-and-by they reached a man who was grinding stones to powder in his hands, as if they had been nuts.	By and by they reached a man who was grinding stones to powder in his hands, as if they had been nuts.
5810_8689_000008_000000	'Good morning,' said Paul politely; 'upon my word, you must be a strong fellow!'	'Good morning,' said Paul politely; 'upon my word, you must be a strong fellow!'
5810_8689_000009_000000	'I am Stone Crusher,' answered the man, and the greatest wish of my life is to wrestle with Shepherd Paul.'	'I am Stone Crusher,' answered the man, and the greatest wish of my life is to wrestle with Shepherd Paul.'
5810_8689_000010_000001	After a short time the man declared himself beaten, and begged leave to go with them; so they all three travelled together.	After a short time the man declared himself beaten, and begged leave to go with them; so they all three travelled together.
5810_8689_000012_000000	'I am Iron Kneader, and should like to fight Shepherd Paul,' answered he.	'I am Iron Kneader, and should like to fight Shepherd Paul,' answered he.
5810_8689_000014_000001	'We three will go and look for game,' he said, 'and you, Tree Comber, will stay behind and prepare a good supper for us.' So Tree Comber set to work to boil and roast, and when dinner was nearly ready, a little dwarf with a pointed beard strolled up to the place.	'We three will go and look for game,' he said, 'and you, Tree Comber, will stay behind and prepare a good supper for us.' So Tree Comber set to work to boil and roast, and when dinner was nearly ready, a little dwarf with a pointed beard strolled up to the place.
5810_8689_000015_000001	The dwarf took no notice, but waited patiently till the dinner was cooked, then suddenly throwing Tree Comber on the ground, he ate up the contents of the saucepan and vanished.	The dwarf took no notice, but waited patiently till the dinner was cooked, then suddenly throwing Tree Comber on the ground, he ate up the contents of the saucepan and vanished.
