5810_8689_000000_000000	Shepherd Paul	Shepherd Paul	true	24.555	25.84	21.669722
5810_8689_000001_000000	Once upon a time a shepherd was taking his flock out to pasture, when he found a little baby lying in a meadow, left there by some wicked person, who thought it was too much trouble to look after it.	Once upon a time a shepherd was taking his flock out to pasture, when he found a little baby lying in a meadow, left there by some wicked person, who thought it was too much trouble to look after it.	true	27.92	39.88	23
5810_8689_000001_000001	The shepherd was fond of children, so he took the baby home with him and gave it plenty of milk, and by the time the boy was fourteen he could tear up oaks as if they were weeds.	The shepherd was fond of children, so he took the baby home with him and gave it plenty of milk, and by the time the boy was fourteen he could tear up oaks as if they were weeds.	true	40.88	52.36	23.048937
5810_8689_000001_000002	Then Paul, as the shepherd had called him, grew tired of living at home, and went out into the world to try his luck.	Then Paul, as the shepherd had called him, grew tired of living at home, and went out into the world to try his luck.	true	52.82	60.49	23.55761
5810_8689_000002_000000	He walked on for many miles, seeing nothing that surprised him, but in an open space of the wood he was astonished at finding a man combing trees as another man would comb flax.	He walked on for many miles, seeing nothing that surprised him, but in an open space of the wood he was astonished at finding a man combing trees as another man would comb flax.	false	61.52	73.48	21.911228
5810_8689_000003_000000	'Good morning, friend,' said Paul; 'upon my word, you must be a strong man!'	'Good morning, friend,' said Paul; 'upon my word, you must be a strong man!'	true	75.11	80.44	21.542877
5810_8689_000004_000000	The man stopped his work and laughed.	The man stopped his work and laughed.	true	81.62	84.49	21.010414
5810_8689_000004_000001	'I am Tree Comber,' he answered proudly; 'and the greatest wish of my life is to wrestle with Shepherd Paul.'	'I am Tree Comber,' he answered proudly; 'and the greatest wish of my life is to wrestle with Shepherd Paul.'	true	84.62	92.62	20.291239
5810_8689_000005_000000	'May all your wishes be fulfilled as easily, for I am Shepherd Paul, and can wrestle with you at once,' replied the lad; and he seized Tree Comber and flung him with such force to the ground that he sank up to his knees in the earth.	'May all your wishes be fulfilled as easily, for I am Shepherd Paul, and can wrestle with you at once,' replied the lad; and he seized Tree Comber and flung him with such force to the ground that he sank up to his knees in the earth.	true	93.8	111.64	19.180098
5810_8689_000005_000001	However, in a moment he was up again, and catching hold of Paul, threw him so that he sank up to his waist; but then it was Paul's turn again, and this time the man was buried up to his neck.	However, in a moment he was up again, and catching hold of Paul, threw him so that he sank up to his waist; but then it was Paul's turn again, and this time the man was buried up to his neck.	true	112.04	124.84	21.509373
5810_8689_000005_000002	'That is enough,' cried he; 'I see you are a smart fellow, let us become friends.'	'That is enough,' cried he; 'I see you are a smart fellow, let us become friends.'	false	125.75	131.8	21.28974
5810_8689_000006_000000	'Very good,' answered Paul, and they continued their journey together.	'Very good,' answered Paul, and they continued their journey together.	true	132.38	137.65	23.486767
5810_8689_000007_000000	By-and-by they reached a man who was grinding stones to powder in his hands, as if they had been nuts.	By and by they reached a man who was grinding stones to powder in his hands, as if they had been nuts.	true	138.38	145.6	21.291773
5810_8689_000008_000000	'Good morning,' said Paul politely; 'upon my word, you must be a strong fellow!'	'Good morning,' said Paul politely; 'upon my word, you must be a strong fellow!'	true	146.06	151.54	22.400103
5810_8689_000009_000000	'I am Stone Crusher,' answered the man, and the greatest wish of my life is to wrestle with Shepherd Paul.'	'I am Stone Crusher,' answered the man, and the greatest wish of my life is to wrestle with Shepherd Paul.'	true	152.54	160.81	20.904707
5810_8689_000010_000000	'May all your wishes be as easily fulfilled, for I am Shepherd Paul, and will wrestle with you at once,' and the sport began.	'May all your wishes be as easily fulfilled, for I am Shepherd Paul, and will wrestle with you at once,' and the sport began.	true	161.36	170.83	18.085106
5810_8689_000010_000001	After a short time the man declared himself beaten, and begged leave to go with them; so they all three travelled together.	After a short time the man declared himself beaten, and begged leave to go with them; so they all three travelled together.	true	171.29	178.9	23
5810_8689_000011_000000	A little further on they came upon a man who was kneading iron as if it had been dough.	A little further on they came upon a man who was kneading iron as if it had been dough.	true	180.38	185.53	18
5810_8689_000011_000001	'Good morning,' said Paul, 'you must be a strong fellow.'	'Good morning,' said Paul, 'you must be a strong fellow.'	true	186.17	190.3	19.178694
