6099_67860_000002_000000	CHAPTER XVII	CHAPTER seventeen
6099_67860_000003_000000	A CHRISTMAS PRESENT	A CHRISTMAS PRESENT
6099_67860_000004_000001	He still hoped that his little girl might be found.	He still hoped that his little girl might be found.
6099_67860_000004_000002	A party of soldiers, headed by Captain Carleton, had started to search for her on Sullivan's Island, but this had not been determined upon until late in the evening, at about the time when Estralla and Sylvia were embarking upon their adventurous voyage to Fort Sumter.	A party of soldiers, headed by Captain Carleton, had started to search for her on Sullivan's Island, but this had not been determined upon until late in the evening, at about the time when Estralla and Sylvia were embarking upon their adventurous voyage to Fort Sumter.
6099_67860_000005_000000	No one had given a thought to the little darky girl.	No one had given a thought to the little darky girl.
6099_67860_000005_000001	She was supposed to be somewhere about the fort.	She was supposed to be somewhere about the fort.
6099_67860_000006_000000	Grace, warmly wrapped in a thick shawl, sat beside Mr. Fulton as the Butterfly made its swift way across the dark harbor.	Grace, warmly wrapped in a thick shawl, sat beside mr Fulton as the Butterfly made its swift way across the dark harbor.
6099_67860_000006_000001	They could see the dark line of the guard-boat, but they were not molested and came into the wharf safely.	They could see the dark line of the guard boat, but they were not molested and came into the wharf safely.
6099_67860_000006_000003	Neither of them spoke until they reached the walk leading to the door of Grace's home, then Grace said:	Neither of them spoke until they reached the walk leading to the door of Grace's home, then Grace said:
6099_67860_000008_000000	"Estralla!	"Estralla!
6099_67860_000008_000001	Why, I had entirely forgotten her," responded Mr. Fulton.	Why, I had entirely forgotten her," responded mr Fulton.
6099_67860_000009_000000	"She ran off as soon as Sylvia was missed," Grace continued earnestly, "and she will find her.	"She ran off as soon as Sylvia was missed," Grace continued earnestly, "and she will find her.
6099_67860_000010_000001	Estralla is a clever little darky, and if she started in search of Sylvia perhaps she has been able to find her.	Estralla is a clever little darky, and if she started in search of Sylvia perhaps she has been able to find her.
6099_67860_000010_000002	I had not thought of it," and Mr. Fulton's voice had a new note of hope.	I had not thought of it," and mr Fulton's voice had a new note of hope.
6099_67860_000011_000000	"Thank you, Grace.	"Thank you, Grace.
6099_67860_000011_000001	I will start back to the fort as soon as I have talked with Sylvia's mother."	I will start back to the fort as soon as I have talked with Sylvia's mother."
6099_67860_000012_000000	But on Mr. Fulton's return to the wharf he found a sentry on guard who refused him permission to go to the fort.	But on mr Fulton's return to the wharf he found a sentry on guard who refused him permission to go to the fort.
6099_67860_000012_000001	It was in vain that Mr. Fulton explained that his little daughter was lost, that he must be permitted to return to the fort.	It was in vain that mr Fulton explained that his little daughter was lost, that he must be permitted to return to the fort.
6099_67860_000013_000000	The sentry wasted no words.	The sentry wasted no words.
6099_67860_000013_000001	"Orders, sir.	"Orders, sir.
6099_67860_000013_000002	Sorry," was the only response he could get, and at midnight Mr. Fulton was in his own house looking out over the harbor.	Sorry," was the only response he could get, and at midnight mr Fulton was in his own house looking out over the harbor.
6099_67860_000014_000000	He realized that in that case it would not be possible for his family to remain in Charleston.	He realized that in that case it would not be possible for his family to remain in Charleston.
6099_67860_000016_000000	They landed at the wharf where the Butterfly was fastened, and before Captain Gerald had stepped on shore Sylvia called out: "Father!	They landed at the wharf where the Butterfly was fastened, and before Captain Gerald had stepped on shore Sylvia called out: "Father!
6099_67860_000016_000002	And Mother, too!" and in another moment her mother's arms were about her, and she was telling as rapidly as possible the story of her adventures, and of Estralla coming to her rescue.	And Mother, too!" and in another moment her mother's arms were about her, and she was telling as rapidly as possible the story of her adventures, and of Estralla coming to her rescue.
6099_67860_000017_000000	Grace came running to meet Sylvia as they came near their home.	Grace came running to meet Sylvia as they came near their home.
6099_67860_000018_000000	"Oh, Sylvia, I wish I had been with you," she exclaimed.	"Oh, Sylvia, I wish I had been with you," she exclaimed.
6099_67860_000018_000001	"That is twice you have been to Fort Sumter without meaning to go, isn't it?"	"That is twice you have been to Fort Sumter without meaning to go, isn't it?"
6099_67860_000019_000000	"We will hope that her next visit will not be as dangerous as this one," said Mr. Fulton soberly.	"We will hope that her next visit will not be as dangerous as this one," said mr Fulton soberly.
6099_67860_000020_000000	For several days Sylvia could think and talk only of her wanderings among the sand-hills, and of her first sight of the guard-boat.	For several days Sylvia could think and talk only of her wanderings among the sand hills, and of her first sight of the guard boat.
6099_67860_000020_000001	She began teaching Estralla on the very day of her return, and the little darky made rapid progress.	She began teaching Estralla on the very day of her return, and the little darky made rapid progress.
