7520_258986_000001_000000	CHAPTER 34	CHAPTER thirty four
7520_258986_000002_000000	GROWTH OF TRUSTS AND COMBINATIONS IN THE UNITED STATES	GROWTH OF TRUSTS AND COMBINATIONS IN THE UNITED STATES
7520_258986_000007_000000	1.	one.
7520_258986_000007_000002	In popular discussion, however, the word frequently implies great wealth in a single hand, though this wealth may be invested in a large number of small industries.	In popular discussion, however, the word frequently implies great wealth in a single hand, though this wealth may be invested in a large number of small industries.
7520_258986_000007_000003	Large production is the concentration of capital into large units of industry.	Large production is the concentration of capital into large units of industry.
7520_258986_000007_000004	The capital may be the same as before, the ownership may or may not be widely diffused, but the control and management are unified.	The capital may be the same as before, the ownership may or may not be widely diffused, but the control and management are unified.
7520_258986_000007_000005	Large factories may or may not have monopoly power; as factories grow in size, competition among them often becomes more, not less, complete and severe.	Large factories may or may not have monopoly power; as factories grow in size, competition among them often becomes more, not less, complete and severe.
7520_258986_000007_000006	On the contrary, monopoly, as before defined, may exist where the industry is small, as the waterworks in a small town, or a small factory for making patented articles.	On the contrary, monopoly, as before defined, may exist where the industry is small, as the waterworks in a small town, or a small factory for making patented articles.
7520_258986_000011_000002	One billion people use only tools, and have no better source and means of power than domestic animals.	One billion people use only tools, and have no better source and means of power than domestic animals.
7520_258986_000011_000004	About two hundred million people live in the stage of simple machines and small factories.	About two hundred million people live in the stage of simple machines and small factories.
7520_258986_000011_000005	These are found in eastern and southern Europe, small portions of South America, some parts even of the United States.	These are found in eastern and southern Europe, small portions of South America, some parts even of the United States.
7520_258986_000011_000006	In this stage there is not enough manufacturing power in the community to supply much more than its own needs.	In this stage there is not enough manufacturing power in the community to supply much more than its own needs.
7520_258986_000011_000007	About two hundred million people in the United States and western Europe have reached the third and highest industrial plane, where the highest mechanical devices are employed and industry becomes highly specialized.	About two hundred million people in the United States and western Europe have reached the third and highest industrial plane, where the highest mechanical devices are employed and industry becomes highly specialized.
7520_258986_000011_000008	These differences are broadly stated; there are contrasts within every nation.	These differences are broadly stated; there are contrasts within every nation.
7520_258986_000011_000009	Three hundred miles from here, in the Alleghanies, people still can be found spinning and weaving and wearing homespun as in colonial days.	Three hundred miles from here, in the Alleghanies, people still can be found spinning and weaving and wearing homespun as in colonial days.
7520_258986_000011_000010	In a trip of twenty miles in Tyrol or Switzerland one can observe every one of these industrial stages.	In a trip of twenty miles in Tyrol or Switzerland one can observe every one of these industrial stages.
7520_258986_000011_000011	The most striking development, if not the typical form, in America to-day is large or concentrated industry.	The most striking development, if not the typical form, in America to day is large or concentrated industry.
7520_258986_000014_000000	3.	three.
7520_258986_000014_000002	The early factories growing out of the household industry were small.	The early factories growing out of the household industry were small.
7520_258986_000014_000003	A family specialized in producing cloth and exchanged with its neighbors; so with shoes, candles, soap, canned goods, cured meats, etc.	A family specialized in producing cloth and exchanged with its neighbors; so with shoes, candles, soap, canned goods, cured meats, etc
7520_258986_000014_000004	Since that time two counter forces have been at work to affect the ratio of manufacturing establishments to population.	Since that time two counter forces have been at work to affect the ratio of manufacturing establishments to population.
7520_258986_000014_000005	The number of establishments has been increased by specialization of farming which has called for many industries to produce the things once made on farms, and by increasing wealth and invention, which has made possible many small industries supplying things before almost unknown.	The number of establishments has been increased by specialization of farming which has called for many industries to produce the things once made on farms, and by increasing wealth and invention, which has made possible many small industries supplying things before almost unknown.
7520_258986_000014_000006	The number of establishments has been diminished as the staple products that can be transported have come to be made in larger factories.	The number of establishments has been diminished as the staple products that can be transported have come to be made in larger factories.
7520_258986_000014_000007	The resultant of these movements during the thirty years ending in 1900 is somewhat surprising: the ratio of factories (with an output worth five hundred dollars) to population has somewhat increased.	The resultant of these movements during the thirty years ending in nineteen hundred is somewhat surprising: the ratio of factories (with an output worth five hundred dollars) to population has somewhat increased.
7520_258986_000014_000008	In 1870 there were two hundred and fifty-two thousand establishments; in 1890, three hundred and fifty-five thousand, and in 1900, five hundred and twelve thousand, a ratio to population of one to one hundred and sixty-two, one hundred and seventy-seven, and one hundred and forty-four respectively.	In eighteen seventy there were two hundred and fifty two thousand establishments; in eighteen ninety, three hundred and fifty five thousand, and in nineteen hundred, five hundred and twelve thousand, a ratio to population of one to one hundred and sixty two, one hundred and seventy seven, and one hundred and forty four respectively.
7520_258986_000014_000009	The last date was one of great industrial prosperity, and doubtless many ephemeral enterprises had been called into existence, thus giving a somewhat abnormal result.	The last date was one of great industrial prosperity, and doubtless many ephemeral enterprises had been called into existence, thus giving a somewhat abnormal result.
7520_258986_000014_000010	Moreover, there has been a large increase in the number of things made in factories which were formerly made in the homes, and which then did not appear at all in the census of manufactures.	Moreover, there has been a large increase in the number of things made in factories which were formerly made in the homes, and which then did not appear at all in the census of manufactures.
7520_258986_000016_000001	The population meantime doubled.	The population meantime doubled.
