7069_246889_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.	true	4.41	6.58	12
7069_246889_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.	true	6.77	9.79	15
7069_246889_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.	true	10.13	15.54	19
7069_246889_000001_000000	THOMAS WINGFOLD, CURATE ***	THOMAS w i n g f o l d, CURATE asterisk asterisk asterisk	false	15.54	16.74	24.05044
7069_246889_000002_000000	Produced by Charles Franks, Charles Aldarondo, and the Online Distributed Proofreading Team	Produced by Charles Franks, Charles Aldarondo, and the Online Distributed Proofreading Team	false	16.74	20.325	16.535563
7069_246889_000003_000000	THOMAS WINGFOLD, CURATE.	THOMAS w i n g f o l d, CURATE.	false	20.325	21.9	12
7069_246889_000004_000000	By George MacDonald, LL.D.	By George MacDonald, l l.D.	false	21.9	24.21	18.537405
7069_246889_000005_000000	IN THREE VOLUMES.	IN THREE VOLUMES.	false	24.21	24.63	-20
7069_246889_000006_000000	VOLUME I.	VOLUME one	false	24.63	24.93	-20
7069_246889_000007_000000	THOMAS WINGFOLD, CURATE.	THOMAS w i n g f o l d, CURATE.	false	24.93	26.355	0
7069_246889_000008_000000	CHAPTER I.	CHAPTER one	true	26.355	27.4	21.948061
7069_246889_000009_000000	HELEN LINGARD.	HELEN LINGARD.	true	27.41	29.29	20.30648
7069_246889_000010_000000	A swift, gray November wind had taken every chimney of the house for an organ-pipe, and was roaring in them all at once, quelling the more distant and varied noises of the woods, which moaned and surged like a sea.	A swift, gray November wind had taken every chimney of the house for an organ pipe, and was roaring in them all at once, quelling the more distant and varied noises of the woods, which moaned and surged like a sea.	true	29.6	44.05	17.737852
7069_246889_000010_000001	Helen Lingard had not been out all day.	Helen Lingard had not been out all day.	true	45.2	48.25	18
7069_246889_000010_000002	The morning, indeed, had been fine, but she had been writing a long letter to her brother Leopold at Cambridge, and had put off her walk in the neighbouring park till after luncheon, and in the meantime the wind had risen, and brought with it a haze that threatened rain.	The morning, indeed, had been fine, but she had been writing a long letter to her brother Leopold at Cambridge, and had put off her walk in the neighbouring park till after luncheon, and in the meantime the wind had risen, and brought with it a haze that threatened rain.	true	48.8	66.55	19.24997
7069_246889_000010_000003	She was in admirable health, had never had a day's illness in her life, was hardly more afraid of getting wet than a young farmer, and enjoyed wind, especially when she was on horseback.	She was in admirable health, had never had a day's illness in her life, was hardly more afraid of getting wet than a young farmer, and enjoyed wind, especially when she was on horseback.	false	67.31	79.54	19
7069_246889_000010_000004	Yet as she stood looking from her window, across a balcony where shivered more than one autumnal plant that ought to have been removed a week ago, out upon the old-fashioned garden and meadows beyond, where each lonely tree bowed with drifting garments--I was going to say, like a suppliant, but it was AWAY from its storming enemy--she did not feel inclined to go out.	Yet as she stood looking from her window, across a balcony where shivered more than one autumnal plant that ought to have been removed a week ago, out upon the old-fashioned garden and meadows beyond, where each lonely tree bowed with drifting garments-I was going to say, like a suppliant, but it was AWAY from its storming enemy-she did not feel inclined to go out.	true	80	109.99	19.757658
7069_246889_000010_000005	That she was healthy was no reason why she should be unimpressible, any more than that good temper should be a reason for indifference to the behaviour of one's friend.	That she was healthy was no reason why she should be unimpressible, any more than that good temper should be a reason for indifference to the behaviour of one's friend.	false	110.57	120.73	14
