3703_71550_000001_000000	CHAPTER XXXVI	CHAPTER thirty six
3703_71550_000002_000001	It was of an order requiring a more serious atmosphere.	It was of an order requiring a more serious atmosphere.
3703_71550_000003_000000	"Since the Dowager took her up she's far too grand for the likes of us," she said.	"Since the Dowager took her up she's far too grand for the likes of us," she said.
3703_71550_000004_000000	So to speak, Feather blew about from one place to another.	So to speak, Feather blew about from one place to another.
3703_71550_000004_000001	She had never found life so exciting and excitement had become more vitally necessary to her existence as the years had passed.	She had never found life so exciting and excitement had become more vitally necessary to her existence as the years had passed.
3703_71550_000004_000002	She still looked extraordinarily youthful and if her face was at times rather marvelous in its white and red, and her lips daring in their pomegranate scarlet, the fine grain of her skin aided her effects and she was dazzlingly in the fashion.	She still looked extraordinarily youthful and if her face was at times rather marvelous in its white and red, and her lips daring in their pomegranate scarlet, the fine grain of her skin aided her effects and she was dazzlingly in the fashion.
3703_71550_000004_000003	She had never worn such enchanting clothes and never had seemed to possess so many.	She had never worn such enchanting clothes and never had seemed to possess so many.
3703_71550_000005_000001	"That's my gift. Helene says I have genius.	"That's my gift. Helene says I have genius.
3703_71550_000005_000003	I have a little slave woman who does that by the day.	I have a little slave woman who does that by the day.
3703_71550_000005_000004	She admires me and will do anything that I tell her.	She admires me and will do anything that I tell her.
3703_71550_000005_000005	Things are so delightfully scant and short now that you can cut two or three frocks out of one of your old petticoats--and mine were never very old."	Things are so delightfully scant and short now that you can cut two or three frocks out of one of your old petticoats-and mine were never very old."
3703_71550_000006_000000	There was probably a modicum of truth in this--the fact remained that the garments which were more scant and shorter than those of any other feathery person were also more numerous and exquisite.	There was probably a modicum of truth in this-the fact remained that the garments which were more scant and shorter than those of any other feathery person were also more numerous and exquisite.
3703_71550_000006_000001	Her patriotic entertainment of soldiers who required her special order of support and recreation was fast and furious.	Her patriotic entertainment of soldiers who required her special order of support and recreation was fast and furious.
3703_71550_000006_000003	She was such a success that important personages smiled on her and asked her to appear under undreamed of auspices.	She was such a success that important personages smiled on her and asked her to appear under undreamed of auspices.
3703_71550_000006_000004	Secretly triumphant though she was, she never so far lost her head as to do anything which would bore her or cause her to appear at less than an alluring advantage.	Secretly triumphant though she was, she never so far lost her head as to do anything which would bore her or cause her to appear at less than an alluring advantage.
3703_71550_000006_000006	She found herself strung to her highest pitch of excitement by the air raids, which in the midst of their terrors had the singular effect of exciting many people and filling them with an insane recklessness.	She found herself strung to her highest pitch of excitement by the air raids, which in the midst of their terrors had the singular effect of exciting many people and filling them with an insane recklessness.
3703_71550_000006_000007	Those so excited somehow seemed to feel themselves immune. Feather chattered about "Zepps" as if bombs could only wreak their vengeance upon coast towns and the lower orders.	Those so excited somehow seemed to feel themselves immune. Feather chattered about "Zepps" as if bombs could only wreak their vengeance upon coast towns and the lower orders.
3703_71550_000007_000000	When Lord Coombe definitely refused to allow her to fit up the roof of the slice of a house as a sort of luxurious Royal Box from which she and her friends might watch the spectacle, she found among her circle acquaintances who shared her thrills and had prepared places for themselves.	When Lord Coombe definitely refused to allow her to fit up the roof of the slice of a house as a sort of luxurious Royal Box from which she and her friends might watch the spectacle, she found among her circle acquaintances who shared her thrills and had prepared places for themselves.
3703_71550_000007_000001	Sometimes she was even rather indecently exhilarated by her sense of high adventure.	Sometimes she was even rather indecently exhilarated by her sense of high adventure.
3703_71550_000007_000002	The fact was that the excitement of the seething world about her had overstrung her trivial being and turned her light head until it whirled too fast.	The fact was that the excitement of the seething world about her had overstrung her trivial being and turned her light head until it whirled too fast.
