7000_83696_000000_000000	WILLYUM.	w i l l y u m.	false	8.64	25.5	24.56894
7000_83696_000001_000000	I had been seated in the next chair to hers for at least two minutes. I felt that it was time to introduce myself.	I had been seated in the next chair to hers for at least two minutes. I felt that it was time to introduce myself.	true	25.5	31.81	24.741272
7000_83696_000002_000000	"It's a fine evening."	"It's a fine evening."	true	32.39	33.82	26.83648
7000_83696_000003_000000	She turned, she looked me up and down, then she looked straight in front of her again.	She turned, she looked me up and down, then she looked straight in front of her again.	true	34.34	39.34	26.574938
7000_83696_000004_000000	"I don't know you."	"I don't know you."	true	39.95	41.17	18.366014
7000_83696_000005_000000	But I was not to be crushed; there was something about the shape of her that which suggested sociability.	But I was not to be crushed; there was something about the shape of her that which suggested sociability.	true	41.87	48.1	23.300718
7000_83696_000006_000000	"That is my misfortune, rather than my fault."	"That is my misfortune, rather than my fault."	true	49.16	52.15	25.05006
7000_83696_000007_000000	"I don't know nothing at all about that.	"I don't know nothing at all about that.	true	52.79	54.97	22.773022
7000_83696_000007_000001	I do not speak to strangers as a rule.	I do not speak to strangers as a rule.	true	55.22	57.55	24.052446
7000_83696_000007_000002	Sometimes there's never no knowing who they are."	Sometimes there's never no knowing who they are."	true	57.86	61.06	23.372362
7000_83696_000008_000000	I felt that I was getting on--so I went on.	I felt that I was getting on-so I went on.	true	61.64	64.63	28.324453
7000_83696_000009_000000	"What do you think of the band?"	"What do you think of the band?"	true	65.21	66.85	26.699091
7000_83696_000010_000000	"It's not loud enough for me.	"It's not loud enough for me.	true	67.82	69.52	32.33186
7000_83696_000010_000001	I like a band as I can hear."	I like a band as I can hear."	true	69.62	71.74	21.847225
7000_83696_000011_000000	One suspected there might be occasions on which one could almost like a band which one could not hear, but I did not say so.	One suspected there might be occasions on which one could almost like a band which one could not hear, but I did not say so.	false	72.41	79.57	26.009842
7000_83696_000011_000001	That broke the ice, and the conversation drifting on to personal topics she explained to me that she had a young man, who, so to speak, was "resting," owing to what she called a "difference" which she had had with him.	That broke the ice, and the conversation drifting on to personal topics she explained to me that she had a young man, who, so to speak, was "resting," owing to what she called a "difference" which she had had with him.	false	80.18	94.54	25.04032
7000_83696_000011_000002	It struck me that the tale, as she told it, contained elements of tragedy.	It struck me that the tale, as she told it, contained elements of tragedy.	true	94.97	99.82	25.568827
7000_83696_000012_000000	"Bakers," she observed, "is what I like.	"Bakers," she observed, "is what I like.	true	101.18	103.96	25.47107
