2992_164100_000003_000000	SLAVES	SLAVES
2992_164100_000005_000000	I glanced at Perry as the thing passed me to inspect him.	I glanced at Perry as the thing passed me to inspect him.
2992_164100_000005_000002	When it passed on, he turned to me.	When it passed on, he turned to me.
2992_164100_000006_000000	"A rhamphorhynchus of the Middle Olitic, David," he said, "but, gad, how enormous!	"A rhamphorhynchus of the Middle Olitic, David," he said, "but, gad, how enormous!
2992_164100_000007_000000	As we continued on through the main avenue of Phutra we saw many thousand of the creatures coming and going upon their daily duties. They paid but little attention to us.	As we continued on through the main avenue of Phutra we saw many thousand of the creatures coming and going upon their daily duties. They paid but little attention to us.
2992_164100_000007_000003	The streets are broad and of a uniform height of twenty feet.	The streets are broad and of a uniform height of twenty feet.
2992_164100_000007_000004	At intervals tubes pierce the roof of this underground city, and by means of lenses and reflectors transmit the sunlight, softened and diffused, to dispel what would otherwise be Cimmerian darkness.	At intervals tubes pierce the roof of this underground city, and by means of lenses and reflectors transmit the sunlight, softened and diffused, to dispel what would otherwise be Cimmerian darkness.
2992_164100_000007_000005	In like manner air is introduced.	In like manner air is introduced.
2992_164100_000008_000001	The method of communication between these two was remarkable in that no spoken words were exchanged.	The method of communication between these two was remarkable in that no spoken words were exchanged.
2992_164100_000008_000002	They employed a species of sign language.	They employed a species of sign language.
2992_164100_000008_000003	As I was to learn later, the Mahars have no ears, not any spoken language.	As I was to learn later, the Mahars have no ears, not any spoken language.
2992_164100_000008_000004	Among themselves they communicate by means of what Perry says must be a sixth sense which is cognizant of a fourth dimension.	Among themselves they communicate by means of what Perry says must be a sixth sense which is cognizant of a fourth dimension.
2992_164100_000009_000000	I never did quite grasp him, though he endeavored to explain it to me upon numerous occasions.	I never did quite grasp him, though he endeavored to explain it to me upon numerous occasions.
2992_164100_000009_000001	I suggested telepathy, but he said no, that it was not telepathy since they could only communicate when in each others' presence, nor could they talk with the Sagoths or the other inhabitants of Pellucidar by the same method they used to converse with one another.	I suggested telepathy, but he said no, that it was not telepathy since they could only communicate when in each others' presence, nor could they talk with the Sagoths or the other inhabitants of Pellucidar by the same method they used to converse with one another.
2992_164100_000010_000000	"What they do," said Perry, "is to project their thoughts into the fourth dimension, when they become appreciable to the sixth sense of their listener.	"What they do," said Perry, "is to project their thoughts into the fourth dimension, when they become appreciable to the sixth sense of their listener.
2992_164100_000010_000001	Do I make myself quite clear?"	Do I make myself quite clear?"
2992_164100_000011_000000	"You do not, Perry," I replied.	"You do not, Perry," I replied.
2992_164100_000011_000001	He shook his head in despair, and returned to his work.	He shook his head in despair, and returned to his work.
2992_164100_000011_000002	They had set us to carrying a great accumulation of Maharan literature from one apartment to another, and there arranging it upon shelves.	They had set us to carrying a great accumulation of Maharan literature from one apartment to another, and there arranging it upon shelves.
2992_164100_000012_000000	During this period my thoughts were continually upon Dian the Beautiful.	During this period my thoughts were continually upon Dian the Beautiful.
2992_164100_000013_000001	So great were the number of slaves who waited upon the inhabitants of Phutra that none of us was apt to be overburdened with work, nor were our masters unkind to us.	So great were the number of slaves who waited upon the inhabitants of Phutra that none of us was apt to be overburdened with work, nor were our masters unkind to us.
2992_164100_000014_000000	We hid our new weapons beneath the skins which formed our beds, and then Perry conceived the idea of making bows and arrows--weapons apparently unknown within Pellucidar.	We hid our new weapons beneath the skins which formed our beds, and then Perry conceived the idea of making bows and arrows-weapons apparently unknown within Pellucidar.
2992_164100_000015_000000	We had completed these arrangements for our protection after leaving Phutra when the Sagoths who had been sent to recapture the escaped prisoners returned with four of them, of whom Hooja was one.	We had completed these arrangements for our protection after leaving Phutra when the Sagoths who had been sent to recapture the escaped prisoners returned with four of them, of whom Hooja was one.
2992_164100_000015_000001	Dian and two others had eluded them.	Dian and two others had eluded them.
2992_164100_000015_000004	What had become of them he had not the faintest conception--they might be wandering yet, lost within the labyrinthine tunnel, if not dead from starvation.	What had become of them he had not the faintest conception-they might be wandering yet, lost within the labyrinthine tunnel, if not dead from starvation.
2992_164100_000016_000000	I was now still further apprehensive as to the fate of Dian, and at this time, I imagine, came the first realization that my affection for the girl might be prompted by more than friendship.	I was now still further apprehensive as to the fate of Dian, and at this time, I imagine, came the first realization that my affection for the girl might be prompted by more than friendship.
2992_164100_000016_000001	During my waking hours she was constantly the subject of my thoughts, and when I slept her dear face haunted my dreams.	During my waking hours she was constantly the subject of my thoughts, and when I slept her dear face haunted my dreams.
2992_164100_000018_000000	"Diminutive world!" he scoffed.	"Diminutive world!" he scoffed.
2992_164100_000019_000000	"Look," he cried, pointing to it, "this is evidently water, and all this land.	"Look," he cried, pointing to it, "this is evidently water, and all this land.
2992_164100_000019_000001	Do you notice the general configuration of the two areas? Where the oceans are upon the outer crust, is land here.	Do you notice the general configuration of the two areas? Where the oceans are upon the outer crust, is land here.
2992_164100_000019_000002	These relatively small areas of ocean follow the general lines of the continents of the outer world.	These relatively small areas of ocean follow the general lines of the continents of the outer world.
