5604_26956_000002_000000	FRUIT IS SEED.	FRUIT IS SEED.
5604_26956_000004_000001	Even you are getting tired, with all your patience, my Tito; confess it.	Even you are getting tired, with all your patience, my Tito; confess it.
5604_26956_000005_000001	The attitude had been a frequent one, and Tito was accustomed, when he felt her hand there, to raise his head, throw himself a little backward, and look up at her. But he felt now as unable to raise his head as if her hand had been a leaden cowl.	The attitude had been a frequent one, and Tito was accustomed, when he felt her hand there, to raise his head, throw himself a little backward, and look up at her. But he felt now as unable to raise his head as if her hand had been a leaden cowl.
5604_26956_000005_000002	He spoke instead, in a light tone, as his pen still ran along.	He spoke instead, in a light tone, as his pen still ran along.
5604_26956_000006_000000	"The French are as ready to go from Florence as the wasps to leave a ripe pear when they have just fastened on it."	"The French are as ready to go from Florence as the wasps to leave a ripe pear when they have just fastened on it."
5604_26956_000007_000000	Romola, keenly sensitive to the absence of the usual response, took away her hand and said, "I am going, Tito."	Romola, keenly sensitive to the absence of the usual response, took away her hand and said, "I am going, Tito."
5604_26956_000008_000000	"Farewell, my sweet one.	"Farewell, my sweet one.
5604_26956_000008_000002	Take Maso with you."	Take Maso with you."
5604_26956_000009_000000	Still Tito did not look up, and Romola went out without saying any more. Very slight things make Epochs in married life, and this morning for the first time she admitted to herself not only that Tito had changed, but that he had changed towards her.	Still Tito did not look up, and Romola went out without saying any more. Very slight things make Epochs in married life, and this morning for the first time she admitted to herself not only that Tito had changed, but that he had changed towards her.
5604_26956_000009_000001	Did the reason lie in herself? She might perhaps have thought so, if there had not been the facts of the armour and the picture to suggest some external event which was an entire mystery to her.	Did the reason lie in herself? She might perhaps have thought so, if there had not been the facts of the armour and the picture to suggest some external event which was an entire mystery to her.
5604_26956_000010_000003	He was about to take a step which he knew would arouse her deep indignation; he would have to encounter much that was unpleasant before he could win her forgiveness.	He was about to take a step which he knew would arouse her deep indignation; he would have to encounter much that was unpleasant before he could win her forgiveness.
