5604_26956_000000_000000	He was tempted, and bought the cheapest Greek book he could see.	He was tempted, and bought the cheapest Greek book he could see.	false	0	3	22.064232
5604_26956_000000_000001	He carried it home and sat on his heap of straw, looking at the characters by the light of the small window; but no inward light arose on them. Soon the evening darkness came; but it made little difference to Baldassarre.	He carried it home and sat on his heap of straw, looking at the characters by the light of the small window; but no inward light arose on them. Soon the evening darkness came; but it made little difference to Baldassarre.	false	3	8.94	21.780102
5604_26956_000000_000002	His strained eyes seemed still to see the white pages with the unintelligible black marks upon them.	His strained eyes seemed still to see the white pages with the unintelligible black marks upon them.	false	8.94	12.51	22.735584
5604_26956_000001_000000	CHAPTER THIRTY ONE.	CHAPTER THIRTY ONE.	false	12.51	14.52	23.1434
5604_26956_000002_000000	FRUIT IS SEED.	FRUIT IS SEED.	true	14.52	16.15	23.743284
5604_26956_000003_000000	"My Romola," said Tito, the second morning after he had made his speech in the Piazza del Duomo, "I am to receive grand visitors to-day; the Milanese Count is coming again, and the Seneschal de Beaucaire, the great favourite of the Cristianissimo.	"My Romola," said Tito, the second morning after he had made his speech in the Piazza del Duomo, "I am to receive grand visitors to day; the Milanese Count is coming again, and the Seneschal de Beaucaire, the great favourite of the Cristianissimo.	true	16.97	30.91	19.701538
5604_26956_000003_000001	I know you don't care to go through smiling ceremonies with these rustling magnates, whom we are not likely to see again; and as they will want to look at the antiquities and the library, perhaps you had better give up your work to-day, and go to see your cousin Brigida."	I know you don't care to go through smiling ceremonies with these rustling magnates, whom we are not likely to see again; and as they will want to look at the antiquities and the library, perhaps you had better give up your work to day, and go to see your cousin Brigida."	false	31.1	44.59	21.051424
5604_26956_000004_000000	Romola discerned a wish in this intimation, and immediately assented. But presently, coming back in her hood and mantle, she said, "Oh, what a long breath Florence will take when the gates are flung open, and the last Frenchman is walking out of them!	Romola discerned a wish in this intimation, and immediately assented. But presently, coming back in her hood and mantle, she said, "Oh, what a long breath Florence will take when the gates are flung open, and the last Frenchman is walking out of them!	true	45.14	58.87	19.543303
5604_26956_000004_000001	Even you are getting tired, with all your patience, my Tito; confess it.	Even you are getting tired, with all your patience, my Tito; confess it.	true	59.09	63	21.487026
5604_26956_000004_000002	Ah, your head is hot."	Ah, your head is hot."	false	63	64.87	20.696081
5604_26956_000005_000000	He was leaning over his desk, writing, and she had laid her hand on his head, meaning to give a parting caress.	He was leaning over his desk, writing, and she had laid her hand on his head, meaning to give a parting caress.	true	65.3	71.05	18.91996
5604_26956_000005_000001	The attitude had been a frequent one, and Tito was accustomed, when he felt her hand there, to raise his head, throw himself a little backward, and look up at her. But he felt now as unable to raise his head as if her hand had been a leaden cowl.	The attitude had been a frequent one, and Tito was accustomed, when he felt her hand there, to raise his head, throw himself a little backward, and look up at her. But he felt now as unable to raise his head as if her hand had been a leaden cowl.	true	71.42	85.39	20.012098
5604_26956_000005_000002	He spoke instead, in a light tone, as his pen still ran along.	He spoke instead, in a light tone, as his pen still ran along.	true	85.64	89.65	20.989897
5604_26956_000006_000000	"The French are as ready to go from Florence as the wasps to leave a ripe pear when they have just fastened on it."	"The French are as ready to go from Florence as the wasps to leave a ripe pear when they have just fastened on it."	true	89.96	96.1	20.843927
5604_26956_000007_000000	Romola, keenly sensitive to the absence of the usual response, took away her hand and said, "I am going, Tito."	Romola, keenly sensitive to the absence of the usual response, took away her hand and said, "I am going, Tito."	true	96.56	103.42	20.981962
5604_26956_000008_000000	"Farewell, my sweet one.	"Farewell, my sweet one.	true	103.73	105.135	22.886047
5604_26956_000008_000001	I must wait at home.	I must wait at home.	true	105.135	106.245	19
5604_26956_000008_000002	Take Maso with you."	Take Maso with you."	true	106.245	107.59	20.53307
5604_26956_000009_000000	Still Tito did not look up, and Romola went out without saying any more. Very slight things make Epochs in married life, and this morning for the first time she admitted to herself not only that Tito had changed, but that he had changed towards her.	Still Tito did not look up, and Romola went out without saying any more. Very slight things make Epochs in married life, and this morning for the first time she admitted to herself not only that Tito had changed, but that he had changed towards her.	true	108.38	123.04	20.237082
5604_26956_000009_000001	Did the reason lie in herself? She might perhaps have thought so, if there had not been the facts of the armour and the picture to suggest some external event which was an entire mystery to her.	Did the reason lie in herself? She might perhaps have thought so, if there had not been the facts of the armour and the picture to suggest some external event which was an entire mystery to her.	true	123.62	134.89	20.137701
5604_26956_000010_000000	But Tito no sooner believed that Romola was out of the house than he laid down his pen and looked up, in delightful security from seeing anything else than parchment and broken marble.	But Tito no sooner believed that Romola was out of the house than he laid down his pen and looked up, in delightful security from seeing anything else than parchment and broken marble.	true	135.29	145.18	19
5604_26956_000010_000001	He was rather disgusted with himself that he had not been able to look up at Romola and behave to her just as usual.	He was rather disgusted with himself that he had not been able to look up at Romola and behave to her just as usual.	true	145.67	151.63	18
5604_26956_000010_000002	He would have chosen, if he could, to be even more than usually kind; but he could not, on a sudden, master an involuntary shrinking from her, which, by a subtle relation, depended on those very characteristics in him that made him desire not to fail in his marks of affection.	He would have chosen, if he could, to be even more than usually kind; but he could not, on a sudden, master an involuntary shrinking from her, which, by a subtle relation, depended on those very characteristics in him that made him desire not to fail in his marks of affection.	true	152.06	167.92	19.717764
5604_26956_000010_000003	He was about to take a step which he knew would arouse her deep indignation; he would have to encounter much that was unpleasant before he could win her forgiveness.	He was about to take a step which he knew would arouse her deep indignation; he would have to encounter much that was unpleasant before he could win her forgiveness.	true	168.26	176.89	20.686731
5604_26956_000010_000004	And Tito could never find it easy to face displeasure and anger; his nature was one of those most remote from defiance or impudence, and all his inclinations leaned towards preserving Romola's tenderness.	And Tito could never find it easy to face displeasure and anger; his nature was one of those most remote from defiance or impudence, and all his inclinations leaned towards preserving Romola's tenderness.	true	177.08	189.04	20.528967
5604_26956_000010_000005	He was not tormented by sentimental scruples which, as he had demonstrated to himself by a very rapid course of argument, had no relation to solid utility; but his freedom from scruples did not release him from the dread of what was disagreeable.	He was not tormented by sentimental scruples which, as he had demonstrated to himself by a very rapid course of argument, had no relation to solid utility; but his freedom from scruples did not release him from the dread of what was disagreeable.	true	189.41	204.22	20.284924
5604_26956_000010_000006	Unscrupulousness gets rid of much, but not of toothache, or wounded vanity, or the sense of loneliness, against which, as the world at present stands, there is no security but a thoroughly healthy jaw, and a just, loving soul.	Unscrupulousness gets rid of much, but not of toothache, or wounded vanity, or the sense of loneliness, against which, as the world at present stands, there is no security but a thoroughly healthy jaw, and a just, loving soul.	true	204.65	218.47	21.139084
5604_26956_000010_000007	And Tito was feeling intensely at this moment that no devices could save him from pain in the impending collision with Romola; no persuasive blandness could cushion him against the shock towards which he was being driven like a timid animal urged to a desperate leap by the terror of the tooth and the claw that are close behind it.	And Tito was feeling intensely at this moment that no devices could save him from pain in the impending collision with Romola; no persuasive blandness could cushion him against the shock towards which he was being driven like a timid animal urged to a desperate leap by the terror of the tooth and the claw that are close behind it.	true	218.93	237.67	21.065163
5604_26956_000011_000000	The secret feeling he had previously had that the tenacious adherence to Bardo's wishes about the library had become under existing difficulties a piece of sentimental folly, which deprived himself and Romola of substantial advantages, might perhaps never have wrought itself into action but for the events of the past week, which had brought at once the pressure of a new motive and the outlet of a rare opportunity.	The secret feeling he had previously had that the tenacious adherence to Bardo's wishes about the library had become under existing difficulties a piece of sentimental folly, which deprived himself and Romola of substantial advantages, might perhaps never have wrought itself into action but for the events of the past week, which had brought at once the pressure of a new motive and the outlet of a rare opportunity.	false	238.25	262.48	19.615982
5604_26956_000011_000001	Nay, it was not till his dread had been aggravated by the sight of Baldassarre looking more like his sane self, not until he had begun to feel that he might be compelled to flee from Florence, that he had brought himself to resolve on using his legal right to sell the library before the great opportunity offered by French and Milanese bidders slipped through his fingers.	Nay, it was not till his dread had been aggravated by the sight of Baldassarre looking more like his sane self, not until he had begun to feel that he might be compelled to flee from Florence, that he had brought himself to resolve on using his legal right to sell the library before the great opportunity offered by French and Milanese bidders slipped through his fingers.	false	262.79	282.28	19
5604_26956_000011_000002	For if he had to leave Florence he did not want to leave it as a destitute wanderer.	For if he had to leave Florence he did not want to leave it as a destitute wanderer.	true	282.86	287.41	19.91657
5604_26956_000011_000003	He had been used to an agreeable existence, and he wished to carry with him all the means at hand for retaining the same agreeable conditions.	He had been used to an agreeable existence, and he wished to carry with him all the means at hand for retaining the same agreeable conditions.	true	287.81	295.72	19.608986
