3852_175448_000000_000000	APPENDIX A.	APPENDIX a	false	0.39	22.245	20.022053
3852_175448_000001_000000	The Work of the Field Zoologist and Field Geographer in South America	The Work of the Field Zoologist and Field Geographer in South America	true	22.245	26.83	21.523718
3852_175448_000002_000000	Portions of South America are now entering on a career of great social and industrial development.	Portions of South America are now entering on a career of great social and industrial development.	true	27.11	32.98	19
3852_175448_000002_000001	Much remains to be known, so far as the outside world is concerned, of the social and industrial condition in the long-settled interior regions.	Much remains to be known, so far as the outside world is concerned, of the social and industrial condition in the long settled interior regions.	true	33.05	41.86	18
3852_175448_000002_000002	More remains to be done, in the way of pioneer exploring and of scientific work, in the great stretches of virgin wilderness.	More remains to be done, in the way of pioneer exploring and of scientific work, in the great stretches of virgin wilderness.	true	42.29	49.63	17
3852_175448_000002_000003	The only two other continents where such work, of like volume and value, remains to be done are Africa and Asia; and neither Africa nor Asia offers a more inviting field for the best kind of field worker in geographical exploration and in zoological, geological, and paleontological investigation.	The only two other continents where such work, of like volume and value, remains to be done are Africa and Asia; and neither Africa nor Asia offers a more inviting field for the best kind of field worker in geographical exploration and in zoological, geological, and paleontological investigation.	true	49.94	70.96	21.582693
3852_175448_000002_000004	The explorer is merely the most adventurous kind of field geographer; and there are two or three points worth keeping in mind in dealing with the South American work of the field geographer and field zoologist.	The explorer is merely the most adventurous kind of field geographer; and there are two or three points worth keeping in mind in dealing with the South American work of the field geographer and field zoologist.	true	71.69	84.1	21.073011
3852_175448_000003_000000	Roughly, the travellers who now visit (like those who for the past century have visited) South America come in three categories-- although, of course, these categories are not divided by hard-and-fast lines.	Roughly, the travellers who now visit (like those who for the past century have visited) South America come in three categories- although, of course, these categories are not divided by hard and fast lines.	true	84.86	98.05	21.242197
3852_175448_000004_000000	First, there are the travellers who skirt the continent in comfortable steamers, going from one great seaport to another, and occasionally taking a short railway journey to some big interior city not too far from the coast.	First, there are the travellers who skirt the continent in comfortable steamers, going from one great seaport to another, and occasionally taking a short railway journey to some big interior city not too far from the coast.	true	98.57	112.51	22.57297
3852_175448_000004_000001	This is a trip well worth taking by all intelligent men and women who can afford it; and it is being taken by such men and women with increasing frequency.	This is a trip well worth taking by all intelligent men and women who can afford it; and it is being taken by such men and women with increasing frequency.	true	113.12	122.05	20
3852_175448_000004_000002	It entails no more difficulty than a similar trip to the Mediterranean--than such a trip which to a learned and broad-minded observer offers the same chance for acquiring knowledge and, if he is himself gifted with wisdom, the same chance of imparting his knowledge to others that is offered by a trip of similar length through the larger cities of Europe or the United States. Probably the best instance of the excellent use to which such an observer can put his experience is afforded by the volume of Mr. Bryce.	It entails no more difficulty than a similar trip to the Mediterranean-than such a trip which to a learned and broad minded observer offers the same chance for acquiring knowledge and, if he is himself gifted with wisdom, the same chance of imparting his knowledge to others that is offered by a trip of similar length through the larger cities of Europe or the United States. Probably the best instance of the excellent use to which such an observer can put his experience is afforded by the volume of mr Bryce.	false	122.39	154.12	20.518621
