5746_48361_000001_000000	CHAPTER 5.	CHAPTER five.
5746_48361_000002_000005	This last news affected him deeply; not out of any affection for Pheroras, but because he was dead without having murdered his father, which he had promised him to do.	This last news affected him deeply; not out of any affection for Pheroras, but because he was dead without having murdered his father, which he had promised him to do.
5746_48361_000002_000007	Now some of his friends advised him that he should tarry a while some where, in expectation of further information.	Now some of his friends advised him that he should tarry a while some where, in expectation of further information.
5746_48361_000002_000008	But others advised him to sail home without delay; for that if he were once come thither, he would soon put an end to all accusations, and that nothing afforded any weight to his accusers at present but his absence.	But others advised him to sail home without delay; for that if he were once come thither, he would soon put an end to all accusations, and that nothing afforded any weight to his accusers at present but his absence.
5746_48361_000002_000010	And now was Antipater evidently in a miserable condition, while nobody came to him nor saluted him, as they did at his going away, with good wishes of joyful acclamations; nor was there now any thing to hinder them from entertaining him, on the contrary, with bitter curses, while they supposed he was come to receive his punishment for the murder of his brethren.	And now was Antipater evidently in a miserable condition, while nobody came to him nor saluted him, as they did at his going away, with good wishes of joyful acclamations; nor was there now any thing to hinder them from entertaining him, on the contrary, with bitter curses, while they supposed he was come to receive his punishment for the murder of his brethren.
5746_48361_000003_000002	The porters indeed received him in, but excluded his friends.	The porters indeed received him in, but excluded his friends.
5746_48361_000004_000003	So Herod ordered him to be brought into the midst, and then lamented himself about his children, from whom he had suffered such great misfortunes; and because Antipater fell upon him in his old age.	So Herod ordered him to be brought into the midst, and then lamented himself about his children, from whom he had suffered such great misfortunes; and because Antipater fell upon him in his old age.
5746_48361_000005_000006	He also offered himself to the torture.	He also offered himself to the torture.
5746_48361_000007_000008	But Antipater fell down on his face, and appealed to God and to all men for testimonials of his innocency, desiring that God would declare, by some evident signals, that he had not laid any plot against his father.	But Antipater fell down on his face, and appealed to God and to all men for testimonials of his innocency, desiring that God would declare, by some evident signals, that he had not laid any plot against his father.
5746_48361_000008_000002	Then Varus got up, and departed out of the court, and went away the day following to Antioch, where his usual residence was, because that was the palace of the Syrians; upon which Herod laid his son in bonds.	Then Varus got up, and departed out of the court, and went away the day following to Antioch, where his usual residence was, because that was the palace of the Syrians; upon which Herod laid his son in bonds.
5746_48361_000008_000003	But what were Varus's discourses to Herod was not known to the generality, and upon what words it was that he went away; though it was also generally supposed that whatsoever Herod did afterward about his son was done with his approbation.	But what were Varus's discourses to Herod was not known to the generality, and upon what words it was that he went away; though it was also generally supposed that whatsoever Herod did afterward about his son was done with his approbation.
5746_48361_000008_000006	But while the king was in doubt about it, one of Herod's friends seeing a seam upon the inner coat of the slave, and a doubling of the cloth, [for he had two coats on,] he guessed that the letter might be within that doubling; which accordingly proved to be true.	But while the king was in doubt about it, one of Herod's friends seeing a seam upon the inner coat of the slave, and a doubling of the cloth, [for he had two coats on,] he guessed that the letter might be within that doubling; which accordingly proved to be true.
5746_48361_000008_000010	The letter was this: 'Acme to king Herod.	The letter was this: 'Acme to king Herod.
5746_48361_000009_000004	Hereupon Herod was in such great grief, that he was ready to send his son to Rome to Caesar, there to give an account of these his wicked contrivances.	Hereupon Herod was in such great grief, that he was ready to send his son to Rome to Caesar, there to give an account of these his wicked contrivances.
