698_122863_000000_000000	CHAPTER XXIII.	CHAPTER twenty three.	true	19.53	20.7	16
698_122863_000000_000001	Anne Comes to Grief in an Affair of Honor	Anne Comes to Grief in an Affair of Honor	false	20.7	23.49	16.045744
698_122863_000001_000000	Anne had to live through more than two weeks, as it happened.	Anne had to live through more than two weeks, as it happened.	false	23.49	26.71	21.195536
698_122863_000001_000001	Almost a month having elapsed since the liniment cake episode, it was high time for her to get into fresh trouble of some sort, little mistakes, such as absentmindedly emptying a pan of skim milk into a basket of yarn balls in the pantry instead of into the pigs' bucket, and walking clean over the edge of the log bridge into the brook while wrapped in imaginative reverie, not really being worth counting.	Almost a month having elapsed since the liniment cake episode, it was high time for her to get into fresh trouble of some sort, little mistakes, such as absentmindedly emptying a pan of skim milk into a basket of yarn balls in the pantry instead of into the pigs' bucket, and walking clean over the edge of the log bridge into the brook while wrapped in imaginative reverie, not really being worth counting.	false	26.75	50.04	20.435385
698_122863_000002_000000	A week after the tea at the manse Diana Barry gave a party.	A week after the tea at the manse Diana Barry gave a party.	true	50.04	53.41	22.643345
698_122863_000003_000000	"Small and select," Anne assured Marilla.	"Small and select," Anne assured Marilla.	true	53.57	56.04	23.64267
698_122863_000003_000001	"Just the girls in our class."	"Just the girls in our class."	true	56.04	57.58	22.188189
698_122863_000004_000000	They had a very good time and nothing untoward happened until after tea, when they found themselves in the Barry garden, a little tired of all their games and ripe for any enticing form of mischief which might present itself.	They had a very good time and nothing untoward happened until after tea, when they found themselves in the Barry garden, a little tired of all their games and ripe for any enticing form of mischief which might present itself.	true	57.95	69.675	22.020258
698_122863_000004_000001	This presently took the form of "daring."	This presently took the form of "daring."	true	69.675	71.92	19.872902
698_122863_000005_000000	Daring was the fashionable amusement among the Avonlea small fry just then.	Daring was the fashionable amusement among the Avonlea small fry just then.	true	72.26	76.09	16.873652
698_122863_000005_000001	It had begun among the boys, but soon spread to the girls, and all the silly things that were done in Avonlea that summer because the doers thereof were "dared" to do them would fill a book by themselves.	It had begun among the boys, but soon spread to the girls, and all the silly things that were done in Avonlea that summer because the doers thereof were "dared" to do them would fill a book by themselves.	true	76.22	85.96	20.573975
698_122863_000006_000000	First of all Carrie Sloane dared Ruby Gillis to climb to a certain point in the huge old willow tree before the front door; which Ruby Gillis, albeit in mortal dread of the fat green caterpillars with which said tree was infested and with the fear of her mother before her eyes if she should tear her new muslin dress, nimbly did, to the discomfiture of the aforesaid Carrie Sloane.	First of all Carrie Sloane dared Ruby Gillis to climb to a certain point in the huge old willow tree before the front door; which Ruby Gillis, albeit in mortal dread of the fat green caterpillars with which said tree was infested and with the fear of her mother before her eyes if she should tear her new muslin dress, nimbly did, to the discomfiture of the aforesaid Carrie Sloane.	true	86.39	105.19	20.373941
698_122863_000006_000001	Then Josie Pye dared Jane Andrews to hop on her left leg around the garden without stopping once or putting her right foot to the ground; which Jane Andrews gamely tried to do, but gave out at the third corner and had to confess herself defeated.	Then Josie Pye dared Jane Andrews to hop on her left leg around the garden without stopping once or putting her right foot to the ground; which Jane Andrews gamely tried to do, but gave out at the third corner and had to confess herself defeated.	false	105.59	117.82	20.71837
698_122863_000007_000000	Josie's triumph being rather more pronounced than good taste permitted, Anne Shirley dared her to walk along the top of the board fence which bounded the garden to the east.	Josie's triumph being rather more pronounced than good taste permitted, Anne Shirley dared her to walk along the top of the board fence which bounded the garden to the east.	false	118.73	127.63	21.233768
698_122863_000007_000001	Now, to "walk" board fences requires more skill and steadiness of head and heel than one might suppose who has never tried it.	Now, to "walk" board fences requires more skill and steadiness of head and heel than one might suppose who has never tried it.	false	127.85	134.14	22
698_122863_000007_000002	But Josie Pye, if deficient in some qualities that make for popularity, had at least a natural and inborn gift, duly cultivated, for walking board fences.	But Josie Pye, if deficient in some qualities that make for popularity, had at least a natural and inborn gift, duly cultivated, for walking board fences.	true	134.21	143.47	21.64688
698_122863_000007_000003	Josie walked the Barry fence with an airy unconcern which seemed to imply that a little thing like that wasn't worth a "dare." Reluctant admiration greeted her exploit, for most of the other girls could appreciate it, having suffered many things themselves in their efforts to walk fences.	Josie walked the Barry fence with an airy unconcern which seemed to imply that a little thing like that wasn't worth a "dare." Reluctant admiration greeted her exploit, for most of the other girls could appreciate it, having suffered many things themselves in their efforts to walk fences.	true	144.05	158.98	21.184494
698_122863_000007_000004	Josie descended from her perch, flushed with victory, and darted a defiant glance at Anne.	Josie descended from her perch, flushed with victory, and darted a defiant glance at Anne.	true	159.32	164.13	21.341871
698_122863_000008_000000	Anne tossed her red braids.	Anne tossed her red braids.	false	164.13	166	19.081932
698_122863_000009_000000	"I don't think it's such a very wonderful thing to walk a little, low, board fence," she said.	"I don't think it's such a very wonderful thing to walk a little, low, board fence," she said.	true	166.19	170.65	21.479357
698_122863_000009_000001	"I knew a girl in Marysville who could walk the ridgepole of a roof."	"I knew a girl in Marysville who could walk the ridgepole of a roof."	true	170.75	174.25	19.44443
698_122863_000010_000000	"I don't believe it," said Josie flatly.	"I don't believe it," said Josie flatly.	true	174.62	176.895	21.187418
698_122863_000010_000001	"I don't believe anybody could walk a ridgepole.	"I don't believe anybody could walk a ridgepole.	true	176.895	179.205	24.256584
698_122863_000010_000002	YOU couldn't, anyhow."	YOU couldn't, anyhow."	true	179.205	180.85	23.140448
698_122863_000011_000000	"Couldn't I?" cried Anne rashly.	"Couldn't I?" cried Anne rashly.	true	180.86	182.89	21.86761
698_122863_000012_000000	"Then I dare you to do it," said Josie defiantly.	"Then I dare you to do it," said Josie defiantly.	true	182.93	185.34	24.623123
698_122863_000012_000001	"I dare you to climb up there and walk the ridgepole of Mr. Barry's kitchen roof."	"I dare you to climb up there and walk the ridgepole of mr Barry's kitchen roof."	true	185.34	189.33	22.805473
698_122863_000013_000000	Anne turned pale, but there was clearly only one thing to be done.	Anne turned pale, but there was clearly only one thing to be done.	false	189.33	192.94	18.696451
