3446_144021_000000_000000	BACKWORD	b a c k w o r d	false	3.36	15.12	25.103155
3446_144021_000001_000000	THE _Snark_ was forty-three feet on the water-line and fifty-five over all, with fifteen feet beam (tumble-home sides) and seven feet eight inches draught.	THE underscore Snark underscore was forty three feet on the water line and fifty five over all, with fifteen feet beam (tumble home sides) and seven feet eight inches draught.	false	15.12	28.35	22.108736
3446_144021_000001_000001	She was ketch-rigged, carrying flying-jib, jib, fore-staysail, main-sail, mizzen, and spinnaker.	She was ketch rigged, carrying flying jib, jib, fore staysail, main sail, mizzen, and spinnaker.	true	28.35	35.26	23.428097
3446_144021_000001_000002	There were six feet of head-room below, and she was crown-decked and flush-decked.	There were six feet of head room below, and she was crown decked and flush decked.	true	35.36	39.97	22.555244
3446_144021_000001_000003	There were four alleged _water-tight_ compartments.	There were four alleged underscore water tight underscore compartments.	false	40.16	43.39	20.86629
3446_144021_000001_000004	A seventy-horse power auxiliary gas-engine sporadically furnished locomotion at an approximate cost of twenty dollars per mile.	A seventy horse power auxiliary gas engine sporadically furnished locomotion at an approximate cost of twenty dollars per mile.	false	43.58	51.16	14
3446_144021_000001_000005	A five-horse power engine ran the pumps when it was in order, and on two occasions proved capable of furnishing juice for the search-light.	A five horse power engine ran the pumps when it was in order, and on two occasions proved capable of furnishing juice for the search light.	true	51.59	59.41	21.750004
3446_144021_000001_000006	The storage batteries worked four or five times in the course of two years.	The storage batteries worked four or five times in the course of two years.	false	59.78	63.94	24.482483
3446_144021_000001_000007	The fourteen-foot launch was rumoured to work at times, but it invariably broke down whenever I stepped on board.	The fourteen foot launch was rumoured to work at times, but it invariably broke down whenever I stepped on board.	true	64.16	70.33	19
3446_144021_000002_000000	But the _Snark_ sailed.	But the underscore Snark underscore sailed.	false	70.94	72.31	23.949245
3446_144021_000002_000001	It was the only way she could get anywhere.	It was the only way she could get anywhere.	true	72.47	74.235	13
3446_144021_000002_000002	She sailed for two years, and never touched rock, reef, nor shoal.	She sailed for two years, and never touched rock, reef, nor shoal.	true	74.235	78.01	19
3446_144021_000002_000003	She had no inside ballast, her iron keel weighed five tons, but her deep draught and high freeboard made her very stiff.	She had no inside ballast, her iron keel weighed five tons, but her deep draught and high freeboard made her very stiff.	false	78.26	85.09	15
3446_144021_000002_000004	Caught under full sail in tropic squalls, she buried her rail and deck many times, but stubbornly refused to turn turtle.	Caught under full sail in tropic squalls, she buried her rail and deck many times, but stubbornly refused to turn turtle.	true	85.22	93.1	21.43774
3446_144021_000002_000005	She steered easily, and she could run day and night, without steering, close-by, full-and-by, and with the wind abeam.	She steered easily, and she could run day and night, without steering, close by, full and by, and with the wind abeam.	true	93.41	101.17	25.359058
3446_144021_000002_000006	With the wind on her quarter and the sails properly trimmed, she steered herself within two points, and with the wind almost astern she required scarcely three points for self-steering.	With the wind on her quarter and the sails properly trimmed, she steered herself within two points, and with the wind almost astern she required scarcely three points for self steering.	false	101.63	113.32	23.543652
3446_144021_000003_000000	The _Snark_ was partly built in San Francisco.	The underscore Snark underscore was partly built in San Francisco.	false	114.26	116.535	22.194685
3446_144021_000003_000001	The morning her iron keel was to be cast was the morning of the great earthquake.	The morning her iron keel was to be cast was the morning of the great earthquake.	true	116.535	120.63	14
3446_144021_000003_000002	Then came anarchy.	Then came anarchy.	true	120.63	122.29	20
3446_144021_000003_000003	Six months overdue in the building, I sailed the shell of her to Hawaii to be finished, the engine lashed to the bottom, building materials lashed on deck.	Six months overdue in the building, I sailed the shell of her to Hawaii to be finished, the engine lashed to the bottom, building materials lashed on deck.	true	122.45	131.175	20.288052
3446_144021_000003_000004	Had I remained in San Francisco for completion, I’d still be there.	Had I remained in San Francisco for completion, I'd still be there.	true	131.175	134.74	19.546415
3446_144021_000003_000005	As it was, partly built, she cost four times what she ought to have cost.	As it was, partly built, she cost four times what she ought to have cost.	true	135.47	139.81	24.672125
3446_144021_000004_000000	The _Snark_ was born unfortunately.	The underscore Snark underscore was born unfortunately.	false	140.12	142.29	23.048018
3446_144021_000004_000001	She was libelled in San Francisco, had her cheques protested as fraudulent in Hawaii, and was fined for breach of quarantine in the Solomons.	She was libelled in San Francisco, had her cheques protested as fraudulent in Hawaii, and was fined for breach of quarantine in the Solomons.	true	142.29	150.31	19
3446_144021_000004_000002	To save themselves, the newspapers could not tell the truth about her.	To save themselves, the newspapers could not tell the truth about her.	true	150.44	154.15	21.939386
3446_144021_000004_000003	When I discharged an incompetent captain, they said I had beaten him to a pulp.	When I discharged an incompetent captain, they said I had beaten him to a pulp.	true	154.25	159.13	23.579765
3446_144021_000004_000004	When one young man returned home to continue at college, it was reported that I was a regular Wolf Larsen, and that my whole crew had deserted because I had beaten it to a pulp.	When one young man returned home to continue at college, it was reported that I was a regular Wolf Larsen, and that my whole crew had deserted because I had beaten it to a pulp.	true	159.17	168.69	20
3446_144021_000004_000005	In fact the only blow struck on the _Snark_ was when the cook was manhandled by a captain who had shipped with me under false pretences, and whom I discharged in Fiji.	In fact the only blow struck on the underscore Snark underscore was when the cook was manhandled by a captain who had shipped with me under false pretences, and whom I discharged in Fiji.	false	168.69	179.7	22.475746
3446_144021_000004_000006	Also, Charmian and I boxed for exercise; but neither of us was seriously maimed.	Also, Charmian and I boxed for exercise; but neither of us was seriously maimed.	true	179.7	184.51	18
3446_144021_000005_000000	The voyage was our idea of a good time.	The voyage was our idea of a good time.	true	184.76	187.02	18
3446_144021_000005_000001	I built the _Snark_ and paid for it, and for all expenses.	I built the underscore Snark underscore and paid for it, and for all expenses.	false	187.02	190.06	21
3446_144021_000005_000002	I contracted to write thirty-five thousand words descriptive of the trip for a magazine which was to pay me the same rate I received for stories written at home.	I contracted to write thirty five thousand words descriptive of the trip for a magazine which was to pay me the same rate I received for stories written at home.	true	190.13	198.61	17
3446_144021_000005_000003	Promptly the magazine advertised that it was sending me especially around the world for itself. It was a wealthy magazine.	Promptly the magazine advertised that it was sending me especially around the world for itself. It was a wealthy magazine.	true	198.71	205.18	19.435932
3446_144021_000005_000004	And every man who had business dealings with the _Snark_ charged three prices because forsooth the magazine could afford it.	And every man who had business dealings with the underscore Snark underscore charged three prices because forsooth the magazine could afford it.	false	205.22	212.11	23.533182
3446_144021_000005_000005	Down in the uttermost South Sea isle this myth obtained, and I paid accordingly.	Down in the uttermost South Sea isle this myth obtained, and I paid accordingly.	true	212.78	218.62	22
3446_144021_000005_000006	To this day everybody believes that the magazine paid for everything and that I made a fortune out of the voyage.	To this day everybody believes that the magazine paid for everything and that I made a fortune out of the voyage.	true	219.11	224.95	19
3446_144021_000005_000007	It is hard, after such advertising, to hammer it into the human understanding that the whole voyage was done for the fun of it.	It is hard, after such advertising, to hammer it into the human understanding that the whole voyage was done for the fun of it.	true	225.14	232.02	18
