5606_54667_000000_000000	XI.	XI.	false	8.97	9.39	3
5606_54667_000001_000000	The nearer I approached to our own door, the more reluctance I felt to pass the short interval between my first and second interview with Mr. Sherwin, at home.	The nearer I approached to our own door, the more reluctance I felt to pass the short interval between my first and second interview with mr Sherwin, at home.	false	9.39	29.2	22.30515
5606_54667_000001_000001	When I entered the house, this reluctance increased to something almost like dread.	When I entered the house, this reluctance increased to something almost like dread.	true	29.66	34.09	20.081192
5606_54667_000001_000002	I felt unwilling and unfit to meet the eyes of my nearest and dearest relatives.	I felt unwilling and unfit to meet the eyes of my nearest and dearest relatives.	true	34.31	39.4	18.688429
5606_54667_000001_000003	It was a relief to me to hear that my father was not at home.	It was a relief to me to hear that my father was not at home.	true	39.74	43.06	20
5606_54667_000001_000004	My sister was in the house: the servant said she had just gone into the library, and inquired whether he should tell her that I had come in.	My sister was in the house: the servant said she had just gone into the library, and inquired whether he should tell her that I had come in.	true	43.28	51.04	19.865715
5606_54667_000001_000005	I desired him not to disturb her, as it was my intention to go out again immediately.	I desired him not to disturb her, as it was my intention to go out again immediately.	true	52.1	57.13	18.543661
5606_54667_000002_000000	I went into my study, and wrote a short note there to Clara; merely telling her that I should be absent in the country for two days.	I went into my study, and wrote a short note there to Clara; merely telling her that I should be absent in the country for two days.	true	57.5	64.39	18.56067
5606_54667_000002_000001	I had sealed and laid it on the table for the servant to deliver, and was about to leave the room, when I heard the library door open.	I had sealed and laid it on the table for the servant to deliver, and was about to leave the room, when I heard the library door open.	false	64.7	71.68	19
5606_54667_000002_000002	I instantly drew back, and half-closed my own door again.	I instantly drew back, and half closed my own door again.	true	72.11	76.3	22.896206
5606_54667_000002_000003	Clara had got the book she wanted, and was taking it up to her own sitting-room.	Clara had got the book she wanted, and was taking it up to her own sitting room.	true	76.85	81.22	21
5606_54667_000002_000004	I waited till she was out of sight, and then left the house.	I waited till she was out of sight, and then left the house.	true	81.5	84.37	18
5606_54667_000002_000005	It was the first time I had ever avoided my sister--my sister, who had never in her life asked a question, or uttered a word that could annoy me; my sister, who had confided all her own little secrets to my keeping, ever since we had been children.	It was the first time I had ever avoided my sister-my sister, who had never in her life asked a question, or uttered a word that could annoy me; my sister, who had confided all her own little secrets to my keeping, ever since we had been children.	true	84.71	99.76	19.810476
5606_54667_000002_000006	As I thought on what I had done, I felt a sense of humiliation which was almost punishment enough for the meanness of which I had been guilty.	As I thought on what I had done, I felt a sense of humiliation which was almost punishment enough for the meanness of which I had been guilty.	true	101.18	108.97	20
5606_54667_000003_000000	I went round to the stables, and had my horse saddled immediately.	I went round to the stables, and had my horse saddled immediately.	true	110.18	113.47	15
5606_54667_000003_000001	No idea of proceeding in any particular direction occurred to me.	No idea of proceeding in any particular direction occurred to me.	true	113.72	117.43	19
5606_54667_000003_000002	I simply felt resolved to pass my two days' ordeal of suspense away from home--far enough away to keep me faithful to my promise not to see Margaret.	I simply felt resolved to pass my two days' ordeal of suspense away from home-far enough away to keep me faithful to my promise not to see Margaret.	true	117.65	126.52	23.115599
5606_54667_000003_000003	Soon after I started, I left my horse to his own guidance, and gave myself up to my thoughts and recollections, as one by one they rose within me.	Soon after I started, I left my horse to his own guidance, and gave myself up to my thoughts and recollections, as one by one they rose within me.	false	127.04	135.94	20
5606_54667_000003_000004	The animal took the direction which he had been oftenest used to take during my residence in London--the northern road.	The animal took the direction which he had been oftenest used to take during my residence in London-the northern road.	true	136.46	143.23	23.343739
5606_54667_000004_000000	It was not until I had ridden half a mile beyond the suburbs that I looked round me, and discovered towards what part of the country I was proceeding.	It was not until I had ridden half a mile beyond the suburbs that I looked round me, and discovered towards what part of the country I was proceeding.	false	143.6	151.21	17
5606_54667_000004_000001	I drew the rein directly, and turned my horse's head back again, towards the south.	I drew the rein directly, and turned my horse's head back again, towards the south.	true	151.46	156.22	19.870798
5606_54667_000004_000002	To follow the favourite road which I had so often followed with Clara; to stop perhaps at some place where I had often stopped with her, was more than I had the courage or the insensibility to do at that moment.	To follow the favourite road which I had so often followed with Clara; to stop perhaps at some place where I had often stopped with her, was more than I had the courage or the insensibility to do at that moment.	true	156.53	169.51	20.42382
5606_54667_000005_000000	I rode as far as Ewell, and stopped there: the darkness had overtaken me, and it was useless to tire my horse by going on any greater distance.	I rode as far as Ewell, and stopped there: the darkness had overtaken me, and it was useless to tire my horse by going on any greater distance.	true	170.27	177.46	19
5606_54667_000005_000001	The next morning, I was up almost with sunrise; and passed the greater part of the day in walking about among villages, lanes, and fields, just as chance led me.	The next morning, I was up almost with sunrise; and passed the greater part of the day in walking about among villages, lanes, and fields, just as chance led me.	false	177.68	186.91	21
5606_54667_000005_000002	During the night, many thoughts that I had banished for the last week had returned--those thoughts of evil omen under which the mind seems to ache, just as the body aches under a dull, heavy pain, to which we can assign no particular place or cause. Absent from Margaret, I had no resource against the oppression that now overcame me.	During the night, many thoughts that I had banished for the last week had returned-those thoughts of evil omen under which the mind seems to ache, just as the body aches under a dull, heavy pain, to which we can assign no particular place or cause. Absent from Margaret, I had no resource against the oppression that now overcame me.	true	188.18	208.57	22.760899
5606_54667_000005_000003	I could only endeavour to alleviate it by keeping incessantly in action; by walking or riding, hour after hour, in the vain attempt to quiet the mind by wearying out the body.	I could only endeavour to alleviate it by keeping incessantly in action; by walking or riding, hour after hour, in the vain attempt to quiet the mind by wearying out the body.	true	208.85	220.63	22.449701
5606_54667_000005_000004	Apprehension of the failure of my application to Mr. Sherwin had nothing to do with the vague gloom which now darkened my thoughts; they kept too near home for that.	Apprehension of the failure of my application to mr Sherwin had nothing to do with the vague gloom which now darkened my thoughts; they kept too near home for that.	true	221.21	230.62	18
5606_54667_000005_000005	Besides, what I had observed of Margaret's father, especially during the latter part of my interview with him, showed me plainly enough that he was trying to conceal, under exaggerated surprise and assumed hesitation, his secret desire to profit at once by my offer; which, whatever conditions might clog it, was infinitely more advantageous in a social point of view, than any he could have hoped for.	Besides, what I had observed of Margaret's father, especially during the latter part of my interview with him, showed me plainly enough that he was trying to conceal, under exaggerated surprise and assumed hesitation, his secret desire to profit at once by my offer; which, whatever conditions might clog it, was infinitely more advantageous in a social point of view, than any he could have hoped for.	true	230.9	254.68	20
5606_54667_000005_000006	It was not his delay in accepting my proposals, but the burden of deceit, the fetters of concealment forced on me by the proposals themselves, which now hung heavy on my heart.	It was not his delay in accepting my proposals, but the burden of deceit, the fetters of concealment forced on me by the proposals themselves, which now hung heavy on my heart.	true	255.11	266.5	20.788046
5606_54667_000006_000000	That evening I left Ewell, and rode towards home again, as far as Richmond, where I remained for the night and the forepart of the next day.	That evening I left Ewell, and rode towards home again, as far as Richmond, where I remained for the night and the forepart of the next day.	true	266.99	275.56	22.830906
