5606_54667_000001_000001	When I entered the house, this reluctance increased to something almost like dread.	When I entered the house, this reluctance increased to something almost like dread.
5606_54667_000001_000003	It was a relief to me to hear that my father was not at home.	It was a relief to me to hear that my father was not at home.
5606_54667_000002_000002	I instantly drew back, and half-closed my own door again.	I instantly drew back, and half closed my own door again.
5606_54667_000002_000003	Clara had got the book she wanted, and was taking it up to her own sitting-room.	Clara had got the book she wanted, and was taking it up to her own sitting room.
5606_54667_000002_000006	As I thought on what I had done, I felt a sense of humiliation which was almost punishment enough for the meanness of which I had been guilty.	As I thought on what I had done, I felt a sense of humiliation which was almost punishment enough for the meanness of which I had been guilty.
5606_54667_000003_000002	I simply felt resolved to pass my two days' ordeal of suspense away from home--far enough away to keep me faithful to my promise not to see Margaret.	I simply felt resolved to pass my two days' ordeal of suspense away from home-far enough away to keep me faithful to my promise not to see Margaret.
5606_54667_000003_000004	The animal took the direction which he had been oftenest used to take during my residence in London--the northern road.	The animal took the direction which he had been oftenest used to take during my residence in London-the northern road.
5606_54667_000004_000002	To follow the favourite road which I had so often followed with Clara; to stop perhaps at some place where I had often stopped with her, was more than I had the courage or the insensibility to do at that moment.	To follow the favourite road which I had so often followed with Clara; to stop perhaps at some place where I had often stopped with her, was more than I had the courage or the insensibility to do at that moment.
5606_54667_000005_000002	During the night, many thoughts that I had banished for the last week had returned--those thoughts of evil omen under which the mind seems to ache, just as the body aches under a dull, heavy pain, to which we can assign no particular place or cause. Absent from Margaret, I had no resource against the oppression that now overcame me.	During the night, many thoughts that I had banished for the last week had returned-those thoughts of evil omen under which the mind seems to ache, just as the body aches under a dull, heavy pain, to which we can assign no particular place or cause. Absent from Margaret, I had no resource against the oppression that now overcame me.
5606_54667_000005_000003	I could only endeavour to alleviate it by keeping incessantly in action; by walking or riding, hour after hour, in the vain attempt to quiet the mind by wearying out the body.	I could only endeavour to alleviate it by keeping incessantly in action; by walking or riding, hour after hour, in the vain attempt to quiet the mind by wearying out the body.
5606_54667_000005_000005	Besides, what I had observed of Margaret's father, especially during the latter part of my interview with him, showed me plainly enough that he was trying to conceal, under exaggerated surprise and assumed hesitation, his secret desire to profit at once by my offer; which, whatever conditions might clog it, was infinitely more advantageous in a social point of view, than any he could have hoped for.	Besides, what I had observed of Margaret's father, especially during the latter part of my interview with him, showed me plainly enough that he was trying to conceal, under exaggerated surprise and assumed hesitation, his secret desire to profit at once by my offer; which, whatever conditions might clog it, was infinitely more advantageous in a social point of view, than any he could have hoped for.
5606_54667_000005_000006	It was not his delay in accepting my proposals, but the burden of deceit, the fetters of concealment forced on me by the proposals themselves, which now hung heavy on my heart.	It was not his delay in accepting my proposals, but the burden of deceit, the fetters of concealment forced on me by the proposals themselves, which now hung heavy on my heart.
