8097_108005_000000_000000	Let us here return to our coaches.	Let us here return to our coaches.	false	0	2.34	-4
8097_108005_000000_000001	Instead of these, and of all other sorts of carriages, they caused themselves to be carried upon men's shoulders.	Instead of these, and of all other sorts of carriages, they caused themselves to be carried upon men's shoulders.	false	2.34	6.975	19.892254
8097_108005_000000_000002	This last king of Peru, the day that he was taken, was thus carried betwixt two upon staves of gold, and set in a chair of gold in the middle of his army.	This last king of Peru, the day that he was taken, was thus carried betwixt two upon staves of gold, and set in a chair of gold in the middle of his army.	false	6.975	12.57	19.484999
8097_108005_000000_000003	As many of these sedan-men as were killed to make him fall (for they would take him alive), so many others (and they contended for it) took the place of those who were slain, so that they could never beat him down, what slaughter soever they made of these people, till a horseman, seizing upon him, brought him to the ground.	As many of these sedan men as were killed to make him fall (for they would take him alive), so many others (and they contended for it) took the place of those who were slain, so that they could never beat him down, what slaughter soever they made of these people, till a horseman, seizing upon him, brought him to the ground.	false	12.57	32.34	19.130707
8097_108005_000001_000000	CHAPTER VII	CHAPTER seven	false	32.34	33.405	1
8097_108005_000002_000000	OF THE INCONVENIENCE OF GREATNESS	OF THE INCONVENIENCE OF GREATNESS	true	33.405	36.61	20.423004
8097_108005_000003_000000	Since we cannot attain unto it, let us revenge our selves by railing at it; and yet it is not absolutely railing against anything to proclaim its defects, because they are in all things to be found, how beautiful or how much to be coveted soever.	Since we cannot attain unto it, let us revenge our selves by railing at it; and yet it is not absolutely railing against anything to proclaim its defects, because they are in all things to be found, how beautiful or how much to be coveted soever.	true	38.75	56.98	20.149166
8097_108005_000003_000001	Greatness has, in general, this manifest advantage, that it can lower itself when it pleases, and has, very near, the choice of both the one and the other condition; for a man does not fall from all heights; there are several from which one may descend without falling down.	Greatness has, in general, this manifest advantage, that it can lower itself when it pleases, and has, very near, the choice of both the one and the other condition; for a man does not fall from all heights; there are several from which one may descend without falling down.	true	58.1	76.12	18
8097_108005_000003_000002	It does, indeed, appear to me that we value it at too high a rate, and also overvalue the resolution of those whom we have either seen or heard have contemned it, or displaced themselves of their own accord: its essence is not so evidently commodious that a man may not, with out a miracle, refuse it.	It does, indeed, appear to me that we value it at too high a rate, and also overvalue the resolution of those whom we have either seen or heard have contemned it, or displaced themselves of their own accord: its essence is not so evidently commodious that a man may not, with out a miracle, refuse it.	false	77.51	98.89	19.821903
8097_108005_000003_000003	I find it a very hard thing to undergo misfortunes, but to be content with a moderate measure of fortune, and to avoid greatness, I think a very easy matter.	I find it a very hard thing to undergo misfortunes, but to be content with a moderate measure of fortune, and to avoid greatness, I think a very easy matter.	false	100.34	111.97	19.66326
8097_108005_000003_000004	'Tis, methinks, a virtue to which I, who am no conjuror, could without any great endeavour arrive.	'tis, methinks, a virtue to which I, who am no conjuror, could without any great endeavour arrive.	true	113.12	120.52	21.429432
