830_130728_000000_000000	Artistic Japan	Artistic Japan	true	22.065	23.35	22
830_130728_000001_000000	We wish it were in our power to describe a certain dinner as served us in a Japanese restaurant in the days that followed the great fire. Desiring to observe in fitting manner a birthday anniversary, we asked a Japanese friend if he could secure admission for a little party at a restaurant noted for serving none but the highest class Japanese.	We wish it were in our power to describe a certain dinner as served us in a Japanese restaurant in the days that followed the great fire. Desiring to observe in fitting manner a birthday anniversary, we asked a Japanese friend if he could secure admission for a little party at a restaurant noted for serving none but the highest class Japanese.	true	23.96	44.23	13
830_130728_000001_000001	We did not even know where the restaurant was but had heard of such a place, and when we received word that we would be permitted to have a dinner there we invited a newspaper friend who was in the city from New York, together with two other friends and the Japanese, who was the editor of the Soko Shimbun.	We did not even know where the restaurant was but had heard of such a place, and when we received word that we would be permitted to have a dinner there we invited a newspaper friend who was in the city from New York, together with two other friends and the Japanese, who was the editor of the Soko Shimbun.	false	44.78	62.53	14
830_130728_000001_000002	He took us to a dwelling house in O'Farrell street, having given previous notice of our coming.	He took us to a dwelling house in O'Farrell street, having given previous notice of our coming.	true	63.29	69.07	15
830_130728_000001_000003	There was nothing on the outside to indicate that it was anything but a residence, but when we were ushered into the large front room, we found it beautifully decorated with immense chrysanthemums, and glittering with silver and cut glass on a magnificently arranged table.	There was nothing on the outside to indicate that it was anything but a residence, but when we were ushered into the large front room, we found it beautifully decorated with immense chrysanthemums, and glittering with silver and cut glass on a magnificently arranged table.	true	69.98	84.67	14
830_130728_000002_000000	In deference to the fact that all but our Japanese friend were unaccustomed to chopsticks, forks were placed on the table as well as the little sticks that the Orientals use so deftly.	In deference to the fact that all but our Japanese friend were unaccustomed to chopsticks, forks were placed on the table as well as the little sticks that the Orientals use so deftly.	true	85.46	95.5	15
830_130728_000002_000001	At each place was a beautiful lacquer tray, about twelve by eighteen inches, a pair of chopsticks, a fork and a teaspoon.	At each place was a beautiful lacquer tray, about twelve by eighteen inches, a pair of chopsticks, a fork and a teaspoon.	true	96.05	104.26	18
830_130728_000002_000002	Before the meal was over several of us became quite expert in using the chopsticks.	Before the meal was over several of us became quite expert in using the chopsticks.	true	104.72	109.75	15
830_130728_000003_000000	When we were seated in came two little Japanese women, in full native costume, bearing a service of tea.	When we were seated in came two little Japanese women, in full native costume, bearing a service of tea.	false	110.48	116.95	13
830_130728_000003_000001	The cups and saucers were of a most delicate blue and white ware, with teapot to match.	The cups and saucers were of a most delicate blue and white ware, with teapot to match.	true	117.5	123.07	16
830_130728_000003_000002	Our first cup was taken standing in deference to a Japanese custom where all drank to the host.	Our first cup was taken standing in deference to a Japanese custom where all drank to the host.	true	123.65	129.34	15
830_130728_000003_000003	Then followed saki in little artistic bottles and saki cups that hold not much more than a double tablespoonful.	Then followed saki in little artistic bottles and saki cups that hold not much more than a double tablespoonful.	true	130.4	137.86	16
