3094_136458_000000_000000	Partridge had scarce seen his master since the happy discovery.	Partridge had scarce seen his master since the happy discovery.	false	0	2.85	22.265583
3094_136458_000000_000001	The poor fellow was unable either to contain or express his transports.	The poor fellow was unable either to contain or express his transports.	false	2.85	3.39	14
3094_136458_000000_000002	He behaved like one frantic, and made almost as many mistakes while he was dressing Jones as I have seen made by Harlequin in dressing himself on the stage.	He behaved like one frantic, and made almost as many mistakes while he was dressing Jones as I have seen made by Harlequin in dressing himself on the stage.	false	3.39	7.32	18.211273
3094_136458_000001_000000	His memory, however, was not in the least deficient.	His memory, however, was not in the least deficient.	false	7.32	8.94	19.113873
3094_136458_000001_000001	He recollected now many omens and presages of this happy event, some of which he had remarked at the time, but many more he now remembered; nor did he omit the dreams he had dreamt the evening before his meeting with Jones; and concluded with saying, "I always told your honour something boded in my mind that you would one time or other have it in your power to make my fortune." Jones assured him that this boding should as certainly be verified with regard to him as all the other omens had been to himself; which did not a little add to all the raptures which the poor fellow had already conceived on account of his master.	He recollected now many omens and presages of this happy event, some of which he had remarked at the time, but many more he now remembered; nor did he omit the dreams he had dreamt the evening before his meeting with Jones; and concluded with saying, "I always told your honour something boded in my mind that you would one time or other have it in your power to make my fortune." Jones assured him that this boding should as certainly be verified with regard to him as all the other omens had been to himself; which did not a little add to all the raptures which the poor fellow had already conceived on account of his master.	false	8.94	31.965	20.917158
3094_136458_000002_000000	Chapter xii.	Chapter x i i.	false	31.965	33.945	23.061737
3094_136458_000003_000000	Approaching still nearer to the end.	Approaching still nearer to the end.	true	33.945	36.88	18.820087
3094_136458_000004_000000	Jones, being now completely dressed, attended his uncle to Mr Western's.	Jones, being now completely dressed, attended his uncle to Mr Western's.	true	38.42	43.03	19
3094_136458_000004_000001	He was, indeed, one of the finest figures ever beheld, and his person alone would have charmed the greater part of womankind; but we hope it hath already appeared in this history that Nature, when she formed him, did not totally rely, as she sometimes doth, on this merit only, to recommend her work.	He was, indeed, one of the finest figures ever beheld, and his person alone would have charmed the greater part of womankind; but we hope it hath already appeared in this history that Nature, when she formed him, did not totally rely, as she sometimes doth, on this merit only, to recommend her work.	false	43.31	64.18	18
3094_136458_000005_000000	Sophia, who, angry as she was, was likewise set forth to the best advantage, for which I leave my female readers to account, appeared so extremely beautiful, that even Allworthy, when he saw her, could not forbear whispering Western, that he believed she was the finest creature in the world.	Sophia, who, angry as she was, was likewise set forth to the best advantage, for which I leave my female readers to account, appeared so extremely beautiful, that even Allworthy, when he saw her, could not forbear whispering Western, that he believed she was the finest creature in the world.	true	65.03	87.34	19
3094_136458_000005_000001	To which Western answered, in a whisper, overheard by all present, "So much the better for Tom;--for d--n me if he shan't ha the tousling her." Sophia was all over scarlet at these words, while Tom's countenance was altogether as pale, and he was almost ready to sink from his chair.	To which Western answered, in a whisper, overheard by all present, "So much the better for Tom;--for d-n me if he shan't ha the tousling her." Sophia was all over scarlet at these words, while Tom's countenance was altogether as pale, and he was almost ready to sink from his chair.	false	87.92	109.21	20.064583
3094_136458_000006_000000	The tea-table was scarce removed before Western lugged Allworthy out of the room, telling him he had business of consequence to impart, and must speak to him that instant in private, before he forgot it.	The tea table was scarce removed before Western lugged Allworthy out of the room, telling him he had business of consequence to impart, and must speak to him that instant in private, before he forgot it.	true	111.05	124.36	19
3094_136458_000007_000000	The lovers were now alone, and it will, I question not, appear strange to many readers, that those who had so much to say to one another when danger and difficulty attended their conversation, and who seemed so eager to rush into each other's arms when so many bars lay in their way, now that with safety they were at liberty to say or do whatever they pleased, should both remain for some time silent and motionless; insomuch that a stranger of moderate sagacity might have well concluded they were mutually indifferent; but so it was, however strange it may seem; both sat with their eyes cast downwards on the ground, and for some minutes continued in perfect silence.	The lovers were now alone, and it will, I question not, appear strange to many readers, that those who had so much to say to one another when danger and difficulty attended their conversation, and who seemed so eager to rush into each other's arms when so many bars lay in their way, now that with safety they were at liberty to say or do whatever they pleased, should both remain for some time silent and motionless; insomuch that a stranger of moderate sagacity might have well concluded they were mutually indifferent; but so it was, however strange it may seem; both sat with their eyes cast downwards on the ground, and for some minutes continued in perfect silence.	true	125.21	171.94	18
3094_136458_000008_000000	Mr Jones during this interval attempted once or twice to speak, but was absolutely incapable, muttering only, or rather sighing out, some broken words; when Sophia at length, partly out of pity to him, and partly to turn the discourse from the subject which she knew well enough he was endeavouring to open, said--	Mr Jones during this interval attempted once or twice to speak, but was absolutely incapable, muttering only, or rather sighing out, some broken words; when Sophia at length, partly out of pity to him, and partly to turn the discourse from the subject which she knew well enough he was endeavouring to open, said-	true	172.7	196.42	20
3094_136458_000009_000000	"Sure, sir, you are the most fortunate man in the world in this discovery." "And can you really, madam, think me so fortunate," said Jones, sighing, "while I have incurred your displeasure?"--"Nay, sir," says she, "as to that you best know whether you have deserved it." "Indeed, madam," answered he, "you yourself are as well apprized of all my demerits.	"Sure, sir, you are the most fortunate man in the world in this discovery." "And can you really, madam, think me so fortunate," said Jones, sighing, "while I have incurred your displeasure?"--"Nay, sir," says she, "as to that you best know whether you have deserved it." "Indeed, madam," answered he, "you yourself are as well apprized of all my demerits.	false	196.76	221.89	19.697123
3094_136458_000009_000001	Mrs Miller hath acquainted you with the whole truth. O! my Sophia, am I never to hope for forgiveness?"--"I think, Mr Jones," said she, "I may almost depend on your own justice, and leave it to yourself to pass sentence on your own conduct."--"Alas! madam," answered he, "it is mercy, and not justice, which I implore at your hands.	Mrs Miller hath acquainted you with the whole truth. O! my Sophia, am I never to hope for forgiveness?"--"I think, Mr Jones," said she, "I may almost depend on your own justice, and leave it to yourself to pass sentence on your own conduct."--"Alas! madam," answered he, "it is mercy, and not justice, which I implore at your hands.	false	222.14	246.85	20.765776
3094_136458_000009_000002	Justice I know must condemn me.--Yet not for the letter I sent to Lady Bellaston.	Justice I know must condemn me.--Yet not for the letter I sent to Lady Bellaston.	true	246.98	253.03	21.464851
3094_136458_000009_000003	Of that I most solemnly declare you have had a true account." He then insisted much on the security given him by Nightingale of a fair pretence for breaking off, if, contrary to their expectations, her ladyship should have accepted his offer; but confest that he had been guilty of a great indiscretion to put such a letter as that into her power, "which," said he, "I have dearly paid for, in the effect it has upon you."	Of that I most solemnly declare you have had a true account." He then insisted much on the security given him by Nightingale of a fair pretence for breaking off, if, contrary to their expectations, her ladyship should have accepted his offer; but confest that he had been guilty of a great indiscretion to put such a letter as that into her power, "which," said he, "I have dearly paid for, in the effect it has upon you."	false	253.16	284.2	21.18736
3094_136458_000009_000004	"I do not, I cannot," says she, "believe otherwise of that letter than you would have me.	"I do not, I cannot," says she, "believe otherwise of that letter than you would have me.	true	285.47	291.64	18.904058
3094_136458_000009_000005	My conduct, I think, shews you clearly I do not believe there is much in that.	My conduct, I think, shews you clearly I do not believe there is much in that.	false	291.95	297.61	19
3094_136458_000009_000006	And yet, Mr Jones, have I not enough to resent?	And yet, Mr Jones, have I not enough to resent?	true	297.77	301.18	19
3094_136458_000009_000007	After what past at Upton, so soon to engage in a new amour with another woman, while I fancied, and you pretended, your heart was bleeding for me?	After what past at Upton, so soon to engage in a new amour with another woman, while I fancied, and you pretended, your heart was bleeding for me?	true	301.37	310.9	19
