2074_147193_000000_000000	STORY III.--THESEUS	STORY three.--THESEUS	false	0	21.66	23.152128
2074_147193_000001_000000	PART I HOW THESEUS LIFTED THE STONE	PART one HOW THESEUS LIFTED THE STONE	false	21.66	27.4	25.895914
2074_147193_000002_000000	Once upon a time there was a princess in Troezene, Aithra, the daughter of Pittheus the king.	Once upon a time there was a princess in Troezene, Aithra, the daughter of Pittheus the king.	false	29.42	36.73	22.797981
2074_147193_000002_000001	She had one fair son, named Theseus, the bravest lad in all the land; and Aithra never smiled but when she looked at him, for her husband had forgotten her, and lived far away.	She had one fair son, named Theseus, the bravest lad in all the land; and Aithra never smiled but when she looked at him, for her husband had forgotten her, and lived far away.	true	37.22	52.48	20.067097
2074_147193_000002_000002	And she used to go up to the mountain above Troezene, to the temple of Poseidon and sit there all day looking out across the bay, over Methana, to the purple peaks of AEgina and the Attic shore beyond.	And she used to go up to the mountain above Troezene, to the temple of Poseidon and sit there all day looking out across the bay, over Methana, to the purple peaks of AEgina and the Attic shore beyond.	false	53.12	67.81	23.017622
2074_147193_000002_000003	And when Theseus was full fifteen years old she took him up with her to the temple, and into the thickets of the grove which grew in the temple-yard.	And when Theseus was full fifteen years old she took him up with her to the temple, and into the thickets of the grove which grew in the temple yard.	true	68.42	78.4	24.50758
2074_147193_000002_000004	And she led him to a tall plane-tree, beneath whose shade grew arbutus, and lentisk, and purple heather-bushes.	And she led him to a tall plane tree, beneath whose shade grew arbutus, and lentisk, and purple heather bushes.	true	78.92	87.1	24.510221
2074_147193_000002_000005	And there she sighed, and said, 'Theseus, my son, go into that thicket and you will find at the plane-tree foot a great flat stone; lift it, and bring me what lies underneath.'	And there she sighed, and said, 'Theseus, my son, go into that thicket and you will find at the plane tree foot a great flat stone; lift it, and bring me what lies underneath.'	true	87.65	103.87	23.14895
2074_147193_000003_000000	Then Theseus pushed his way in through the thick bushes, and saw that they had not been moved for many a year.	Then Theseus pushed his way in through the thick bushes, and saw that they had not been moved for many a year.	true	104.03	111.49	24.254124
2074_147193_000003_000001	And searching among their roots he found a great flat stone, all overgrown with ivy, and acanthus, and moss.	And searching among their roots he found a great flat stone, all overgrown with ivy, and acanthus, and moss.	true	112.01	121.09	23.82942
2074_147193_000003_000002	He tried to lift it, but he could not.	He tried to lift it, but he could not.	true	121.73	124.66	26.349596
2074_147193_000003_000003	And he tried till the sweat ran down his brow from heat, and the tears from his eyes for shame; but all was of no avail.	And he tried till the sweat ran down his brow from heat, and the tears from his eyes for shame; but all was of no avail.	true	125.06	135.61	19.821762
2074_147193_000003_000004	And at last he came back to his mother, and said, 'I have found the stone, but I cannot lift it; nor do I think that any man could in all Troezene.'	And at last he came back to his mother, and said, 'I have found the stone, but I cannot lift it; nor do I think that any man could in all Troezene.'	false	136.34	148.71	25.055155
2074_147193_000004_000000	Then she sighed, and said, 'The Gods wait long; but they are just at last.	Then she sighed, and said, 'The Gods wait long; but they are just at last.	true	148.71	155.38	18.248789
2074_147193_000004_000001	Let it be for another year.	Let it be for another year.	true	155.72	157.81	22.275858
2074_147193_000004_000002	The day may come when you will be a stronger man than lives in all Troezene.'	The day may come when you will be a stronger man than lives in all Troezene.'	false	158.27	164.25	20.04929
2074_147193_000005_000000	Then she took him by the hand, and went into the temple and prayed, and came down again with Theseus to her home.	Then she took him by the hand, and went into the temple and prayed, and came down again with Theseus to her home.	true	164.25	171.22	24.478611
2074_147193_000006_000000	And when a full year was past she led Theseus up again to the temple, and bade him lift the stone; but he could not.	And when a full year was past she led Theseus up again to the temple, and bade him lift the stone; but he could not.	true	171.95	180.61	23.860012
2074_147193_000007_000000	Then she sighed, and said the same words again, and went down, and came again the next year; but Theseus could not lift the stone then, nor the year after; and he longed to ask his mother the meaning of that stone, and what might lie underneath it; but her face was so sad that he had not the heart to ask.	Then she sighed, and said the same words again, and went down, and came again the next year; but Theseus could not lift the stone then, nor the year after; and he longed to ask his mother the meaning of that stone, and what might lie underneath it; but her face was so sad that he had not the heart to ask.	true	181.07	204.46	23.087116
2074_147193_000008_000000	So he said to himself, 'The day shall surely come when I will lift that stone, though no man in Troezene can.' And in order to grow strong he spent all his days in wrestling, and boxing, and hurling, and taming horses, and hunting the boar and the bull, and coursing goats and deer among the rocks; till upon all the mountains there was no hunter so swift as Theseus; and he killed Phaia the wild sow of Crommyon, which wasted all the land; till all the people said, 'Surely the Gods are with the lad.'	So he said to himself, 'The day shall surely come when I will lift that stone, though no man in Troezene can.' And in order to grow strong he spent all his days in wrestling, and boxing, and hurling, and taming horses, and hunting the boar and the bull, and coursing goats and deer among the rocks; till upon all the mountains there was no hunter so swift as Theseus; and he killed Phaia the wild sow of Crommyon, which wasted all the land; till all the people said, 'Surely the Gods are with the lad.'	false	204.98	242.86	21.443478
2074_147193_000009_000000	And when his eighteenth year was past, Aithra led him up again to the temple, and said, 'Theseus, lift the stone this day, or never know who you are.' And Theseus went into the thicket, and stood over the stone, and tugged at it; and it moved.	And when his eighteenth year was past, Aithra led him up again to the temple, and said, 'Theseus, lift the stone this day, or never know who you are.' And Theseus went into the thicket, and stood over the stone, and tugged at it; and it moved.	true	243.53	264.34	22.491716
2074_147193_000009_000001	Then his spirit swelled within him, and he said, 'If I break my heart in my body, it shall up.' And he tugged at it once more, and lifted it, and rolled it over with a shout.	Then his spirit swelled within him, and he said, 'If I break my heart in my body, it shall up.' And he tugged at it once more, and lifted it, and rolled it over with a shout.	true	264.83	281.26	23.641582
2074_147193_000010_000000	And when he looked beneath it, on the ground lay a sword of bronze, with a hilt of glittering gold, and by it a pair of golden sandals; and he caught them up, and burst through the bushes like a wild boar, and leapt to his mother, holding them high above his head.	And when he looked beneath it, on the ground lay a sword of bronze, with a hilt of glittering gold, and by it a pair of golden sandals; and he caught them up, and burst through the bushes like a wild boar, and leapt to his mother, holding them high above his head.	true	281.72	300.85	21.068861
2074_147193_000011_000000	But when she saw them she wept long in silence, hiding her fair face in her shawl; and Theseus stood by her wondering, and wept also, he knew not why.	But when she saw them she wept long in silence, hiding her fair face in her shawl; and Theseus stood by her wondering, and wept also, he knew not why.	true	301.55	315.55	20.624397
2074_147193_000011_000001	And when she was tired of weeping, she lifted up her head, and laid her finger on her lips, and said, 'Hide them in your bosom, Theseus my son, and come with me where we can look down upon the sea.'	And when she was tired of weeping, she lifted up her head, and laid her finger on her lips, and said, 'Hide them in your bosom, Theseus my son, and come with me where we can look down upon the sea.'	true	316.64	330.85	22.724583
2074_147193_000012_000000	Then they went outside the sacred wall, and looked down over the bright blue sea; and Aithra said--	Then they went outside the sacred wall, and looked down over the bright blue sea; and Aithra said-	true	331.91	339.19	21.681307
2074_147193_000013_000000	'Do you see this land at our feet?'	'Do you see this land at our feet?'	true	339.98	342.25	23.651247
2074_147193_000014_000000	And he said, 'Yes; this is Troezene, where I was born and bred.'	And he said, 'Yes; this is Troezene, where I was born and bred.'	false	342.65	347.89	17.835064
2074_147193_000015_000000	And she said, 'It is but a little land, barren and rocky, and looks towards the bleak north-east.	And she said, 'It is but a little land, barren and rocky, and looks towards the bleak north-east.	false	348.41	355.96	19.464779
2074_147193_000015_000001	Do you see that land beyond?'	Do you see that land beyond?'	true	356.3	358.54	21.189512
2074_147193_000016_000000	'Yes; that is Attica, where the Athenian people dwell.'	'Yes; that is Attica, where the Athenian people dwell.'	true	359.18	363.84	28.02243
2074_147193_000017_000000	[Picture: Theseus and Aithra]	[Picture: Theseus and Aithra]	false	363.84	364.92	-20
2074_147193_000018_000000	'That is a fair land and large, Theseus my son; and it looks toward the sunny south; a land of olive-oil and honey, the joy of Gods and men.	'That is a fair land and large, Theseus my son; and it looks toward the sunny south; a land of olive oil and honey, the joy of Gods and men.	false	364.92	376.42	19.393076
2074_147193_000018_000001	For the Gods have girdled it with mountains, whose veins are of pure silver, and their bones of marble white as snow; and there the hills are sweet with thyme and basil, and the meadows with violet and asphodel, and the nightingales sing all day in the thickets, by the side of ever-flowing streams.	For the Gods have girdled it with mountains, whose veins are of pure silver, and their bones of marble white as snow; and there the hills are sweet with thyme and basil, and the meadows with violet and asphodel, and the nightingales sing all day in the thickets, by the side of ever flowing streams.	false	377	399.46	20.638071
2074_147193_000018_000002	There are twelve towns well peopled, the homes of an ancient race, the children of Kekrops the serpent king, the son of Mother Earth, who wear gold cicalas among the tresses of their golden hair; for like the cicalas they sprang from the earth, and like the cicalas they sing all day, rejoicing in the genial sun.	There are twelve towns well peopled, the homes of an ancient race, the children of Kekrops the serpent king, the son of Mother Earth, who wear gold cicalas among the tresses of their golden hair; for like the cicalas they sprang from the earth, and like the cicalas they sing all day, rejoicing in the genial sun	true	400.07	422.89	22.371014
2074_147193_000018_000003	What would you do, son Theseus, if you were king of such a land?'	What would you do, son Theseus, if you were king of such a land?'	true	423.83	431.02	20.693634
2074_147193_000019_000000	Then Theseus stood astonished, as he looked across the broad bright sea, and saw the fair Attic shore, from Sunium to Hymettus and Pentelicus, and all the mountain peaks which girdle Athens round.	Then Theseus stood astonished, as he looked across the broad bright sea, and saw the fair Attic shore, from Sunium to Hymettus and Pentelicus, and all the mountain peaks which girdle Athens round.	true	431.72	448.48	21.121857
2074_147193_000019_000001	But Athens itself he could not see, for purple AEgina stood before it, midway across the sea.	But Athens itself he could not see, for purple AEgina stood before it, midway across the sea.	true	448.79	456.1	26.657187
2074_147193_000020_000000	Then his heart grew great within him, and he said, 'If I were king of such a land I would rule it wisely and well in wisdom and in might, that when I died all men might weep over my tomb, and cry, "Alas for the shepherd of his people!"'	Then his heart grew great within him, and he said, 'If I were king of such a land I would rule it wisely and well in wisdom and in might, that when I died all men might weep over my tomb, and cry, "Alas for the shepherd of his people!"'	true	456.92	477.67	22.481817
2074_147193_000021_000000	And Aithra smiled, and said, 'Take, then, the sword and the sandals, and go to AEgeus, king of Athens, who lives on Pallas' hill; and say to him, "The stone is lifted, but whose is the pledge beneath it?"	And Aithra smiled, and said, 'Take, then, the sword and the sandals, and go to AEgeus, king of Athens, who lives on Pallas' hill; and say to him, "The stone is lifted, but whose is the pledge beneath it?"	true	478.25	494.65	23.048065
2074_147193_000021_000001	Then show him the sword and the sandals, and take what the Gods shall send.'	Then show him the sword and the sandals, and take what the Gods shall send.'	true	494.93	500.2	22.531742
2074_147193_000022_000000	But Theseus wept, 'Shall I leave you, O my mother?'	But Theseus wept, 'Shall I leave you, O my mother?'	true	500.72	505.09	23.285381
2074_147193_000023_000000	But she answered, 'Weep not for me.	But she answered, 'Weep not for me.	true	505.58	508.51	25.45315
2074_147193_000023_000001	That which is fated must be; and grief is easy to those who do nought but grieve.	That which is fated must be; and grief is easy to those who do nought but grieve.	true	508.88	515.38	23.609678
2074_147193_000023_000002	Full of sorrow was my youth, and full of sorrow my womanhood.	Full of sorrow was my youth, and full of sorrow my womanhood.	true	515.87	519.76	18.260199
