3370_756_000004_000000	EPILOGUE	EPILOGUE
3370_756_000005_000000	Chapter I. Plans For Mitya's Escape	Chapter one Plans For Mitya's Escape
3370_756_000006_000000	Very early, at nine o'clock in the morning, five days after the trial, Alyosha went to Katerina Ivanovna's to talk over a matter of great importance to both of them, and to give her a message.	Very early, at nine o'clock in the morning, five days after the trial, Alyosha went to Katerina Ivanovna's to talk over a matter of great importance to both of them, and to give her a message.
3370_756_000006_000001	She sat and talked to him in the very room in which she had once received Grushenka.	She sat and talked to him in the very room in which she had once received Grushenka.
3370_756_000006_000002	In the next room Ivan Fyodorovitch lay unconscious in a high fever.	In the next room Ivan Fyodorovitch lay unconscious in a high fever.
3370_756_000006_000003	Katerina Ivanovna had immediately after the scene at the trial ordered the sick and unconscious man to be carried to her house, disregarding the inevitable gossip and general disapproval of the public.	Katerina Ivanovna had immediately after the scene at the trial ordered the sick and unconscious man to be carried to her house, disregarding the inevitable gossip and general disapproval of the public.
3370_756_000006_000005	But if both had gone away, Katerina Ivanovna would have adhered to her resolution, and would have gone on nursing the sick man and sitting by him day and night.	But if both had gone away, Katerina Ivanovna would have adhered to her resolution, and would have gone on nursing the sick man and sitting by him day and night.
3370_756_000006_000006	Varvinsky and Herzenstube were attending him.	Varvinsky and Herzenstube were attending him.
3370_756_000006_000007	The famous doctor had gone back to Moscow, refusing to give an opinion as to the probable end of the illness.	The famous doctor had gone back to Moscow, refusing to give an opinion as to the probable end of the illness.
3370_756_000006_000008	Though the doctors encouraged Katerina Ivanovna and Alyosha, it was evident that they could not yet give them positive hopes of recovery.	Though the doctors encouraged Katerina Ivanovna and Alyosha, it was evident that they could not yet give them positive hopes of recovery.
3370_756_000007_000000	Alyosha came to see his sick brother twice a day.	Alyosha came to see his sick brother twice a day.
3370_756_000007_000001	But this time he had specially urgent business, and he foresaw how difficult it would be to approach the subject, yet he was in great haste.	But this time he had specially urgent business, and he foresaw how difficult it would be to approach the subject, yet he was in great haste.
3370_756_000007_000002	He had another engagement that could not be put off for that same morning, and there was need of haste.	He had another engagement that could not be put off for that same morning, and there was need of haste.
3370_756_000008_000000	They had been talking for a quarter of an hour.	They had been talking for a quarter of an hour.
3370_756_000008_000001	Katerina Ivanovna was pale and terribly fatigued, yet at the same time in a state of hysterical excitement.	Katerina Ivanovna was pale and terribly fatigued, yet at the same time in a state of hysterical excitement.
3370_756_000009_000002	He must escape. That unhappy man, that hero of honor and principle--not he, not Dmitri Fyodorovitch, but the man lying the other side of that door, who has sacrificed himself for his brother," Katya added, with flashing eyes--"told me the whole plan of escape long ago.	He must escape. That unhappy man, that hero of honor and principle-not he, not Dmitri Fyodorovitch, but the man lying the other side of that door, who has sacrificed himself for his brother," Katya added, with flashing eyes-"told me the whole plan of escape long ago.
3370_756_000009_000004	I've told you something already....	I've told you something already....
3370_756_000009_000006	Oh, it's a long way off yet.	Oh, it's a long way off yet.
3370_756_000009_000008	To-morrow perhaps I will show you in detail the whole plan which Ivan Fyodorovitch left me on the eve of the trial in case of need....	To morrow perhaps I will show you in detail the whole plan which Ivan Fyodorovitch left me on the eve of the trial in case of need....
3370_756_000009_000009	That was when--do you remember?--you found us quarreling.	That was when-do you remember?--you found us quarreling.
3370_756_000009_000010	He had just gone down-stairs, but seeing you I made him come back; do you remember?	He had just gone down stairs, but seeing you I made him come back; do you remember?
3370_756_000009_000011	Do you know what we were quarreling about then?"	Do you know what we were quarreling about then?"
3370_756_000011_000000	"Of course he did not tell you.	"Of course he did not tell you.
3370_756_000011_000001	It was about that plan of escape.	It was about that plan of escape.
3370_756_000011_000002	He had told me the main idea three days before, and we began quarreling about it at once and quarreled for three days.	He had told me the main idea three days before, and we began quarreling about it at once and quarreled for three days.
3370_756_000011_000003	We quarreled because, when he told me that if Dmitri Fyodorovitch were convicted he would escape abroad with that creature, I felt furious at once--I can't tell you why, I don't know myself why....	We quarreled because, when he told me that if Dmitri Fyodorovitch were convicted he would escape abroad with that creature, I felt furious at once-I can't tell you why, I don't know myself why....
3370_756_000011_000005	"As soon as Ivan Fyodorovitch saw that I was furious about that woman, he instantly imagined I was jealous of Dmitri and that I still loved Dmitri.	"As soon as Ivan Fyodorovitch saw that I was furious about that woman, he instantly imagined I was jealous of Dmitri and that I still loved Dmitri.
3370_756_000011_000006	That is how our first quarrel began.	That is how our first quarrel began.
3370_756_000011_000007	I would not give an explanation, I could not ask forgiveness.	I would not give an explanation, I could not ask forgiveness.
3370_756_000011_000009	It was only resentment against that creature that made me angry with him.	It was only resentment against that creature that made me angry with him.
3370_756_000011_000010	Three days later, on the evening you came, he brought me a sealed envelope, which I was to open at once, if anything happened to him.	Three days later, on the evening you came, he brought me a sealed envelope, which I was to open at once, if anything happened to him.
3370_756_000011_000011	Oh, he foresaw his illness!	Oh, he foresaw his illness!
3370_756_000011_000012	He told me that the envelope contained the details of the escape, and that if he died or was taken dangerously ill, I was to save Mitya alone.	He told me that the envelope contained the details of the escape, and that if he died or was taken dangerously ill, I was to save Mitya alone.
3370_756_000011_000013	Then he left me money, nearly ten thousand--those notes to which the prosecutor referred in his speech, having learnt from some one that he had sent them to be changed.	Then he left me money, nearly ten thousand-those notes to which the prosecutor referred in his speech, having learnt from some one that he had sent them to be changed.
3370_756_000011_000014	I was tremendously impressed to find that Ivan Fyodorovitch had not given up his idea of saving his brother, and was confiding this plan of escape to me, though he was still jealous of me and still convinced that I loved Mitya.	I was tremendously impressed to find that Ivan Fyodorovitch had not given up his idea of saving his brother, and was confiding this plan of escape to me, though he was still jealous of me and still convinced that I loved Mitya.
3370_756_000011_000015	Oh, that was a sacrifice!	Oh, that was a sacrifice!
3370_756_000011_000016	No, you cannot understand the greatness of such self-sacrifice, Alexey Fyodorovitch.	No, you cannot understand the greatness of such self sacrifice, Alexey Fyodorovitch.
