3370_756_000000_000000	"He'll have a twenty years' trip to the mines!"	"He'll have a twenty years' trip to the mines!"	false	3.03	17.55	23.673883
3370_756_000001_000000	"Not less."	"Not less."	false	17.55	18.45	19
3370_756_000002_000000	"Well, our peasants have stood firm."	"Well, our peasants have stood firm."	false	18.45	21.15	28.593851
3370_756_000003_000000	"And have done for our Mitya."	"And have done for our Mitya."	false	21.15	24.3	27.34738
3370_756_000004_000000	EPILOGUE	EPILOGUE	true	24.3	25.275	26.525476
3370_756_000005_000000	Chapter I. Plans For Mitya's Escape	Chapter one Plans For Mitya's Escape	true	25.275	29.05	28.385317
3370_756_000006_000000	Very early, at nine o'clock in the morning, five days after the trial, Alyosha went to Katerina Ivanovna's to talk over a matter of great importance to both of them, and to give her a message.	Very early, at nine o'clock in the morning, five days after the trial, Alyosha went to Katerina Ivanovna's to talk over a matter of great importance to both of them, and to give her a message.	true	29.84	42.58	21.802038
3370_756_000006_000001	She sat and talked to him in the very room in which she had once received Grushenka.	She sat and talked to him in the very room in which she had once received Grushenka.	true	43.16	47.86	20.59566
3370_756_000006_000002	In the next room Ivan Fyodorovitch lay unconscious in a high fever.	In the next room Ivan Fyodorovitch lay unconscious in a high fever.	true	48.41	53.23	23.461126
3370_756_000006_000003	Katerina Ivanovna had immediately after the scene at the trial ordered the sick and unconscious man to be carried to her house, disregarding the inevitable gossip and general disapproval of the public.	Katerina Ivanovna had immediately after the scene at the trial ordered the sick and unconscious man to be carried to her house, disregarding the inevitable gossip and general disapproval of the public.	true	53.6	65.26	21.051697
3370_756_000006_000004	One of the two relations who lived with her had departed to Moscow immediately after the scene in court, the other remained.	One of the two relations who lived with her had departed to Moscow immediately after the scene in court, the other remained.	false	65.84	72.79	20.592014
3370_756_000006_000005	But if both had gone away, Katerina Ivanovna would have adhered to her resolution, and would have gone on nursing the sick man and sitting by him day and night.	But if both had gone away, Katerina Ivanovna would have adhered to her resolution, and would have gone on nursing the sick man and sitting by him day and night.	true	73.04	81.79	21.802029
3370_756_000006_000006	Varvinsky and Herzenstube were attending him.	Varvinsky and Herzenstube were attending him.	true	82.28	85.51	28.176422
3370_756_000006_000007	The famous doctor had gone back to Moscow, refusing to give an opinion as to the probable end of the illness.	The famous doctor had gone back to Moscow, refusing to give an opinion as to the probable end of the illness.	true	85.82	92.02	24.956076
3370_756_000006_000008	Though the doctors encouraged Katerina Ivanovna and Alyosha, it was evident that they could not yet give them positive hopes of recovery.	Though the doctors encouraged Katerina Ivanovna and Alyosha, it was evident that they could not yet give them positive hopes of recovery.	true	92.45	100.24	22.994211
3370_756_000007_000000	Alyosha came to see his sick brother twice a day.	Alyosha came to see his sick brother twice a day.	true	100.61	103.63	31.418533
3370_756_000007_000001	But this time he had specially urgent business, and he foresaw how difficult it would be to approach the subject, yet he was in great haste.	But this time he had specially urgent business, and he foresaw how difficult it would be to approach the subject, yet he was in great haste.	true	103.85	112.06	21.797956
3370_756_000007_000002	He had another engagement that could not be put off for that same morning, and there was need of haste.	He had another engagement that could not be put off for that same morning, and there was need of haste.	true	112.43	117.82	20.806786
3370_756_000008_000000	They had been talking for a quarter of an hour.	They had been talking for a quarter of an hour.	true	118.43	120.79	23.055576
3370_756_000008_000001	Katerina Ivanovna was pale and terribly fatigued, yet at the same time in a state of hysterical excitement.	Katerina Ivanovna was pale and terribly fatigued, yet at the same time in a state of hysterical excitement.	true	121.19	128.11	24.135662
3370_756_000008_000002	She had a presentiment of the reason why Alyosha had come to her.	She had a presentiment of the reason why Alyosha had come to her.	true	128.18	131.59	17
3370_756_000009_000000	"Don't worry about his decision," she said, with confident emphasis to Alyosha.	"Don't worry about his decision," she said, with confident emphasis to Alyosha.	true	132.62	137.17	19.123144
3370_756_000009_000001	"One way or another he is bound to come to it.	"One way or another he is bound to come to it.	true	137.33	139.83	19.964699
3370_756_000009_000002	He must escape. That unhappy man, that hero of honor and principle--not he, not Dmitri Fyodorovitch, but the man lying the other side of that door, who has sacrificed himself for his brother," Katya added, with flashing eyes--"told me the whole plan of escape long ago.	He must escape. That unhappy man, that hero of honor and principle-not he, not Dmitri Fyodorovitch, but the man lying the other side of that door, who has sacrificed himself for his brother," Katya added, with flashing eyes-"told me the whole plan of escape long ago.	true	139.83	158.29	22.951185
3370_756_000009_000003	You know he has already entered into negotiations....	You know he has already entered into negotiations....	true	158.39	161.41	17.71276
3370_756_000009_000004	I've told you something already....	I've told you something already....	true	161.93	163.75	26.477196
3370_756_000009_000005	You see, it will probably come off at the third _etape_ from here, when the party of prisoners is being taken to Siberia.	You see, it will probably come off at the third underscore etape underscore from here, when the party of prisoners is being taken to Siberia.	false	164.06	171.33	27.00618
3370_756_000009_000006	Oh, it's a long way off yet.	Oh, it's a long way off yet.	true	171.33	173.17	23.185108
3370_756_000009_000007	Ivan Fyodorovitch has already visited the superintendent of the third _etape_. But we don't know yet who will be in charge of the party, and it's impossible to find that out so long beforehand.	Ivan Fyodorovitch has already visited the superintendent of the third underscore etape underscore. But we don't know yet who will be in charge of the party, and it's impossible to find that out so long beforehand.	false	173.3	184.57	20.771591
3370_756_000009_000008	To-morrow perhaps I will show you in detail the whole plan which Ivan Fyodorovitch left me on the eve of the trial in case of need....	To morrow perhaps I will show you in detail the whole plan which Ivan Fyodorovitch left me on the eve of the trial in case of need....	true	185.24	192.22	25
3370_756_000009_000009	That was when--do you remember?--you found us quarreling.	That was when-do you remember?--you found us quarreling.	true	192.83	196.27	20.427515
3370_756_000009_000010	He had just gone down-stairs, but seeing you I made him come back; do you remember?	He had just gone down stairs, but seeing you I made him come back; do you remember?	true	196.85	201.88	25.958391
3370_756_000009_000011	Do you know what we were quarreling about then?"	Do you know what we were quarreling about then?"	true	202.49	204.43	23.239208
3370_756_000010_000000	"No, I don't," said Alyosha.	"No, I don't," said Alyosha.	true	205.1	207.31	19.70982
3370_756_000011_000000	"Of course he did not tell you.	"Of course he did not tell you.	true	207.83	209.47	26.326658
3370_756_000011_000001	It was about that plan of escape.	It was about that plan of escape.	true	209.87	212.1	33.099766
3370_756_000011_000002	He had told me the main idea three days before, and we began quarreling about it at once and quarreled for three days.	He had told me the main idea three days before, and we began quarreling about it at once and quarreled for three days.	true	212.1	217.87	21.758821
3370_756_000011_000003	We quarreled because, when he told me that if Dmitri Fyodorovitch were convicted he would escape abroad with that creature, I felt furious at once--I can't tell you why, I don't know myself why....	We quarreled because, when he told me that if Dmitri Fyodorovitch were convicted he would escape abroad with that creature, I felt furious at once-I can't tell you why, I don't know myself why....	true	218.45	230.73	25.951351
3370_756_000011_000004	Oh, of course, I was furious then about that creature, and that she, too, should go abroad with Dmitri!" Katerina Ivanovna exclaimed suddenly, her lips quivering with anger.	Oh, of course, I was furious then about that creature, and that she, too, should go abroad with Dmitri!" Katerina Ivanovna exclaimed suddenly, her lips quivering with anger.	false	230.73	241.72	25.503586
3370_756_000011_000005	"As soon as Ivan Fyodorovitch saw that I was furious about that woman, he instantly imagined I was jealous of Dmitri and that I still loved Dmitri.	"As soon as Ivan Fyodorovitch saw that I was furious about that woman, he instantly imagined I was jealous of Dmitri and that I still loved Dmitri.	true	242.15	251.02	21.136856
3370_756_000011_000006	That is how our first quarrel began.	That is how our first quarrel began.	true	251.39	253.42	21.142897
3370_756_000011_000007	I would not give an explanation, I could not ask forgiveness.	I would not give an explanation, I could not ask forgiveness.	true	253.88	257.59	24.445019
3370_756_000011_000008	I could not bear to think that such a man could suspect me of still loving that ... and when I myself had told him long before that I did not love Dmitri, that I loved no one but him!	I could not bear to think that such a man could suspect me of still loving that ... and when I myself had told him long before that I did not love Dmitri, that I loved no one but him!	false	258.05	269.5	21.515556
