6341_64956_000002_000000	CHAPTER I.	CHAPTER one
6341_64956_000003_000000	It is a busy, talking world.	It is a busy, talking world.
6341_64956_000004_000000	--ROWE.	--ROWE.
6341_64956_000005_000000	"I think I shall enjoy the fortnight we are to spend here, papa; it seems such a very pleasant place," Elsie remarked, in a tone of great satisfaction.	"I think I shall enjoy the fortnight we are to spend here, papa; it seems such a very pleasant place," Elsie remarked, in a tone of great satisfaction.
6341_64956_000006_000000	"I am glad you are pleased with it, daughter," returned Mr. Dinsmore, opening the morning paper, which John had just brought up.	"I am glad you are pleased with it, daughter," returned mr Dinsmore, opening the morning paper, which john had just brought up.
6341_64956_000007_000000	They--Mr.	They-mr
6341_64956_000007_000001	Dinsmore and Elsie, Rose and Edward Allison--were occupying very comfortable quarters in a large hotel at one of our fashionable watering-places.	Dinsmore and Elsie, Rose and Edward Allison-were occupying very comfortable quarters in a large hotel at one of our fashionable watering places.
6341_64956_000007_000002	A bedroom for each, and a private parlor for the joint use of the party, had been secured in advance, and late the night before they had arrived and taken possession.	A bedroom for each, and a private parlor for the joint use of the party, had been secured in advance, and late the night before they had arrived and taken possession.
6341_64956_000008_000000	It was now early in the morning, Elsie and her papa were in his room, which was in the second story and opened upon a veranda, shaded by tall trees, and overlooking a large grassy yard at the side of the building.	It was now early in the morning, Elsie and her papa were in his room, which was in the second story and opened upon a veranda, shaded by tall trees, and overlooking a large grassy yard at the side of the building.
6341_64956_000008_000001	Beyond were green fields, woods, and hills.	Beyond were green fields, woods, and hills.
6341_64956_000009_000000	"Papa," said Elsie, gazing longingly upon them, as she stood by the open window, "can't we take a walk?"	"Papa," said Elsie, gazing longingly upon them, as she stood by the open window, "can't we take a walk?"
6341_64956_000010_000000	"When Miss Rose is ready to go with us."	"When Miss Rose is ready to go with us."
6341_64956_000011_000000	"May I run to her door and ask if she is?--and if she isn't, may I wait for her out here on the veranda?"	"May I run to her door and ask if she is?--and if she isn't, may I wait for her out here on the veranda?"
6341_64956_000012_000000	"Yes."	"Yes."
6341_64956_000013_000000	She skipped away, but was back again almost immediately.	She skipped away, but was back again almost immediately.
6341_64956_000013_000001	"Papa, what do you think?	"Papa, what do you think?
6341_64956_000013_000002	It's just too bad!"	It's just too bad!"
6341_64956_000014_000000	"What is too bad, daughter?	"What is too bad, daughter?
6341_64956_000014_000001	I think I never before saw so cross a look on my little girl's face," he said, peering at her over the top of his newspaper.	I think I never before saw so cross a look on my little girl's face," he said, peering at her over the top of his newspaper.
6341_64956_000014_000002	"Come here, and tell me what it is all about."	"Come here, and tell me what it is all about."
6341_64956_000015_000000	She obeyed, hanging her head and blushing.	She obeyed, hanging her head and blushing.
6341_64956_000015_000001	"I think I have some reason to be cross, papa," she said; "I thought we were going to have such a delightful time here, and now it is all spoiled.	"I think I have some reason to be cross, papa," she said; "I thought we were going to have such a delightful time here, and now it is all spoiled.
6341_64956_000015_000002	You could never guess who has the rooms just opposite ours; on the other side of the hall."	You could never guess who has the rooms just opposite ours; on the other side of the hall."
6341_64956_000016_000000	"Miss Stevens?"	"Miss Stevens?"
6341_64956_000017_000000	"Why, papa; did you know she was here?"	"Why, papa; did you know she was here?"
6341_64956_000018_000000	"I knew she was in the house, because I saw her name in the hotel book last night when I went to register ours."	"I knew she was in the house, because I saw her name in the hotel book last night when I went to register ours."
6341_64956_000019_000000	"And it just spoils all our pleasure."	"And it just spoils all our pleasure."
6341_64956_000020_000000	"I hope not, daughter.	"I hope not, daughter.
6341_64956_000020_000001	I think she will hardly annoy you when you are close at my side; and that is pretty much all the time, isn't it?"	I think she will hardly annoy you when you are close at my side; and that is pretty much all the time, isn't it?"
6341_64956_000022_000000	"Ah, now I have my own little girl again," he said, drawing her to his knee and returning her caresses with interest: "But there, I hear Miss Rose's step in the hall.	"Ah, now I have my own little girl again," he said, drawing her to his knee and returning her caresses with interest: "But there, I hear Miss Rose's step in the hall.
6341_64956_000022_000001	Run to mammy and have your hat put on."	Run to mammy and have your hat put on."
6341_64956_000023_000000	Miss Stevens' presence proved scarcely less annoying to Elsie than the child had anticipated.	Miss Stevens' presence proved scarcely less annoying to Elsie than the child had anticipated.
6341_64956_000023_000001	She tried to keep out of the lady's way, but it was quite impossible.	She tried to keep out of the lady's way, but it was quite impossible.
6341_64956_000024_000000	Then she would press all sorts of dainties upon the little girl in such a way that it was next to impossible to decline them, and occasionally even went so far as to suggest improvements, or rather alterations, in her dress, which she said was entirely too plain.	Then she would press all sorts of dainties upon the little girl in such a way that it was next to impossible to decline them, and occasionally even went so far as to suggest improvements, or rather alterations, in her dress, which she said was entirely too plain.
6341_64956_000025_000000	"You ought to have more flounces on your skirts, my dear," she remarked one day.	"You ought to have more flounces on your skirts, my dear," she remarked one day.
6341_64956_000025_000001	"Skirt flounced to the waist are so very pretty and dressy, and you would look sweetly in them, but I notice you don't wear them at all.	"Skirt flounced to the waist are so very pretty and dressy, and you would look sweetly in them, but I notice you don't wear them at all.
6341_64956_000025_000002	Do ask your papa to let you get a new dress and have it made so; I am sure he would consent, for any one can see that he is very fond of you.	Do ask your papa to let you get a new dress and have it made so; I am sure he would consent, for any one can see that he is very fond of you.
6341_64956_000025_000003	He doesn't think of it; we can't expect gentlemen to notice such little matters; you ought to have a mamma to attend to such things for you.	He doesn't think of it; we can't expect gentlemen to notice such little matters; you ought to have a mamma to attend to such things for you.
6341_64956_000025_000004	Ah! if you were my child, I would dress you sweetly, you dear little thing!"	Ah! if you were my child, I would dress you sweetly, you dear little thing!"
