3654_171137_000003_000000	BOOK III.	BOOK three.
3654_171137_000005_000000	From Vespasian's Coming To Subdue The Jews To The Taking Of Gamala.	From Vespasian's Coming To Subdue The Jews To The Taking Of Gamala.
3654_171137_000006_000000	CHAPTER 1.	CHAPTER one.
3654_171137_000007_000000	Vespasian Is Sent Into Syria By Nero In Order To Make War With The Jews.	Vespasian Is Sent Into Syria By Nero In Order To Make War With The Jews.
3654_171137_000008_000002	Yet did the disturbance that was in his soul plainly appear by the solicitude he was in [how to recover his affairs again].	Yet did the disturbance that was in his soul plainly appear by the solicitude he was in [how to recover his affairs again].
3654_171137_000010_000001	So Nero esteemed these circumstances as favorable omens, and saw that Vespasian's age gave him sure experience, and great skill, and that he had his sons as hostages for his fidelity to himself, and that the flourishing age they were in would make them fit instruments under their father's prudence.	So Nero esteemed these circumstances as favorable omens, and saw that Vespasian's age gave him sure experience, and great skill, and that he had his sons as hostages for his fidelity to himself, and that the flourishing age they were in would make them fit instruments under their father's prudence.
3654_171137_000010_000002	Perhaps also there was some interposition of Providence, which was paving the way for Vespasian's being himself emperor afterwards.	Perhaps also there was some interposition of Providence, which was paving the way for Vespasian's being himself emperor afterwards.
3654_171137_000011_000000	CHAPTER 2.	CHAPTER two.
3654_171137_000012_000000	A Great Slaughter About Ascalon.	A Great Slaughter About Ascalon.
3654_171137_000013_000002	Accordingly, they presently got together a great multitude of all their most hardy soldiers, and marched away for Ascalon.	Accordingly, they presently got together a great multitude of all their most hardy soldiers, and marched away for Ascalon.
3654_171137_000016_000002	At this city also the inhabitants of Sepphoris of Galilee met him, who were for peace with the Romans.	At this city also the inhabitants of Sepphoris of Galilee met him, who were for peace with the romans.
3654_171137_000016_000005	And indeed the danger of losing Sepphoris would be no small one, in this war that was now beginning, seeing it was the largest city of Galilee, and built in a place by nature very strong, and might be a security of the whole nation's [fidelity to the Romans].	And indeed the danger of losing Sepphoris would be no small one, in this war that was now beginning, seeing it was the largest city of Galilee, and built in a place by nature very strong, and might be a security of the whole nation's [fidelity to the romans].
3654_171137_000017_000000	CHAPTER 3.	CHAPTER three.
3654_171137_000018_000000	A Description Of Galilee, Samaria, And Judea.	A Description Of Galilee, Samaria, And Judea.
3654_171137_000020_000002	Moreover, the cities lie here very thick, and the very many villages there are here are every where so full of people, by the richness of their soil, that the very least of them contain above fifteen thousand inhabitants.	Moreover, the cities lie here very thick, and the very many villages there are here are every where so full of people, by the richness of their soil, that the very least of them contain above fifteen thousand inhabitants.
3654_171137_000021_000002	It is also sufficiently watered with torrents, which issue out of the mountains, and with springs that never fail to run, even when the torrents fail them, as they do in the dog-days.	It is also sufficiently watered with torrents, which issue out of the mountains, and with springs that never fail to run, even when the torrents fail them, as they do in the dog days.
3654_171137_000022_000002	They have abundance of trees, and are full of autumnal fruit, both that which grows wild, and that which is the effect of cultivation.	They have abundance of trees, and are full of autumnal fruit, both that which grows wild, and that which is the effect of cultivation.
3654_171137_000023_000002	This is the northern boundary of Judea.	This is the northern boundary of Judea.
3654_171137_000023_000003	The southern parts of Judea, if they be measured lengthways, are bounded by a Village adjoining to the confines of Arabia; the Jews that dwell there call it Jordan.	The southern parts of Judea, if they be measured lengthways, are bounded by a Village adjoining to the confines of Arabia; the Jews that dwell there call it Jordan.
