3483_174132_000003_000000	I am an old man.	I am an old man.
3483_174132_000003_000001	I live here in this ancient house, surrounded by huge, unkempt gardens.	I live here in this ancient house, surrounded by huge, unkempt gardens.
3483_174132_000004_000000	The peasantry, who inhabit the wilderness beyond, say that I am mad. That is because I will have nothing to do with them.	The peasantry, who inhabit the wilderness beyond, say that I am mad. That is because I will have nothing to do with them.
3483_174132_000004_000001	I live here alone with my old sister, who is also my housekeeper.	I live here alone with my old sister, who is also my housekeeper.
3483_174132_000004_000002	We keep no servants--I hate them.	We keep no servants-I hate them.
3483_174132_000004_000003	I have one friend, a dog; yes, I would sooner have old Pepper than the rest of Creation together.	I have one friend, a dog; yes, I would sooner have old Pepper than the rest of Creation together.
3483_174132_000004_000004	He, at least, understands me--and has sense enough to leave me alone when I am in my dark moods.	He, at least, understands me-and has sense enough to leave me alone when I am in my dark moods.
3483_174132_000005_000000	I have decided to start a kind of diary; it may enable me to record some of the thoughts and feelings that I cannot express to anyone; but, beyond this, I am anxious to make some record of the strange things that I have heard and seen, during many years of loneliness, in this weird old building.	I have decided to start a kind of diary; it may enable me to record some of the thoughts and feelings that I cannot express to anyone; but, beyond this, I am anxious to make some record of the strange things that I have heard and seen, during many years of loneliness, in this weird old building.
3483_174132_000006_000000	For a couple of centuries, this house has had a reputation, a bad one, and, until I bought it, for more than eighty years no one had lived here; consequently, I got the old place at a ridiculously low figure.	For a couple of centuries, this house has had a reputation, a bad one, and, until I bought it, for more than eighty years no one had lived here; consequently, I got the old place at a ridiculously low figure.
3483_174132_000007_000000	I am not superstitious; but I have ceased to deny that things happen in this old house--things that I cannot explain; and, therefore, I must needs ease my mind, by writing down an account of them, to the best of my ability; though, should this, my diary, ever be read when I am gone, the readers will but shake their heads, and be the more convinced that I was mad.	I am not superstitious; but I have ceased to deny that things happen in this old house-things that I cannot explain; and, therefore, I must needs ease my mind, by writing down an account of them, to the best of my ability; though, should this, my diary, ever be read when I am gone, the readers will but shake their heads, and be the more convinced that I was mad.
3483_174132_000008_000001	Little curved towers and pinnacles, with outlines suggestive of leaping flames, predominate; while the body of the building is in the form of a circle.	Little curved towers and pinnacles, with outlines suggestive of leaping flames, predominate; while the body of the building is in the form of a circle.
3483_174132_000009_000000	I have heard that there is an old story, told amongst the country people, to the effect that the devil built the place.	I have heard that there is an old story, told amongst the country people, to the effect that the devil built the place.
3483_174132_000009_000001	However, that is as may be.	However, that is as may be.
3483_174132_000009_000002	True or not, I neither know nor care, save as it may have helped to cheapen it, ere I came.	True or not, I neither know nor care, save as it may have helped to cheapen it, ere I came.
3483_174132_000010_000000	I must have been here some ten years before I saw sufficient to warrant any belief in the stories, current in the neighborhood, about this house.	I must have been here some ten years before I saw sufficient to warrant any belief in the stories, current in the neighborhood, about this house.
