4595_45218_000000_000000	“Sister Theresa has left, sir.”	"Sister Theresa has left, sir."	false	13.17	15.84	22.889938
4595_45218_000001_000000	Bates had been into Annandale to mail some letters, and I was staring out upon the park from the library windows when he entered.	Bates had been into Annandale to mail some letters, and I was staring out upon the park from the library windows when he entered.	true	15.84	22.12	21.986778
4595_45218_000001_000001	Stoddard, having kept watch the night before, was at home asleep, and Larry was off somewhere in the house, treasure-hunting.	Stoddard, having kept watch the night before, was at home asleep, and Larry was off somewhere in the house, treasure hunting.	true	22.22	28	24.968828
4595_45218_000001_000002	I was feeling decidedly discouraged over our failure to make any progress with our investigations, and Bates’ news did not interest me.	I was feeling decidedly discouraged over our failure to make any progress with our investigations, and Bates' news did not interest me.	true	28.25	35.56	20.691744
4595_45218_000002_000000	“Well, what of it?” I demanded, without turning round.	"Well, what of it?" I demanded, without turning round.	true	36.77	39.55	24.320183
4595_45218_000003_000000	“Nothing, sir; but Miss Devereux has come back!”	"Nothing, sir; but Miss Devereux has come back!"	true	40.37	44.08	26.272264
4595_45218_000004_000000	“The devil!”	"The devil!"	true	45.11	46.21	23.594542
4595_45218_000005_000000	I turned and took a step toward the door.	I turned and took a step toward the door.	false	47.06	49.09	23.67275
4595_45218_000006_000000	“I said Miss Devereux,” he repeated in dignified rebuke. “She came up this morning, and the Sister left at once for Chicago.	"I said Miss Devereux," he repeated in dignified rebuke. "She came up this morning, and the Sister left at once for Chicago.	true	50.09	58.96	23.076288
4595_45218_000006_000001	Sister Theresa depends particularly upon Miss Devereux,—so I’ve heard, sir.	Sister Theresa depends particularly upon Miss Devereux,—so I've heard, sir.	true	59.36	64.5	24.998293
4595_45218_000006_000002	Miss Devereux quite takes charge when the Sister goes away. A few of the students are staying in school through the holidays.”	Miss Devereux quite takes charge when the Sister goes away. A few of the students are staying in school through the holidays."	false	64.5	71.92	22.620779
4595_45218_000007_000000	“You seem full of information,”	"You seem full of information,"	true	73.1	74.925	24.649359
4595_45218_000007_000001	I remarked, taking another step toward my hat and coat.	I remarked, taking another step toward my hat and coat.	true	74.925	77.59	27.266418
4595_45218_000008_000000	“And I’ve learned something else, sir.”	"And I've learned something else, sir."	false	78.32	81.24	18.647985
4595_45218_000009_000000	“Well?”	"Well?"	true	81.24	81.85	38.724697
4595_45218_000010_000000	“They all came together, sir.”	"They all came together, sir."	true	82.31	84.28	21.265894
4595_45218_000011_000000	“Who came; if you please, Bates?”	"Who came; if you please, Bates?"	true	85.16	86.74	21.530125
4595_45218_000012_000000	“Why, the people who’ve been traveling with Mr. Pickering came back with him, and Miss Devereux came with them from Cincinnati.	"Why, the people who've been traveling with mr Pickering came back with him, and Miss Devereux came with them from Cincinnati.	false	88.1	95.29	24.2043
4595_45218_000012_000001	That’s what I learned in the village.	That's what I learned in the village.	true	95.45	97.215	22.856289
4595_45218_000012_000002	And Mr. Pickering is going to stay—”	And mr Pickering is going to stay—"	true	97.215	99.52	23.08039
4595_45218_000013_000000	“Pickering stay!”	"Pickering stay!"	true	99.98	101.61	28.430851
4595_45218_000014_000000	“At his cottage on the lake for a while.	"At his cottage on the lake for a while.	false	101.61	104.68	24.503021
4595_45218_000014_000001	The reason is that he’s worn out with his work, and wishes quiet. The other people went back to New York in the car.”	The reason is that he's worn out with his work, and wishes quiet. The other people went back to New York in the car."	true	104.75	111.79	26.24962
4595_45218_000015_000000	“He’s opened a summer cottage in mid-winter, has he?”	"He's opened a summer cottage in mid winter, has he?"	true	112.67	115.45	23.462753
4595_45218_000016_000000	I had been blue enough without this news.	I had been blue enough without this news.	true	116.18	118.51	22.38312
4595_45218_000016_000001	Marian Devereux had come back to Annandale with Arthur Pickering; my faith in her snapped like a reed at this astounding news.	Marian Devereux had come back to Annandale with Arthur Pickering; my faith in her snapped like a reed at this astounding news.	true	118.67	125.71	27.498714
4595_45218_000016_000002	She was now entitled to my grandfather’s property and she had lost no time in returning as soon as she and Pickering had discussed together at the Armstrongs’ my flight from Annandale.	She was now entitled to my grandfather's property and she had lost no time in returning as soon as she and Pickering had discussed together at the Armstrongs' my flight from Annandale.	true	125.96	135.43	23
4595_45218_000016_000003	Her return could have no other meaning than that there was a strong tie between them, and he was now to stay on the ground until I should be dispossessed and her rights established.	Her return could have no other meaning than that there was a strong tie between them, and he was now to stay on the ground until I should be dispossessed and her rights established.	true	135.56	144.73	22.368309
4595_45218_000016_000004	She had led me to follow her, and my forfeiture had been sealed by that stolen interview at the Armstrongs’.	She had led me to follow her, and my forfeiture had been sealed by that stolen interview at the Armstrongs'.	true	145.01	150.43	21.05119
4595_45218_000016_000005	It was a black record, and the thought of it angered me against myself and the world.	It was a black record, and the thought of it angered me against myself and the world.	true	150.8	155.05	25.237503
4595_45218_000017_000000	“Tell Mr. Donovan that I’ve gone to St. Agatha’s,” I said, and I was soon striding toward the school.	"Tell mr Donovan that I've gone to saint Agatha's," I said, and I was soon striding toward the school.	true	156.02	161.38	21.484608
4595_45218_000018_000000	A Sister admitted me.	A Sister admitted me.	true	162.02	163.29	19.511225
