6388_64974_000001_000000	CHAPTER XIX.	CHAPTER nineteen.
6388_64974_000002_000000	Oh, what a feeble fort's a woman's heart, Betrayed by nature, and besieged by art.	Oh, what a feeble fort's a woman's heart, Betrayed by nature, and besieged by art.
6388_64974_000003_000000	--FANE'S "LOVE IN THE DARK."	--FANE'S "LOVE IN THE DARK."
6388_64974_000004_000001	"Horace, will you bring her to see me again?"	"Horace, will you bring her to see me again?"
6388_64974_000005_000000	"Yes, aunt, if she wants to come.	"Yes, aunt, if she wants to come.
6388_64974_000005_000001	But don't ask me to leave her again."	But don't ask me to leave her again."
6388_64974_000006_000001	I'd be happy, sir, at any time when you can make it convenient for me to see you here, with Horace and the child, or without them."	I'd be happy, sir, at any time when you can make it convenient for me to see you here, with Horace and the child, or without them."
6388_64974_000007_000000	"Thank you, Miss Stanhope; and mother and I would be delighted to see you at Ion."	"Thank you, Miss Stanhope; and mother and I would be delighted to see you at Ion."
6388_64974_000008_000002	Daughter, put down your veil."	Daughter, put down your veil."
6388_64974_000009_000000	Egerton was at the depot, but could get neither a word with Elsie, nor so much as a sight of her face.	Egerton was at the depot, but could get neither a word with Elsie, nor so much as a sight of her face.
6388_64974_000009_000001	Her veil was not once lifted, and her father never left her side for a moment.	Her veil was not once lifted, and her father never left her side for a moment.
6388_64974_000009_000002	Mr. Travilla bought the tickets, and Simon attended to the checking of the baggage.	mr Travilla bought the tickets, and Simon attended to the checking of the baggage.
6388_64974_000009_000003	Then the train came thundering up, and the fair girl was hurried into it, Mr. Travilla, on one side, and her father on the other, effectually preventing any near approach to her person on the part of the baffled and disappointed fortune-hunter.	Then the train came thundering up, and the fair girl was hurried into it, mr Travilla, on one side, and her father on the other, effectually preventing any near approach to her person on the part of the baffled and disappointed fortune hunter.
6388_64974_000010_000000	He walked back to his boarding-house, cursing his ill luck and Messrs. Dinsmore and Travilla, and gave notice to his landlady that his room would become vacant the next morning.	He walked back to his boarding house, cursing his ill luck and Messrs. Dinsmore and Travilla, and gave notice to his landlady that his room would become vacant the next morning.
6388_64974_000011_000000	As the train sped onward, again Elsie laid her head down upon her father's shoulder and wept silently behind her veil.	As the train sped onward, again Elsie laid her head down upon her father's shoulder and wept silently behind her veil.
6388_64974_000011_000001	Her feelings had been wrought up to a high pitch of excitement in the struggle to be perfectly submissive and obedient, and now the overstrained nerves claimed this relief.	Her feelings had been wrought up to a high pitch of excitement in the struggle to be perfectly submissive and obedient, and now the overstrained nerves claimed this relief.
6388_64974_000011_000002	And love's young dream, the first, and sweetest, was over and gone.	And love's young dream, the first, and sweetest, was over and gone.
6388_64974_000011_000003	She could never hope to see again the man she still fondly imagined to be good and noble, and with a heart full of deep, passionate love for her.	She could never hope to see again the man she still fondly imagined to be good and noble, and with a heart full of deep, passionate love for her.
6388_64974_000012_000000	Her father understood and sympathized with it all.	Her father understood and sympathized with it all.
6388_64974_000012_000001	He passed his arm about her waist, drew her closer to him, and taking her hand in his, held it in a warm, loving clasp.	He passed his arm about her waist, drew her closer to him, and taking her hand in his, held it in a warm, loving clasp.
6388_64974_000013_000000	How it soothed and comforted her.	How it soothed and comforted her.
6388_64974_000013_000001	She could never be very wretched while thus tenderly loved, and cherished.	She could never be very wretched while thus tenderly loved, and cherished.
6388_64974_000015_000000	"You shall never go away again," said the little fellow, hugging her tight.	"You shall never go away again," said the little fellow, hugging her tight.
6388_64974_000016_000000	"No, son," answered Mr. Dinsmore, patting his rosy cheek, and softly stroking Elsie's hair, "and it is just the same with a man who has but one daughter."	"No, son," answered mr Dinsmore, patting his rosy cheek, and softly stroking Elsie's hair, "and it is just the same with a man who has but one daughter."
6388_64974_000017_000000	"You don't look bright and merry, as you did when you went away," said the child, bending a gaze of keen, loving scrutiny upon the sweet face, paler, sadder, and more heavy-eyed than he had ever seen it before.	"You don't look bright and merry, as you did when you went away," said the child, bending a gaze of keen, loving scrutiny upon the sweet face, paler, sadder, and more heavy eyed than he had ever seen it before.
6388_64974_000018_000000	"Sister is tired with her journey," said mamma tenderly; "we won't tease her to-night."	"Sister is tired with her journey," said mamma tenderly; "we won't tease her to night."
6388_64974_000020_000000	"Yes, papa, and then she'll be all right to-morrow, won't she?	"Yes, papa, and then she'll be all right to morrow, won't she?
6388_64974_000020_000001	But, mamma, I wasn't teasing her, not a bit; was I, Elsie?	But, mamma, I wasn't teasing her, not a bit; was I, Elsie?
6388_64974_000020_000002	And if anybody's been making her sorry, I'll kill him.	And if anybody's been making her sorry, I'll kill him.
6388_64974_000020_000003	'Cause she's my sister, and I've got to take care of her."	'cause she's my sister, and I've got to take care of her."
6388_64974_000021_000000	"But suppose papa was the one who had made her sorry; what then?" asked Mr. Dinsmore.	"But suppose papa was the one who had made her sorry; what then?" asked mr Dinsmore.
6388_64974_000022_000000	"But you wouldn't, papa," said the boy, shaking his head with an incredulous smile.	"But you wouldn't, papa," said the boy, shaking his head with an incredulous smile.
6388_64974_000022_000001	"You love her too much a great deal; you'd never make her sorry unless she'd be naughty; and she's never one bit naughty,--always minds you and mamma the minute you speak."	"You love her too much a great deal; you'd never make her sorry unless she'd be naughty; and she's never one bit naughty,--always minds you and mamma the minute you speak."
6388_64974_000023_000000	"That's true, my son; I do love her far too well ever to grieve her if it can be helped.	"That's true, my son; I do love her far too well ever to grieve her if it can be helped.
6388_64974_000023_000001	She shall never know a pang a father's love and care can save her from." And again his hand rested caressingly on Elsie's head.	She shall never know a pang a father's love and care can save her from." And again his hand rested caressingly on Elsie's head.
6388_64974_000024_000000	She caught it in both of hers and laying her cheek lovingly against it, looked up at him with tears trembling in her eyes.	She caught it in both of hers and laying her cheek lovingly against it, looked up at him with tears trembling in her eyes.
6388_64974_000024_000001	"I know it, papa," she murmured.	"I know it, papa," she murmured.
6388_64974_000024_000002	"I know you love your foolish little daughter very dearly; almost as dearly as she loves you."	"I know you love your foolish little daughter very dearly; almost as dearly as she loves you."
6388_64974_000025_000000	"Almost, darling?	"Almost, darling?
6388_64974_000025_000001	If there were any gauge by which to measure love, I know not whose would be found the greatest."	If there were any gauge by which to measure love, I know not whose would be found the greatest."
6388_64974_000027_000000	After tea the Allisons flocked in to bid her welcome.	After tea the Allisons flocked in to bid her welcome.
6388_64974_000027_000001	All seemed glad of her coming, Richard, Harold, and Sophy especially so.	All seemed glad of her coming, Richard, Harold, and Sophy especially so.
6388_64974_000027_000002	They were full of plans for giving her pleasure, and crowding the greatest possible amount of enjoyment into the four or five weeks of their expected sojourn on the island.	They were full of plans for giving her pleasure, and crowding the greatest possible amount of enjoyment into the four or five weeks of their expected sojourn on the island.
6388_64974_000028_000000	"It will be moonlight next week," said Sophy; "and we'll have some delightful drives and walks along the beach.	"It will be moonlight next week," said Sophy; "and we'll have some delightful drives and walks along the beach.
6388_64974_000030_000001	It will be altogether better for her health."	It will be altogether better for her health."
6388_64974_000032_000001	"Your system should become used to that before you take more."	"Your system should become used to that before you take more."
6388_64974_000033_000000	"Yes, that is what some of the doctors here, and the oldest inhabitants, tell us," remarked Mr. Allison, "and I believe it is the better plan."	"Yes, that is what some of the doctors here, and the oldest inhabitants, tell us," remarked mr Allison, "and I believe it is the better plan."
6388_64974_000034_000000	"And in the meantime we can take some rides and drives,--down to Diamond Beach, over to the light-house, and elsewhere," said Edward Allison, his brother Richard adding, "and do a little fishing and boating."	"And in the meantime we can take some rides and drives,--down to Diamond Beach, over to the light house, and elsewhere," said Edward Allison, his brother Richard adding, "and do a little fishing and boating."
6388_64974_000035_000000	Mr. Dinsmore was watching his daughter.	mr Dinsmore was watching his daughter.
6388_64974_000035_000001	She was making an effort to be interested in the conversation, but looking worn, weary, and sad.	She was making an effort to be interested in the conversation, but looking worn, weary, and sad.
6388_64974_000036_000000	"You are greatly fatigued, my child," he said.	"You are greatly fatigued, my child," he said.
6388_64974_000036_000001	"We will excuse you and let you retire at once."	"We will excuse you and let you retire at once."
6388_64974_000037_000000	She was very glad to avail herself of the permission.	She was very glad to avail herself of the permission.
6388_64974_000038_000000	Rose followed her to her room, a pleasant, breezy apartment, opening on a veranda, and looking out upon the sea, whose dark waves, here and there tipped with foam, could be dimly seen rolling and tossing beneath the light of the stars and of a young moon that hung like a golden crescent just above the horizon.	Rose followed her to her room, a pleasant, breezy apartment, opening on a veranda, and looking out upon the sea, whose dark waves, here and there tipped with foam, could be dimly seen rolling and tossing beneath the light of the stars and of a young moon that hung like a golden crescent just above the horizon.
6388_64974_000039_000000	Elsie walked to the window and looked out.	Elsie walked to the window and looked out.
6388_64974_000039_000001	"How I love the sea," she said, sighing, "but, mamma, to-night it makes me think of a text--'All Thy waves and Thy billows have gone over me.'"	"How I love the sea," she said, sighing, "but, mamma, to night it makes me think of a text-'All Thy waves and Thy billows have gone over me.'"
6388_64974_000040_000000	"It is not so bad as that, I hope, dear," said Rose, folding her tenderly in her arms; "think how we all love you, especially your father.	"It is not so bad as that, I hope, dear," said Rose, folding her tenderly in her arms; "think how we all love you, especially your father.
6388_64974_000040_000001	I don't know how we could any of us do without you, darling.	I don't know how we could any of us do without you, darling.
6388_64974_000041_000000	"Mamma, I do feel it to be very, very sweet to be so loved and cared for.	"Mamma, I do feel it to be very, very sweet to be so loved and cared for.
6388_64974_000041_000001	I could not tell you how dear you and my little brother are to me, and as for papa--sometimes I am more than half afraid I make an idol of him; and yet--oh, mamma," she murmured, hiding her face in Rose's bosom, "why is it that I can no longer be in love with the loves that so fully satisfied me?"	I could not tell you how dear you and my little brother are to me, and as for papa-sometimes I am more than half afraid I make an idol of him; and yet-oh, mamma," she murmured, hiding her face in Rose's bosom, "why is it that I can no longer be in love with the loves that so fully satisfied me?"
6388_64974_000042_000001	Be patient, darling, and try to trust both your heavenly and your earthly father.	Be patient, darling, and try to trust both your heavenly and your earthly father.
6388_64974_000042_000002	You know that no trial can come to you without your heavenly Father's will, and that He means this for your good.	You know that no trial can come to you without your heavenly Father's will, and that He means this for your good.
6388_64974_000042_000003	Look to Him and he will help you to bear it, and send relief in His own good time and way.	Look to Him and he will help you to bear it, and send relief in His own good time and way.
6388_64974_000042_000004	You know He tells us it is through much tribulation we enter the kingdom of God; and that whom the Lord loveth He chasteneth, and scourgeth every son whom he receiveth.	You know He tells us it is through much tribulation we enter the kingdom of God; and that whom the Lord loveth He chasteneth, and scourgeth every son whom he receiveth.
6388_64974_000043_000001	And this seems to be really my only one, while my cup of blessings is full to overflowing.	And this seems to be really my only one, while my cup of blessings is full to overflowing.
6388_64974_000043_000002	I fear I am very wicked to feel so sad."	I fear I am very wicked to feel so sad."
6388_64974_000044_000000	"Let us sit down on this couch while we talk; you are too tired to stand," said Rose, drawing her away from the window to a softly-cushioned lounge.	"Let us sit down on this couch while we talk; you are too tired to stand," said Rose, drawing her away from the window to a softly cushioned lounge.
6388_64974_000044_000001	"I do not think you can help grieving, darling, though I agree with you that it is your duty to try to be cheerful, as well as patient and submissive; and I trust you will find it easier as the days and weeks move on.	"I do not think you can help grieving, darling, though I agree with you that it is your duty to try to be cheerful, as well as patient and submissive; and I trust you will find it easier as the days and weeks move on.
6388_64974_000044_000002	You are very young, and have plenty of time to wait; indeed, if all had gone right, you know your papa would not have allowed you to marry for several years yet."	You are very young, and have plenty of time to wait; indeed, if all had gone right, you know your papa would not have allowed you to marry for several years yet."
6388_64974_000046_000000	"Yes, dear; papa told me; for you know you are my darling daughter too, and I have a very deep interest in all that concerns you."	"Yes, dear; papa told me; for you know you are my darling daughter too, and I have a very deep interest in all that concerns you."
6388_64974_000047_000000	A tender caress accompanied the words, and was returned with equal ardor.	A tender caress accompanied the words, and was returned with equal ardor.
6388_64974_000048_000000	"Thank you, best and kindest of mothers; I should never want anything kept from you."	"Thank you, best and kindest of mothers; I should never want anything kept from you."
6388_64974_000050_000001	From the first he seemed to be a perfect gentleman, educated, polished, and refined; and afterward he became--at least so I thought from the conversations we had together--truly converted, and a very earnest, devoted Christian.	From the first he seemed to be a perfect gentleman, educated, polished, and refined; and afterward he became-at least so I thought from the conversations we had together-truly converted, and a very earnest, devoted Christian.
6388_64974_000050_000002	He told me he had been, at one time, a little wild, but surely he ought not to be condemned for that, after he had repented and reformed."	He told me he had been, at one time, a little wild, but surely he ought not to be condemned for that, after he had repented and reformed."
6388_64974_000051_000000	"No, dear; and your father would agree with you in that.	"No, dear; and your father would agree with you in that.
