439_122810_000000_000000	THE RED SHOES	THE RED SHOES	false	6.63	38.38	18.62688
439_122810_000001_000000	There was once a little girl who was very pretty and delicate, but in summer she was forced to run about with bare feet, she was so poor, and in winter wear very large wooden shoes, which made her little insteps quite red, and that looked so dangerous!	There was once a little girl who was very pretty and delicate, but in summer she was forced to run about with bare feet, she was so poor, and in winter wear very large wooden shoes, which made her little insteps quite red, and that looked so dangerous!	true	38.66	56.77	16
439_122810_000002_000000	In the middle of the village lived old Dame Shoemaker; she sat and sewed together, as well as she could, a little pair of shoes out of old red strips of cloth; they were very clumsy, but it was a kind thought.	In the middle of the village lived old Dame Shoemaker; she sat and sewed together, as well as she could, a little pair of shoes out of old red strips of cloth; they were very clumsy, but it was a kind thought.	false	58.88	74.23	17.715046
439_122810_000002_000001	They were meant for the little girl.	They were meant for the little girl.	true	74.69	76.57	19.745495
439_122810_000002_000002	The little girl was called Karen.	The little girl was called Karen.	true	77.18	79.72	16
439_122810_000003_000000	On the very day her mother was buried, Karen received the red shoes, and wore them for the first time.	On the very day her mother was buried, Karen received the red shoes, and wore them for the first time.	true	81.14	88.72	16.148262
439_122810_000003_000001	They were certainly not intended for mourning, but she had no others, and with stockingless feet she followed the poor straw coffin in them.	They were certainly not intended for mourning, but she had no others, and with stockingless feet she followed the poor straw coffin in them.	true	89.39	98.98	19.995209
439_122810_000004_000000	Suddenly a large old carriage drove up, and a large old lady sat in it: she looked at the little girl, felt compassion for her, and then said to the clergyman:	Suddenly a large old carriage drove up, and a large old lady sat in it: she looked at the little girl, felt compassion for her, and then said to the clergyman:	true	100.07	111.25	18.660805
439_122810_000005_000000	"Here, give me the little girl.	"Here, give me the little girl.	true	111.59	113.445	18.678226
439_122810_000005_000001	I will adopt her!"	I will adopt her!"	true	113.445	114.91	19.980816
439_122810_000006_000000	And Karen believed all this happened on account of the red shoes, but the old lady thought they were horrible, and they were burnt.	And Karen believed all this happened on account of the red shoes, but the old lady thought they were horrible, and they were burnt.	true	115.31	123.67	19.078756
439_122810_000006_000001	But Karen herself was cleanly and nicely dressed; she must learn to read and sew; and people said she was a nice little thing, but the looking-glass said: "Thou art more than nice, thou art beautiful!"	But Karen herself was cleanly and nicely dressed; she must learn to read and sew; and people said she was a nice little thing, but the looking glass said: "Thou art more than nice, thou art beautiful!"	true	124.37	139.99	19.016068
439_122810_000007_000000	Now the queen once travelled through the land, and she had her little daughter with her.	Now the queen once travelled through the land, and she had her little daughter with her.	true	141.05	145.6	19.597387
439_122810_000007_000001	And this little daughter was a princess, and people streamed to the castle, and Karen was there also, and the little princess stood in her fine white dress, in a window, and let herself be stared at; she had neither a train nor a golden crown, but splendid red morocco shoes.	And this little daughter was a princess, and people streamed to the castle, and Karen was there also, and the little princess stood in her fine white dress, in a window, and let herself be stared at; she had neither a train nor a golden crown, but splendid red morocco shoes.	true	145.85	165.91	19.02245
439_122810_000007_000002	They were certainly far handsomer than those Dame Shoemaker had made for little Karen.	They were certainly far handsomer than those Dame Shoemaker had made for little Karen.	true	166.49	172.21	15
439_122810_000007_000003	Nothing in the world can be compared with red shoes.	Nothing in the world can be compared with red shoes.	true	172.7	176.65	15
439_122810_000008_000000	Now Karen was old enough to be confirmed; she had new clothes and was to have new shoes also.	Now Karen was old enough to be confirmed; she had new clothes and was to have new shoes also.	true	177.53	184.57	20
