7982_110054_000001_000000	CHAPTER IV.	CHAPTER four.
7982_110054_000003_000000	Attention to one's person and reputation is also a duty.	Attention to one's person and reputation is also a duty.
7982_110054_000003_000001	If vanity, pride, or prudery, have frequently given to these attentions the names of coquetry, ambition, or folly, this is a still stronger reason, why we should endeavor to clear up these points.	If vanity, pride, or prudery, have frequently given to these attentions the names of coquetry, ambition, or folly, this is a still stronger reason, why we should endeavor to clear up these points.
7982_110054_000006_000000	Propriety requires that we should always be clothed in a cleanly and becoming manner, even in private, in leaving our bed, or in the presence of no one.	Propriety requires that we should always be clothed in a cleanly and becoming manner, even in private, in leaving our bed, or in the presence of no one.
7982_110054_000006_000001	It requires that our clothing be in keeping with our sex, fortune, profession, age, and form, as well as with the season, the different hours of the day and our different occupations.	It requires that our clothing be in keeping with our sex, fortune, profession, age, and form, as well as with the season, the different hours of the day and our different occupations.
7982_110054_000007_000000	Let us now descend to the particulars of these general rules.	Let us now descend to the particulars of these general rules.
7982_110054_000008_000000	The dress for a man on his first rising, is a cap of cotton, or silk and cotton, a morning gown, or a vest with sleeves; for a lady, a small muslin cap, (bonnet de percale,) a camisole or common robe.	The dress for a man on his first rising, is a cap of cotton, or silk and cotton, a morning gown, or a vest with sleeves; for a lady, a small muslin cap, (bonnet de percale,) a camisole or common robe.
7982_110054_000008_000001	It is well that a half corset should precede the full corset, which last is used only when one is dressed; for it is bad taste for a lady not to be laced at all.	It is well that a half corset should precede the full corset, which last is used only when one is dressed; for it is bad taste for a lady not to be laced at all.
7982_110054_000008_000002	The hair papers, which cannot be removed on rising (because the hair would not keep in curl till evening,) should be concealed under a bandeau of lace or of the hair.	The hair papers, which cannot be removed on rising (because the hair would not keep in curl till evening,) should be concealed under a bandeau of lace or of the hair.
7982_110054_000008_000003	They should be removed as soon as may be.	They should be removed as soon as may be.
7982_110054_000008_000004	In this dress, we can receive only intimate friends or persons, who call upon urgent or indispensable business; even then we ought to offer some apology for it.	In this dress, we can receive only intimate friends or persons, who call upon urgent or indispensable business; even then we ought to offer some apology for it.
7982_110054_000008_000005	To neglect to take off this morning dress as soon as possible, is to expose one's self to embarrassments often very painful, and to the appearance of a want of education.	To neglect to take off this morning dress as soon as possible, is to expose one's self to embarrassments often very painful, and to the appearance of a want of education.
7982_110054_000008_000006	Moreover, it is well to impose upon yourself a rule to be dressed at some particular hour (the earliest possible,) since occupations will present themselves to hinder your being ready for the day; and you will easily acquire the habit of this.	Moreover, it is well to impose upon yourself a rule to be dressed at some particular hour (the earliest possible,) since occupations will present themselves to hinder your being ready for the day; and you will easily acquire the habit of this.
7982_110054_000008_000007	Such disorder of the toilet can be excused when it occurs rarely, or for a short time, as in such cases it seems evidently owing to a temporary embarrassment; but if it occur daily, or constantly; if it seems the result of negligence and slovenliness, it is unpardonable, particularly in ladies, whose dress seems less designed for clothing than ornament.	Such disorder of the toilet can be excused when it occurs rarely, or for a short time, as in such cases it seems evidently owing to a temporary embarrassment; but if it occur daily, or constantly; if it seems the result of negligence and slovenliness, it is unpardonable, particularly in ladies, whose dress seems less designed for clothing than ornament.
7982_110054_000009_000000	To suppose that great heat of weather will authorise this disorder of the toilet, and will permit us to go in slippers, or with our legs and arms bare, or to take nonchalant or improper attitudes, is an error of persons of a low class, or destitute of education.	To suppose that great heat of weather will authorise this disorder of the toilet, and will permit us to go in slippers, or with our legs and arms bare, or to take nonchalant or improper attitudes, is an error of persons of a low class, or destitute of education.
7982_110054_000009_000001	Even the weather of dog-days would not excuse this; and if we would remain thus dressed, we must give directions that we are not at home.	Even the weather of dog days would not excuse this; and if we would remain thus dressed, we must give directions that we are not at home.
7982_110054_000009_000002	On the other hand, to think that cold and rainy weather excuses like liberties, is equally an error.	On the other hand, to think that cold and rainy weather excuses like liberties, is equally an error.
7982_110054_000009_000004	When you go to see any one, you cannot dispense with taking off your socks or clogs before you are introduced into the room.	When you go to see any one, you cannot dispense with taking off your socks or clogs before you are introduced into the room.
7982_110054_000009_000005	For to make a noise in walking is entirely at variance with good manners.	For to make a noise in walking is entirely at variance with good manners.
7982_110054_000010_000001	Ladies should make morning calls in an elegant and simple neglige, all the details of which we cannot give, on account of their multiplicity and the numerous modification of fashion.	Ladies should make morning calls in an elegant and simple neglige, all the details of which we cannot give, on account of their multiplicity and the numerous modification of fashion.
7982_110054_000010_000002	We shall only say that ladies generally should make these calls in the dress which they wear at home.	We shall only say that ladies generally should make these calls in the dress which they wear at home.
7982_110054_000010_000003	Gentlemen may call in an outside coat, in boots and pantaloons, as when they are on their ordinary business.	Gentlemen may call in an outside coat, in boots and pantaloons, as when they are on their ordinary business.
7982_110054_000010_000004	In short, this dress is proper for gentlemen's visits in the middle of the day.	In short, this dress is proper for gentlemen's visits in the middle of the day.
7982_110054_000010_000005	With regard to ladies, it is necessary for them when visiting at this time, to arrange their toilet with more care.	With regard to ladies, it is necessary for them when visiting at this time, to arrange their toilet with more care.
7982_110054_000010_000006	Ceremonious visits, evening visits, and especially balls, require more attention to the dress of gentlemen, and a more brilliant costume for ladies.	Ceremonious visits, evening visits, and especially balls, require more attention to the dress of gentlemen, and a more brilliant costume for ladies.
7982_110054_000012_000000	Situation in the world determines among ladies, those differences, which though otherwise well marked, are becoming less so every day.	Situation in the world determines among ladies, those differences, which though otherwise well marked, are becoming less so every day.
7982_110054_000012_000002	Costly cashmeres, very rich furs, and diamonds, as well as many other brilliant ornaments, are to be forbidden a young lady; and those who act in defiance of these rational marks of propriety make us believe that they are possessed of an unrestrained love of luxury, and deprive themselves of the pleasure of receiving these ornaments from the hand of the man of their choice.	Costly cashmeres, very rich furs, and diamonds, as well as many other brilliant ornaments, are to be forbidden a young lady; and those who act in defiance of these rational marks of propriety make us believe that they are possessed of an unrestrained love of luxury, and deprive themselves of the pleasure of receiving these ornaments from the hand of the man of their choice.
