7982_110054_000000_000000	[7] As washing the feet, cutting the nails, &c.	[seven] As washing the feet, cutting the nails, and c.	false	0	36.75	24.72598
7982_110054_000001_000000	CHAPTER IV.	CHAPTER four.	true	36.75	37.92	31.119907
7982_110054_000002_000000	_Of propriety as regards one's self._	underscore Of propriety as regards one's self.underscore	false	37.92	43.47	22.9899
7982_110054_000003_000000	Attention to one's person and reputation is also a duty.	Attention to one's person and reputation is also a duty.	true	43.47	47.95	22.71527
7982_110054_000003_000001	If vanity, pride, or prudery, have frequently given to these attentions the names of coquetry, ambition, or folly, this is a still stronger reason, why we should endeavor to clear up these points.	If vanity, pride, or prudery, have frequently given to these attentions the names of coquetry, ambition, or folly, this is a still stronger reason, why we should endeavor to clear up these points.	true	48.56	63.82	22.336195
7982_110054_000004_000000	SECTION I.	SECTION i	false	64.91	66.27	29.03959
7982_110054_000005_000000	_Of the toilet._	underscore Of the toilet.underscore	false	66.27	70.17	20.04238
7982_110054_000006_000000	Propriety requires that we should always be clothed in a cleanly and becoming manner, even in private, in leaving our bed, or in the presence of no one.	Propriety requires that we should always be clothed in a cleanly and becoming manner, even in private, in leaving our bed, or in the presence of no one.	true	70.17	79.48	22
7982_110054_000006_000001	It requires that our clothing be in keeping with our sex, fortune, profession, age, and form, as well as with the season, the different hours of the day and our different occupations.	It requires that our clothing be in keeping with our sex, fortune, profession, age, and form, as well as with the season, the different hours of the day and our different occupations.	true	79.79	92.95	22.836868
7982_110054_000007_000000	Let us now descend to the particulars of these general rules.	Let us now descend to the particulars of these general rules.	true	93.83	97.66	22.291353
7982_110054_000008_000000	The dress for a man on his first rising, is a cap of cotton, or silk and cotton, a morning gown, or a vest with sleeves; for a lady, a small muslin cap, (bonnet de percale,) a camisole or common robe.	The dress for a man on his first rising, is a cap of cotton, or silk and cotton, a morning gown, or a vest with sleeves; for a lady, a small muslin cap, (bonnet de percale,) a camisole or common robe.	true	99.23	117.76	21.873493
7982_110054_000008_000001	It is well that a half corset should precede the full corset, which last is used only when one is dressed; for it is bad taste for a lady not to be laced at all.	It is well that a half corset should precede the full corset, which last is used only when one is dressed; for it is bad taste for a lady not to be laced at all.	true	118.1	129.4	20.323305
7982_110054_000008_000002	The hair papers, which cannot be removed on rising (because the hair would not keep in curl till evening,) should be concealed under a bandeau of lace or of the hair.	The hair papers, which cannot be removed on rising (because the hair would not keep in curl till evening,) should be concealed under a bandeau of lace or of the hair.	true	130.37	141.82	23.579742
7982_110054_000008_000003	They should be removed as soon as may be.	They should be removed as soon as may be.	true	142.52	145.51	22.583519
7982_110054_000008_000004	In this dress, we can receive only intimate friends or persons, who call upon urgent or indispensable business; even then we ought to offer some apology for it.	In this dress, we can receive only intimate friends or persons, who call upon urgent or indispensable business; even then we ought to offer some apology for it.	true	146	157.54	24.631628
7982_110054_000008_000005	To neglect to take off this morning dress as soon as possible, is to expose one's self to embarrassments often very painful, and to the appearance of a want of education.	To neglect to take off this morning dress as soon as possible, is to expose one's self to embarrassments often very painful, and to the appearance of a want of education.	true	158.06	169.87	25.191519
