3967_292604_000001_000000	TELLS OF AN EXTRAORDINARY INCIDENT IN CULLEN MAYLE'S BEDROOM	TELLS OF AN EXTRAORDINARY INCIDENT IN CULLEN MAYLE'S BEDROOM
3967_292604_000002_000000	I was very tired, but in spite of my fatigue it was some while before I fell asleep.	I was very tired, but in spite of my fatigue it was some while before I fell asleep.
3967_292604_000002_000001	Parmiter had thrown a new light upon the business tonight, and by the help of that light I arrayed afresh my scanty knowledge.	Parmiter had thrown a new light upon the business tonight, and by the help of that light I arrayed afresh my scanty knowledge.
3967_292604_000002_000002	The strangeness of my position, besides, kept me in some excitement.	The strangeness of my position, besides, kept me in some excitement.
3967_292604_000002_000004	Finally, there was the adventure of that night.	Finally, there was the adventure of that night.
3967_292604_000002_000006	I heard again that unearthly screeching which had so frightened Dick and perplexed me, It perplexed me still.	I heard again that unearthly screeching which had so frightened Dick and perplexed me, It perplexed me still.
3967_292604_000002_000007	I could not for a moment entertain Dick's supposition of a spirit.	I could not for a moment entertain Dick's supposition of a spirit.
3967_292604_000002_000009	Ghosts and bogies might do very well for the island of Tresco, but Mr. Berkeley was not to be terrified with any such old-wives' stories, and so Mr. Berkeley fell asleep.	Ghosts and bogies might do very well for the island of Tresco, but mr Berkeley was not to be terrified with any such old wives' stories, and so mr Berkeley fell asleep.
3967_292604_000003_000001	The room was so dark that I could not have read my watch, even if I had looked at it, which I did not think to do.	The room was so dark that I could not have read my watch, even if I had looked at it, which I did not think to do.
3967_292604_000003_000002	But at some time during that night I woke up quite suddenly with a clear sense that I had been waked up.	But at some time during that night I woke up quite suddenly with a clear sense that I had been waked up.
3967_292604_000004_000001	The fog was still thick about the house, so that hardly a glimmer of light came from the window.	The fog was still thick about the house, so that hardly a glimmer of light came from the window.
3967_292604_000004_000005	It was taller than any human being that I had seen.	It was taller than any human being that I had seen.
3967_292604_000004_000007	And then it made a sound, and all the blood in my veins stood still.	And then it made a sound, and all the blood in my veins stood still.
3967_292604_000004_000008	I thought that my heart would stop or my brain burst.	I thought that my heart would stop or my brain burst.
3967_292604_000004_000009	For the sound was neither a screech like that which rose from the hollow, nor a groan, nor any ghostly noise.	For the sound was neither a screech like that which rose from the hollow, nor a groan, nor any ghostly noise.
3967_292604_000004_000010	It was purely human, it was a kecking sound in the throat, such as one makes who gasps for breath.	It was purely human, it was a kecking sound in the throat, such as one makes who gasps for breath.
3967_292604_000004_000011	The white thing was a live thing of flesh and blood.	The white thing was a live thing of flesh and blood.
3967_292604_000005_000000	I sprang up on the bed and jumped to the foot of it.	I sprang up on the bed and jumped to the foot of it.
3967_292604_000005_000002	Her eyes were open and they stared into mine.	Her eyes were open and they stared into mine.
3967_292604_000005_000003	I could see the whites of them; our heads were so near they almost touched.	I could see the whites of them; our heads were so near they almost touched.
3967_292604_000006_000001	I wondered what it was on which she stood.	I wondered what it was on which she stood.
3967_292604_000006_000002	I noticed a streak of white which ran straight up towards the ceiling from behind her head, and I wondered what that was.	I noticed a streak of white which ran straight up towards the ceiling from behind her head, and I wondered what that was.
3967_292604_000006_000004	She was standing on nothing whatever!	She was standing on nothing whatever!
3967_292604_000006_000005	Again the queer gasping coughing noise broke from her lips, and at last I understood it.	Again the queer gasping coughing noise broke from her lips, and at last I understood it.
3967_292604_000006_000008	With the other arm I felt about her neck.	With the other arm I felt about her neck.
3967_292604_000006_000009	A thick soft scarf--silk it seemed to the touch--was knotted tightly round it, and the end of the scarf ran up to the cross-beam above the bed-posts.	A thick soft scarf-silk it seemed to the touch-was knotted tightly round it, and the end of the scarf ran up to the cross beam above the bed posts.
3967_292604_000006_000010	The scarf was the streak of white.	The scarf was the streak of white.
3967_292604_000007_000000	I fumbled at the knot with my fingers.	I fumbled at the knot with my fingers.
3967_292604_000007_000001	It was a slip knot, and now that no weight kept it taut, it loosened easily.	It was a slip knot, and now that no weight kept it taut, it loosened easily.
3967_292604_000007_000002	I slipped the noose back over her head and left it dangling.	I slipped the noose back over her head and left it dangling.
3967_292604_000008_000000	I flung up the window and the cold fog poured into the room.	I flung up the window and the cold fog poured into the room.
3967_292604_000008_000003	I groped for the chair and set it to face the open night.	I groped for the chair and set it to face the open night.
3967_292604_000008_000004	Then I carried the woman to the window and placed her in the chair, and supported her so that she might not fall.	Then I carried the woman to the window and placed her in the chair, and supported her so that she might not fall.
3967_292604_000009_000000	Such light as there was, glimmered upon the woman's face.	Such light as there was, glimmered upon the woman's face.
3967_292604_000009_000001	I saw that she was young, little more than a girl indeed, with hair and eyes of an extreme blackness.	I saw that she was young, little more than a girl indeed, with hair and eyes of an extreme blackness.
