4356_6506_000002_000000	CHAPTER XXII	CHAPTER twenty two
4356_6506_000003_000000	A PROPOSAL	A PROPOSAL
4356_6506_000004_000000	She shrank back with a great dread in her heart.	She shrank back with a great dread in her heart.
4356_6506_000004_000001	Marlanx, of all men! Why was he in the park at this hour of the night?	Marlanx, of all men! Why was he in the park at this hour of the night?
4356_6506_000004_000002	There could be but one answer, and the very thought of it almost suffocated her.	There could be but one answer, and the very thought of it almost suffocated her.
4356_6506_000004_000003	He was drawing the net with his own hands, he was spying with his own eyes.	He was drawing the net with his own hands, he was spying with his own eyes.
4356_6506_000004_000004	For a full minute it seemed to her that her heart would stop beating.	For a full minute it seemed to her that her heart would stop beating.
4356_6506_000004_000006	What had he seen or heard?	What had he seen or heard?
4356_6506_000004_000007	Involuntarily she peered over the rail for a glimpse of Baldos.	Involuntarily she peered over the rail for a glimpse of Baldos.
4356_6506_000004_000009	A throb of thankfulness assailed her heart.	A throb of thankfulness assailed her heart.
4356_6506_000004_000010	She was not thinking of her position, but of his.	She was not thinking of her position, but of his.
4356_6506_000005_000001	The tread of a man impelled her to glance below once more before fleeing to her room.	The tread of a man impelled her to glance below once more before fleeing to her room.
4356_6506_000005_000003	She fled swiftly, pausing at the window to lower the friendly but forgotten umbrella.	She fled swiftly, pausing at the window to lower the friendly but forgotten umbrella.
4356_6506_000005_000005	Once more she stopped to listen.	Once more she stopped to listen.
4356_6506_000005_000007	It was beyond the power of woman to keep from laughing.	It was beyond the power of woman to keep from laughing.
4356_6506_000005_000009	Once she was inside, however, it did not seem so amusing.	Once she was inside, however, it did not seem so amusing.
4356_6506_000005_000010	Still, it gave her an immense amount of satisfaction to slam the windows loudly, as if in pure defiance.	Still, it gave her an immense amount of satisfaction to slam the windows loudly, as if in pure defiance.
4356_6506_000005_000011	Then she closed the blinds, shutting out the night completely.	Then she closed the blinds, shutting out the night completely.
4356_6506_000006_000000	Turning up the light at her dressing-table, she sat down in a state of sudden collapse.	Turning up the light at her dressing table, she sat down in a state of sudden collapse.
4356_6506_000006_000001	For a long time she stared at her face in the mirror.	For a long time she stared at her face in the mirror.
4356_6506_000006_000002	She saw the red of shame and embarrassment mount to her cheeks and then she covered her eyes with her hands.	She saw the red of shame and embarrassment mount to her cheeks and then she covered her eyes with her hands.
4356_6506_000007_000000	"Oh, what a fool you've been," she half sobbed, shrinking from the mirror as if it were an accuser.	"Oh, what a fool you've been," she half sobbed, shrinking from the mirror as if it were an accuser.
4356_6506_000008_000000	She prepared for bed with frantic haste.	She prepared for bed with frantic haste.
