8643_298549_000000_000000	THE LORD OF CHATEAU NOIR	THE LORD OF CHATEAU NOIR
8643_298549_000001_000002	Many a German trooper saw the sea for the first time when he rode his horse girth-deep into the waves at Dieppe.	Many a German trooper saw the sea for the first time when he rode his horse girth deep into the waves at Dieppe.
8643_298549_000002_000000	Black and bitter were the thoughts of Frenchmen when they saw this weal of dishonour slashed across the fair face of their country.	Black and bitter were the thoughts of Frenchmen when they saw this weal of dishonour slashed across the fair face of their country.
8643_298549_000002_000001	They had fought and they had been overborne.	They had fought and they had been overborne.
8643_298549_000002_000002	That swarming cavalry, those countless footmen, the masterful guns--they had tried and tried to make head against them.	That swarming cavalry, those countless footmen, the masterful guns-they had tried and tried to make head against them.
8643_298549_000002_000003	In battalions their invaders were not to be beaten, but man to man, or ten to ten, they were their equals.	In battalions their invaders were not to be beaten, but man to man, or ten to ten, they were their equals.
8643_298549_000002_000005	Thus, unchronicled amid the battles and the sieges, there broke out another war, a war of individuals, with foul murder upon the one side and brutal reprisal on the other.	Thus, unchronicled amid the battles and the sieges, there broke out another war, a war of individuals, with foul murder upon the one side and brutal reprisal on the other.
8643_298549_000003_000000	Colonel von Gramm, of the 24th Posen Infantry, had suffered severely during this new development.	Colonel von Gramm, of the twenty fourth Posen Infantry, had suffered severely during this new development.
8643_298549_000003_000001	He commanded in the little Norman town of Les Andelys, and his outposts stretched amid the hamlets and farmhouses of the district round.	He commanded in the little Norman town of Les Andelys, and his outposts stretched amid the hamlets and farmhouses of the district round.
8643_298549_000003_000003	Then the colonel would go forth in his wrath, and farmsteadings would blaze and villages tremble; but next morning there was still that same dismal tale to be told.	Then the colonel would go forth in his wrath, and farmsteadings would blaze and villages tremble; but next morning there was still that same dismal tale to be told.
8643_298549_000003_000004	Do what he might, he could not shake off his invisible enemies.	Do what he might, he could not shake off his invisible enemies.
8643_298549_000004_000001	Gold might be more successful.	Gold might be more successful.
8643_298549_000004_000003	There was no response.	There was no response.
8643_298549_000004_000005	The peasants were incorruptible.	The peasants were incorruptible.
8643_298549_000005_000000	"You say that you know who did these crimes?" asked the Prussian colonel, eyeing with loathing the blue-bloused, rat-faced creature before him.	"You say that you know who did these crimes?" asked the Prussian colonel, eyeing with loathing the blue bloused, rat faced creature before him.
8643_298549_000006_000000	"Yes, colonel."	"Yes, colonel."
8643_298549_000008_000000	"Those thousand francs, colonel--"	"Those thousand francs, colonel-"
8643_298549_000009_000001	Come!	Come!
8643_298549_000010_000000	"It is Count Eustace of Chateau Noir."	"It is Count Eustace of Chateau Noir."
8643_298549_000011_000000	"You lie!" cried the colonel, angrily.	"You lie!" cried the colonel, angrily.
8643_298549_000011_000001	"A gentleman and a nobleman could not have done such crimes."	"A gentleman and a nobleman could not have done such crimes."
8643_298549_000012_000000	The peasant shrugged his shoulders.	The peasant shrugged his shoulders.
8643_298549_000012_000001	"It is evident to me that you do not know the count.	"It is evident to me that you do not know the count.
8643_298549_000012_000002	It is this way, colonel.	It is this way, colonel.
8643_298549_000012_000003	What I tell you is the truth, and I am not afraid that you should test it.	What I tell you is the truth, and I am not afraid that you should test it.
