8643_298549_000000_000000	THE LORD OF CHATEAU NOIR	THE LORD OF CHATEAU NOIR	true	40.44	42.76	21.797203
8643_298549_000001_000000	It was in the days when the German armies had broken their way across France, and when the shattered forces of the young Republic had been swept away to the north of the Aisne and to the south of the Loire. Three broad streams of armed men had rolled slowly but irresistibly from the Rhine, now meandering to the north, now to the south, dividing, coalescing, but all uniting to form one great lake round Paris.	It was in the days when the German armies had broken their way across France, and when the shattered forces of the young Republic had been swept away to the north of the Aisne and to the south of the Loire. Three broad streams of armed men had rolled slowly but irresistibly from the Rhine, now meandering to the north, now to the south, dividing, coalescing, but all uniting to form one great lake round Paris.	false	44.96	76.99	20.842674
8643_298549_000001_000001	And from this lake there welled out smaller streams--one to the north, one southward, to Orleans, and a third westward to Normandy.	And from this lake there welled out smaller streams-one to the north, one southward, to Orleans, and a third westward to Normandy.	false	77.27	87.61	21.483952
8643_298549_000001_000002	Many a German trooper saw the sea for the first time when he rode his horse girth-deep into the waves at Dieppe.	Many a German trooper saw the sea for the first time when he rode his horse girth deep into the waves at Dieppe.	true	88.13	96.4	20.527952
8643_298549_000002_000000	Black and bitter were the thoughts of Frenchmen when they saw this weal of dishonour slashed across the fair face of their country.	Black and bitter were the thoughts of Frenchmen when they saw this weal of dishonour slashed across the fair face of their country.	true	97.22	105.64	20.391459
8643_298549_000002_000001	They had fought and they had been overborne.	They had fought and they had been overborne.	true	105.68	108.91	21.467024
8643_298549_000002_000002	That swarming cavalry, those countless footmen, the masterful guns--they had tried and tried to make head against them.	That swarming cavalry, those countless footmen, the masterful guns-they had tried and tried to make head against them.	true	109.19	118.605	21.900917
8643_298549_000002_000003	In battalions their invaders were not to be beaten, but man to man, or ten to ten, they were their equals.	In battalions their invaders were not to be beaten, but man to man, or ten to ten, they were their equals.	true	118.605	126.25	21.138958
8643_298549_000002_000004	A brave Frenchman might still make a single German rue the day that he had left his own bank of the Rhine.	A brave Frenchman might still make a single German rue the day that he had left his own bank of the Rhine.	true	126.38	133.93	19
8643_298549_000002_000005	Thus, unchronicled amid the battles and the sieges, there broke out another war, a war of individuals, with foul murder upon the one side and brutal reprisal on the other.	Thus, unchronicled amid the battles and the sieges, there broke out another war, a war of individuals, with foul murder upon the one side and brutal reprisal on the other.	true	133.94	147.25	20.764233
8643_298549_000003_000000	Colonel von Gramm, of the 24th Posen Infantry, had suffered severely during this new development.	Colonel von Gramm, of the twenty fourth Posen Infantry, had suffered severely during this new development.	true	148.07	156.375	21.5338
