5401_39515_000000_000000	A long forward step had now been taken in the evolution of the vertebrates.	A long forward step had now been taken in the evolution of the vertebrates.	false	0	4.26	15
5401_39515_000000_000001	A new and higher type, the reptiles, had appeared, and in such numbers and variety are they found in the Permian strata that their advent may well have occurred in a still earlier epoch.	A new and higher type, the reptiles, had appeared, and in such numbers and variety are they found in the Permian strata that their advent may well have occurred in a still earlier epoch.	false	4.26	9.93	14
5401_39515_000000_000002	It will be most convenient to describe the Permian reptiles along with their descendants of the Mesozoic.	It will be most convenient to describe the Permian reptiles along with their descendants of the Mesozoic.	false	9.93	15.795	18
5401_39515_000001_000000	CHAPTER XX	CHAPTER twenty	false	15.795	18.06	20.796513
5401_39515_000002_000000	THE MESOZOIC	THE MESOZOIC	true	18.06	19.09	18.678394
5401_39515_000003_000000	With the close of the Permian the world of animal and vegetable life had so changed that the line is drawn here which marks the end of the old order and the beginning of the new and separates the Paleozoic from the succeeding era,--the Mesozoic, the Middle Age of geological history.	With the close of the Permian the world of animal and vegetable life had so changed that the line is drawn here which marks the end of the old order and the beginning of the new and separates the Paleozoic from the succeeding era,--the Mesozoic, the Middle Age of geological history.	false	19.76	35.265	14
5401_39515_000003_000001	Although the Mesozoic era is shorter than the Paleozoic, as measured by the thickness of their strata, yet its duration must be reckoned in millions of years.	Although the Mesozoic era is shorter than the Paleozoic, as measured by the thickness of their strata, yet its duration must be reckoned in millions of years.	true	35.265	43.42	13
5401_39515_000003_000002	Its predominant life features are the culmination and the beginning of the decline of reptiles, amphibians, cephalopod mollusks, and cycads, and the advent of marsupial mammals, birds, teleost fishes, and angiospermous plants.	Its predominant life features are the culmination and the beginning of the decline of reptiles, amphibians, cephalopod mollusks, and cycads, and the advent of marsupial mammals, birds, teleost fishes, and angiospermous plants.	false	43.58	57.88	15
5401_39515_000003_000003	The leading events of the long ages of the era we can sketch only in the most summary way.	The leading events of the long ages of the era we can sketch only in the most summary way.	true	57.92	63.52	11
5401_39515_000004_000000	The Mesozoic comprises three systems,--the TRIASSIC, named from its threefold division in Germany; the JURASSIC, which is well displayed in the Jura Mountains; and the CRETACEOUS, which contains the extensive chalk (Latin, creta) deposits of Europe.	The Mesozoic comprises three systems,--the TRIASSIC, named from its threefold division in Germany; the JURASSIC, which is well displayed in the Jura Mountains; and the CRETACEOUS, which contains the extensive chalk (Latin, creta) deposits of Europe.	true	63.59	78.585	14
5401_39515_000005_000000	In eastern North America the Mesozoic rocks are much less important than the Paleozoic, for much of this portion of the continent was land during the Mesozoic era, and the area of the Mesozoic rocks is small.	In eastern North America the Mesozoic rocks are much less important than the Paleozoic, for much of this portion of the continent was land during the Mesozoic era, and the area of the Mesozoic rocks is small.	false	78.585	90.43	12
