6924_291609_000000_000000	VIII	eight	true	8.175	8.82	23.765045
6924_291609_000001_000000	FURTHER TESTS OF HEARING	FURTHER TESTS OF HEARING	false	8.82	27.49	23.093166
6924_291609_000002_000000	But, as soon as the mother finds her little child sufficiently mature to benefit by the sense training described above, whether it be at twenty or, as is more likely, at from twenty-four to thirty months, she can begin to make a more complete and accurate determination of the degree of his deafness, for now she can establish a system of responses on the part of the child that will show her when he perceives the sounds she uses in her tests.	But, as soon as the mother finds her little child sufficiently mature to benefit by the sense training described above, whether it be at twenty or, as is more likely, at from twenty four to thirty months, she can begin to make a more complete and accurate determination of the degree of his deafness, for now she can establish a system of responses on the part of the child that will show her when he perceives the sounds she uses in her tests.	false	27.8	52.15	22.11871
6924_291609_000003_000000	In order to be certain that the little one knows what she wishes of him, she must begin with some sensation that she is sure he feels.	In order to be certain that the little one knows what she wishes of him, she must begin with some sensation that she is sure he feels.	false	52.52	59.44	18
6924_291609_000003_000001	We will assume that he has as yet no speech, and cannot count, at least does not know the names of the numbers.	We will assume that he has as yet no speech, and cannot count, at least does not know the names of the numbers.	false	59.9	66.15	22.876366
6924_291609_000003_000002	Let the mother pat him once on the shoulder and then cause him to hold up one of his little fingers.	Let the mother pat him once on the shoulder and then cause him to hold up one of his little fingers.	false	66.15	71.89	22.650885
6924_291609_000003_000003	Then pat him twice, and make him hold up two fingers, then three times and have him put up three fingers.	Then pat him twice, and make him hold up two fingers, then three times and have him put up three fingers.	true	72.35	79.6	22.739021
6924_291609_000003_000004	Now return to one pat and one finger, repeat two pats and the holding up of two of his fingers, and three pats and three fingers.	Now return to one pat and one finger, repeat two pats and the holding up of two of his fingers, and three pats and three fingers.	true	79.88	87.73	23.210522
6924_291609_000003_000005	Go over and over this little game until he has grasped the idea and will hold up as many fingers as he feels pats. Simple as the idea seems, it will often take a bright child some time to realize what you want him to do.	Go over and over this little game until he has grasped the idea and will hold up as many fingers as he feels pats. Simple as the idea seems, it will often take a bright child some time to realize what you want him to do.	false	88.07	100.81	23.520071
6924_291609_000003_000006	But you are _sure_ that he feels the pats, whereas, if you began at once with sounds, you could not know whether his failure to respond was because he did not hear, or through not understanding what you expected of him.	But you are underscore sure underscore that he feels the pats, whereas, if you began at once with sounds, you could not know whether his failure to respond was because he did not hear, or through not understanding what you expected of him.	false	101.33	111.96	22.95672
6924_291609_000003_000007	He will weary of the exercise soon, and then mother may as well turn to something else till he has rested.	He will weary of the exercise soon, and then mother may as well turn to something else till he has rested.	false	111.96	118.12	19.432308
6924_291609_000004_000000	Having established this system of response on his part to sensations perceived, it is not difficult to shift from the number of pats to the number of times he hears a noise.	Having established this system of response on his part to sensations perceived, it is not difficult to shift from the number of pats to the number of times he hears a noise.	true	119	128.98	22.101387
6924_291609_000004_000001	This once accomplished, tests can be made with sounds of different kinds, different pitch, and different volume, varying the distance, the instruments, and the vowel when the articulate sounds are reached.	This once accomplished, tests can be made with sounds of different kinds, different pitch, and different volume, varying the distance, the instruments, and the vowel when the articulate sounds are reached.	true	129.26	141.52	22.198984
6924_291609_000004_000002	He can be shown a whistle, then, when it is blown behind his back, he will hold up as many fingers as the times it was blown, if he perceives the sound.	He can be shown a whistle, then, when it is blown behind his back, he will hold up as many fingers as the times it was blown, if he perceives the sound.	true	141.56	150.61	22.054516
6924_291609_000004_000003	He can be asked to distinguish between a whistle, a little bell, and the clapping of the hands.	He can be asked to distinguish between a whistle, a little bell, and the clapping of the hands.	true	150.89	156.16	22.709482
6924_291609_000004_000004	When he is successful in that, the vowel sounds may be uttered not far from his ear, but behind him.	When he is successful in that, the vowel sounds may be uttered not far from his ear, but behind him.	false	156.53	163.42	22.600197
