1027_125140_000006_000000	Chapter 10	Chapter ten
1027_125140_000007_000000	A SUCCESSOR	A SUCCESSOR
1027_125140_000008_000000	Some of the Reverend Frank Milvey's brethren had found themselves exceedingly uncomfortable in their minds, because they were required to bury the dead too hopefully.	Some of the Reverend Frank Milvey's brethren had found themselves exceedingly uncomfortable in their minds, because they were required to bury the dead too hopefully.
1027_125140_000008_000001	But, the Reverend Frank, inclining to the belief that they were required to do one or two other things (say out of nine-and-thirty) calculated to trouble their consciences rather more if they would think as much about them, held his peace.	But, the Reverend Frank, inclining to the belief that they were required to do one or two other things (say out of nine and thirty) calculated to trouble their consciences rather more if they would think as much about them, held his peace.
1027_125140_000009_000000	Indeed, the Reverend Frank Milvey was a forbearing man, who noticed many sad warps and blights in the vineyard wherein he worked, and did not profess that they made him savagely wise.	Indeed, the Reverend Frank Milvey was a forbearing man, who noticed many sad warps and blights in the vineyard wherein he worked, and did not profess that they made him savagely wise.
1027_125140_000009_000001	He only learned that the more he himself knew, in his little limited human way, the better he could distantly imagine what Omniscience might know.	He only learned that the more he himself knew, in his little limited human way, the better he could distantly imagine what Omniscience might know.
1027_125140_000010_000000	Wherefore, if the Reverend Frank had had to read the words that troubled some of his brethren, and profitably touched innumerable hearts, in a worse case than Johnny's, he would have done so out of the pity and humility of his soul.	Wherefore, if the Reverend Frank had had to read the words that troubled some of his brethren, and profitably touched innumerable hearts, in a worse case than Johnny's, he would have done so out of the pity and humility of his soul.
1027_125140_000011_000000	There was grief in the aristocratic house, and there was joy in the Bower.	There was grief in the aristocratic house, and there was joy in the Bower.
1027_125140_000011_000002	And why go beating about Brentford bushes, seeking orphans forsooth who had established no claims upon you and made no sacrifices for you, when here was an orphan ready to your hand who had given up in your cause, Miss Elizabeth, Master George, Aunt Jane, and Uncle Parker?	And why go beating about Brentford bushes, seeking orphans forsooth who had established no claims upon you and made no sacrifices for you, when here was an orphan ready to your hand who had given up in your cause, Miss Elizabeth, Master George, Aunt Jane, and Uncle Parker?
1027_125140_000012_000000	Mr Wegg chuckled, consequently, when he heard the tidings.	Mr Wegg chuckled, consequently, when he heard the tidings.
1027_125140_000012_000001	Nay, it was afterwards affirmed by a witness who shall at present be nameless, that in the seclusion of the Bower he poked out his wooden leg, in the stage-ballet manner, and executed a taunting or triumphant pirouette on the genuine leg remaining to him.	Nay, it was afterwards affirmed by a witness who shall at present be nameless, that in the seclusion of the Bower he poked out his wooden leg, in the stage ballet manner, and executed a taunting or triumphant pirouette on the genuine leg remaining to him.
1027_125140_000013_000000	John Rokesmith's manner towards Mrs Boffin at this time, was more the manner of a young man towards a mother, than that of a Secretary towards his employer's wife.	john Rokesmith's manner towards Mrs Boffin at this time, was more the manner of a young man towards a mother, than that of a Secretary towards his employer's wife.
1027_125140_000013_000002	The completeness of his sympathy with her fancy for having a little John Harmon to protect and rear, he had shown in every act and word, and now that the kind fancy was disappointed, he treated it with a manly tenderness and respect for which she could hardly thank him enough.	The completeness of his sympathy with her fancy for having a little john Harmon to protect and rear, he had shown in every act and word, and now that the kind fancy was disappointed, he treated it with a manly tenderness and respect for which she could hardly thank him enough.
1027_125140_000014_000000	'But I do thank you, Mr Rokesmith,' said Mrs Boffin, 'and I thank you most kindly.	'But I do thank you, Mr Rokesmith,' said Mrs Boffin, 'and I thank you most kindly.
1027_125140_000014_000001	You love children.'	You love children.'
1027_125140_000015_000000	'I hope everybody does.'	'I hope everybody does.'
1027_125140_000017_000000	John Rokesmith replied, 'Some among us supply the short-comings of the rest.	john Rokesmith replied, 'Some among us supply the short comings of the rest.
1027_125140_000017_000001	You have loved children well, Mr Boffin has told me.'	You have loved children well, Mr Boffin has told me.'
1027_125140_000018_000001	You speak rather sadly, Mr Rokesmith.'	You speak rather sadly, Mr Rokesmith.'
1027_125140_000019_000000	'Do I?'	'Do I?'
1027_125140_000020_000000	'It sounds to me so.	'It sounds to me so.
1027_125140_000020_000001	Were you one of many children?' He shook his head.	Were you one of many children?' He shook his head.
1027_125140_000021_000000	'An only child?'	'An only child?'
1027_125140_000022_000000	'No there was another.	'No there was another.
1027_125140_000025_000000	'And the rest of your relations?'	'And the rest of your relations?'
1027_125140_000026_000001	I never heard of any.'	I never heard of any.'
