850_131003_000003_000000	Concerning the General Power of Taxation	Concerning the General Power of Taxation
850_131003_000005_000000	HAMILTON	HAMILTON
850_131003_000006_000000	To the People of the State of New York:	To the People of the State of New York:
850_131003_000007_000000	IT HAS been already observed that the federal government ought to possess the power of providing for the support of the national forces; in which proposition was intended to be included the expense of raising troops, of building and equipping fleets, and all other expenses in any wise connected with military arrangements and operations.	IT HAS been already observed that the federal government ought to possess the power of providing for the support of the national forces; in which proposition was intended to be included the expense of raising troops, of building and equipping fleets, and all other expenses in any wise connected with military arrangements and operations.
850_131003_000007_000001	But these are not the only objects to which the jurisdiction of the Union, in respect to revenue, must necessarily be empowered to extend.	But these are not the only objects to which the jurisdiction of the Union, in respect to revenue, must necessarily be empowered to extend.
850_131003_000007_000002	It must embrace a provision for the support of the national civil list; for the payment of the national debts contracted, or that may be contracted; and, in general, for all those matters which will call for disbursements out of the national treasury.	It must embrace a provision for the support of the national civil list; for the payment of the national debts contracted, or that may be contracted; and, in general, for all those matters which will call for disbursements out of the national treasury.
850_131003_000007_000003	The conclusion is, that there must be interwoven, in the frame of the government, a general power of taxation, in one shape or another.	The conclusion is, that there must be interwoven, in the frame of the government, a general power of taxation, in one shape or another.
850_131003_000008_000000	Money is, with propriety, considered as the vital principle of the body politic; as that which sustains its life and motion, and enables it to perform its most essential functions.	Money is, with propriety, considered as the vital principle of the body politic; as that which sustains its life and motion, and enables it to perform its most essential functions.
850_131003_000008_000001	A complete power, therefore, to procure a regular and adequate supply of it, as far as the resources of the community will permit, may be regarded as an indispensable ingredient in every constitution.	A complete power, therefore, to procure a regular and adequate supply of it, as far as the resources of the community will permit, may be regarded as an indispensable ingredient in every constitution.
850_131003_000009_000000	In the Ottoman or Turkish empire, the sovereign, though in other respects absolute master of the lives and fortunes of his subjects, has no right to impose a new tax.	In the Ottoman or Turkish empire, the sovereign, though in other respects absolute master of the lives and fortunes of his subjects, has no right to impose a new tax.
850_131003_000009_000001	The consequence is that he permits the bashaws or governors of provinces to pillage the people without mercy; and, in turn, squeezes out of them the sums of which he stands in need, to satisfy his own exigencies and those of the state.	The consequence is that he permits the bashaws or governors of provinces to pillage the people without mercy; and, in turn, squeezes out of them the sums of which he stands in need, to satisfy his own exigencies and those of the state.
850_131003_000009_000002	In America, from a like cause, the government of the Union has gradually dwindled into a state of decay, approaching nearly to annihilation.	In America, from a like cause, the government of the Union has gradually dwindled into a state of decay, approaching nearly to annihilation.
850_131003_000009_000003	Who can doubt, that the happiness of the people in both countries would be promoted by competent authorities in the proper hands, to provide the revenues which the necessities of the public might require?	Who can doubt, that the happiness of the people in both countries would be promoted by competent authorities in the proper hands, to provide the revenues which the necessities of the public might require?
850_131003_000010_000000	The present Confederation, feeble as it is intended to repose in the United States, an unlimited power of providing for the pecuniary wants of the Union.	The present Confederation, feeble as it is intended to repose in the United States, an unlimited power of providing for the pecuniary wants of the Union.
850_131003_000010_000004	It is this which has chiefly contributed to reduce us to a situation, which affords ample cause both of mortification to ourselves, and of triumph to our enemies.	It is this which has chiefly contributed to reduce us to a situation, which affords ample cause both of mortification to ourselves, and of triumph to our enemies.
850_131003_000011_000000	What remedy can there be for this situation, but in a change of the system which has produced it in a change of the fallacious and delusive system of quotas and requisitions?	What remedy can there be for this situation, but in a change of the system which has produced it in a change of the fallacious and delusive system of quotas and requisitions?
850_131003_000012_000000	The more intelligent adversaries of the new Constitution admit the force of this reasoning; but they qualify their admission by a distinction between what they call INTERNAL and EXTERNAL taxation.	The more intelligent adversaries of the new Constitution admit the force of this reasoning; but they qualify their admission by a distinction between what they call INTERNAL and EXTERNAL taxation.
850_131003_000012_000001	The former they would reserve to the State governments; the latter, which they explain into commercial imposts, or rather duties on imported articles, they declare themselves willing to concede to the federal head.	The former they would reserve to the State governments; the latter, which they explain into commercial imposts, or rather duties on imported articles, they declare themselves willing to concede to the federal head.
850_131003_000012_000002	This distinction, however, would violate the maxim of good sense and sound policy, which dictates that every POWER ought to be in proportion to its OBJECT; and would still leave the general government in a kind of tutelage to the State governments, inconsistent with every idea of vigor or efficiency.	This distinction, however, would violate the maxim of good sense and sound policy, which dictates that every POWER ought to be in proportion to its OBJECT; and would still leave the general government in a kind of tutelage to the State governments, inconsistent with every idea of vigor or efficiency.
850_131003_000012_000003	Who can pretend that commercial imposts are, or would be, alone equal to the present and future exigencies of the Union?	Who can pretend that commercial imposts are, or would be, alone equal to the present and future exigencies of the Union?
850_131003_000012_000005	I believe it may be regarded as a position warranted by the history of mankind, that, IN THE USUAL PROGRESS OF THINGS, THE NECESSITIES OF A NATION, IN EVERY STAGE OF ITS EXISTENCE, WILL BE FOUND AT LEAST EQUAL TO ITS RESOURCES.	I believe it may be regarded as a position warranted by the history of mankind, that, IN THE USUAL PROGRESS OF THINGS, THE NECESSITIES OF A NATION, IN EVERY STAGE OF ITS EXISTENCE, WILL BE FOUND AT LEAST EQUAL TO ITS RESOURCES.
850_131003_000013_000000	To say that deficiencies may be provided for by requisitions upon the States, is on the one hand to acknowledge that this system cannot be depended upon, and on the other hand to depend upon it for every thing beyond a certain limit.	To say that deficiencies may be provided for by requisitions upon the States, is on the one hand to acknowledge that this system cannot be depended upon, and on the other hand to depend upon it for every thing beyond a certain limit.
850_131003_000013_000001	Those who have carefully attended to its vices and deformities as they have been exhibited by experience or delineated in the course of these papers, must feel invincible repugnancy to trusting the national interests in any degree to its operation.	Those who have carefully attended to its vices and deformities as they have been exhibited by experience or delineated in the course of these papers, must feel invincible repugnancy to trusting the national interests in any degree to its operation.
850_131003_000013_000002	Its inevitable tendency, whenever it is brought into activity, must be to enfeeble the Union, and sow the seeds of discord and contention between the federal head and its members, and between the members themselves. Can it be expected that the deficiencies would be better supplied in this mode than the total wants of the Union have heretofore been supplied in the same mode?	Its inevitable tendency, whenever it is brought into activity, must be to enfeeble the Union, and sow the seeds of discord and contention between the federal head and its members, and between the members themselves. Can it be expected that the deficiencies would be better supplied in this mode than the total wants of the Union have heretofore been supplied in the same mode?
850_131003_000013_000003	It ought to be recollected that if less will be required from the States, they will have proportionably less means to answer the demand.	It ought to be recollected that if less will be required from the States, they will have proportionably less means to answer the demand.
850_131003_000013_000005	How is it possible that a government half supplied and always necessitous, can fulfill the purposes of its institution, can provide for the security, advance the prosperity, or support the reputation of the commonwealth?	How is it possible that a government half supplied and always necessitous, can fulfill the purposes of its institution, can provide for the security, advance the prosperity, or support the reputation of the commonwealth?
850_131003_000013_000006	How can it ever possess either energy or stability, dignity or credit, confidence at home or respectability abroad?	How can it ever possess either energy or stability, dignity or credit, confidence at home or respectability abroad?
850_131003_000013_000007	How can its administration be any thing else than a succession of expedients temporizing, impotent, disgraceful?	How can its administration be any thing else than a succession of expedients temporizing, impotent, disgraceful?
850_131003_000013_000009	How can it undertake or execute any liberal or enlarged plans of public good?	How can it undertake or execute any liberal or enlarged plans of public good?
850_131003_000014_000001	We will presume, for argument's sake, that the revenue arising from the impost duties answers the purposes of a provision for the public debt and of a peace establishment for the Union.	We will presume, for argument's sake, that the revenue arising from the impost duties answers the purposes of a provision for the public debt and of a peace establishment for the Union.
850_131003_000014_000002	Thus circumstanced, a war breaks out.	Thus circumstanced, a war breaks out.
850_131003_000014_000003	What would be the probable conduct of the government in such an emergency? Taught by experience that proper dependence could not be placed on the success of requisitions, unable by its own authority to lay hold of fresh resources, and urged by considerations of national danger, would it not be driven to the expedient of diverting the funds already appropriated from their proper objects to the defense of the State?	What would be the probable conduct of the government in such an emergency? Taught by experience that proper dependence could not be placed on the success of requisitions, unable by its own authority to lay hold of fresh resources, and urged by considerations of national danger, would it not be driven to the expedient of diverting the funds already appropriated from their proper objects to the defense of the State?
850_131003_000014_000004	It is not easy to see how a step of this kind could be avoided; and if it should be taken, it is evident that it would prove the destruction of public credit at the very moment that it was becoming essential to the public safety.	It is not easy to see how a step of this kind could be avoided; and if it should be taken, it is evident that it would prove the destruction of public credit at the very moment that it was becoming essential to the public safety.
850_131003_000014_000005	To imagine that at such a crisis credit might be dispensed with, would be the extreme of infatuation.	To imagine that at such a crisis credit might be dispensed with, would be the extreme of infatuation.
850_131003_000014_000006	In the modern system of war, nations the most wealthy are obliged to have recourse to large loans.	In the modern system of war, nations the most wealthy are obliged to have recourse to large loans.
850_131003_000014_000007	A country so little opulent as ours must feel this necessity in a much stronger degree.	A country so little opulent as ours must feel this necessity in a much stronger degree.
850_131003_000014_000008	But who would lend to a government that prefaced its overtures for borrowing by an act which demonstrated that no reliance could be placed on the steadiness of its measures for paying?	But who would lend to a government that prefaced its overtures for borrowing by an act which demonstrated that no reliance could be placed on the steadiness of its measures for paying?
850_131003_000014_000009	The loans it might be able to procure would be as limited in their extent as burdensome in their conditions.	The loans it might be able to procure would be as limited in their extent as burdensome in their conditions.
850_131003_000015_000000	It may perhaps be imagined that, from the scantiness of the resources of the country, the necessity of diverting the established funds in the case supposed would exist, though the national government should possess an unrestrained power of taxation.	It may perhaps be imagined that, from the scantiness of the resources of the country, the necessity of diverting the established funds in the case supposed would exist, though the national government should possess an unrestrained power of taxation.
850_131003_000016_000000	The power of creating new funds upon new objects of taxation, by its own authority, would enable the national government to borrow as far as its necessities might require.	The power of creating new funds upon new objects of taxation, by its own authority, would enable the national government to borrow as far as its necessities might require.
850_131003_000017_000000	Reflections of this kind may have trifling weight with men who hope to see realized in America the halcyon scenes of the poetic or fabulous age; but to those who believe we are likely to experience a common portion of the vicissitudes and calamities which have fallen to the lot of other nations, they must appear entitled to serious attention.	Reflections of this kind may have trifling weight with men who hope to see realized in America the halcyon scenes of the poetic or fabulous age; but to those who believe we are likely to experience a common portion of the vicissitudes and calamities which have fallen to the lot of other nations, they must appear entitled to serious attention.
