6378_61777_000000_000000	CHAPTER SEVENTY THREE.	CHAPTER SEVENTY THREE.	false	0.48	15.66	24.71494
6378_61777_000001_000000	THE PRAIRIE ISLAND.	THE PRAIRIE ISLAND.	false	15.66	22.3	16.914194
6378_61777_000002_000000	A herd of a hundred horses--or three times the number--pasturing upon a prairie, although a spectacle of the grandest kind furnished by the animal kingdom, is not one that would strike a Texan frontiersman as either strange, or curious.	A herd of a hundred horses-or three times the number-pasturing upon a prairie, although a spectacle of the grandest kind furnished by the animal kingdom, is not one that would strike a Texan frontiersman as either strange, or curious.	false	23.03	35.86	21.432962
6378_61777_000002_000001	He would think it stranger to see a _single_ horse in the same situation.	He would think it stranger to see a underscore single underscore horse in the same situation.	false	36.35	39.76	19
6378_61777_000003_000000	The former would simply be followed by the reflection: "A drove of mustangs." The latter conducts to a different train of thought, in which there is an ambiguity.	The former would simply be followed by the reflection: "A drove of mustangs." The latter conducts to a different train of thought, in which there is an ambiguity.	true	40.55	49.15	23.883495
6378_61777_000003_000001	The solitary steed might be one of two things: either an exiled stallion, kicked out of his own _cavallada_, or a roadster strayed from some encampment of travellers.	The solitary steed might be one of two things: either an exiled stallion, kicked out of his own underscore cavallada underscore, or a roadster strayed from some encampment of travellers.	false	49.46	58.93	22.755075
6378_61777_000004_000000	The practised eye of the prairie-man would soon decide which.	The practised eye of the prairie man would soon decide which.	true	59.21	62.14	21
6378_61777_000005_000000	If the horse browsed with a bit in his mouth, and a saddle on his shoulders, there would be no ambiguity--only the conjecture, as to how he had escaped from his rider.	If the horse browsed with a bit in his mouth, and a saddle on his shoulders, there would be no ambiguity-only the conjecture, as to how he had escaped from his rider.	true	62.75	71.02	21.05425
6378_61777_000006_000000	If the rider were upon his back, and the horse still browsing, there would be no room for conjecture--only the reflection, that the former must be a lazy thick-headed fellow, not to alight and let his animal graze in a more commodious fashion.	If the rider were upon his back, and the horse still browsing, there would be no room for conjecture-only the reflection, that the former must be a lazy thick headed fellow, not to alight and let his animal graze in a more commodious fashion.	false	71.72	83.98	21.889702
6378_61777_000007_000000	If, however, the rider, instead of being suspected of having a thick head, was seen to have _no head at all_, then would there be cue for a thousand conjectures, not one of which might come within a thousand miles of the truth.	If, however, the rider, instead of being suspected of having a thick head, was seen to have underscore no head at all underscore, then would there be cue for a thousand conjectures, not one of which might come within a thousand miles of the truth.	false	84.62	97.15	21.835417
6378_61777_000008_000000	Such a horse; and just such a rider, were seen upon the prairies of South-Western Texas in the year of our Lord 1850 something.	Such a horse; and just such a rider, were seen upon the prairies of south-western Texas in the year of our Lord eighteen fifty something.	true	97.67	105.07	20
6378_61777_000008_000001	I am not certain as to the exact year--the unit of it--though I can with unquestionable certainty record the decade.	I am not certain as to the exact year-the unit of it-though I can with unquestionable certainty record the decade.	true	105.32	111.46	22.955896
6378_61777_000009_000000	I can speak more precisely as to the place; though in this I must be allowed latitude.	I can speak more precisely as to the place; though in this I must be allowed latitude.	true	112.04	116.92	21.065418
6378_61777_000009_000001	A circumference of twenty miles will include the different points where the spectral apparition made itself manifest to the eyes of men--both on prairie and in chapparal--in a district of country traversed by several northern tributaries of the Rio de Nueces, and some southern branches of the Rio Leona.	A circumference of twenty miles will include the different points where the spectral apparition made itself manifest to the eyes of men-both on prairie and in chapparal-in a district of country traversed by several northern tributaries of the Rio de Nueces, and some southern branches of the Rio Leona.	false	117.2	132.88	19
6378_61777_000010_000000	It was seen not only by many people; but at many different times. First, by the searchers for Henry Poindexter and his supposed murderer; second, by the servant of Maurice the mustanger; thirdly, by Cassius Calhoun, on his midnight exploration of the chapparal; fourthly, by the sham Indians on that same night: and, fifthly, by Zeb Stump on the night following.	It was seen not only by many people; but at many different times. First, by the searchers for Henry Poindexter and his supposed murderer; second, by the servant of Maurice the mustanger; thirdly, by Cassius Calhoun, on his midnight exploration of the chapparal; fourthly, by the sham Indians on that same night: and, fifthly, by Zeb Stump on the night following.	false	133.64	155.59	21.710203
6378_61777_000011_000000	But there were others who saw it elsewhere and on different occasions-- hunters, herdsmen, and travellers--all alike awed, alike perplexed, by the apparition.	But there were others who saw it elsewhere and on different occasions- hunters, herdsmen, and travellers-all alike awed, alike perplexed, by the apparition.	true	155.9	165.25	23.133825
6378_61777_000012_000000	It had become the talk not only of the Leona settlement, but of others more distant.	It had become the talk not only of the Leona settlement, but of others more distant.	true	165.47	169.84	20
6378_61777_000012_000001	Its fame already reached on one side to the Rio Grande, and on the other was rapidly extending to the Sabine.	Its fame already reached on one side to the Rio Grande, and on the other was rapidly extending to the Sabine.	false	170.15	176.76	20.51941
6378_61777_000012_000002	No one doubted that such a thing had been seen.	No one doubted that such a thing had been seen.	true	176.76	179.05	22.19498
