3922_715_000002_000000	Chapter VIII.	Chapter eight.
3922_715_000003_000000	What followed was almost an orgy, a feast to which all were welcome. Grushenka was the first to call for wine.	What followed was almost an orgy, a feast to which all were welcome. Grushenka was the first to call for wine.
3922_715_000004_000000	"I want to drink.	"I want to drink.
3922_715_000004_000001	I want to be quite drunk, as we were before.	I want to be quite drunk, as we were before.
3922_715_000004_000002	Do you remember, Mitya, do you remember how we made friends here last time!"	Do you remember, Mitya, do you remember how we made friends here last time!"
3922_715_000005_000000	Mitya himself was almost delirious, feeling that his happiness was at hand.	Mitya himself was almost delirious, feeling that his happiness was at hand.
3922_715_000005_000001	But Grushenka was continually sending him away from her.	But Grushenka was continually sending him away from her.
3922_715_000006_000001	Tell them to dance, to make merry, 'let the stove and cottage dance'; as we had it last time," she kept exclaiming.	Tell them to dance, to make merry, 'let the stove and cottage dance'; as we had it last time," she kept exclaiming.
3922_715_000006_000002	She was tremendously excited.	She was tremendously excited.
3922_715_000006_000003	And Mitya hastened to obey her.	And Mitya hastened to obey her.
3922_715_000006_000004	The chorus were in the next room.	The chorus were in the next room.
3922_715_000006_000005	The room in which they had been sitting till that moment was too small, and was divided in two by cotton curtains, behind which was a huge bed with a puffy feather mattress and a pyramid of cotton pillows. In the four rooms for visitors there were beds.	The room in which they had been sitting till that moment was too small, and was divided in two by cotton curtains, behind which was a huge bed with a puffy feather mattress and a pyramid of cotton pillows. In the four rooms for visitors there were beds.
3922_715_000006_000006	Grushenka settled herself just at the door.	Grushenka settled herself just at the door.
3922_715_000006_000007	Mitya set an easy chair for her.	Mitya set an easy chair for her.
3922_715_000006_000008	She had sat in the same place to watch the dancing and singing "the time before," when they had made merry there.	She had sat in the same place to watch the dancing and singing "the time before," when they had made merry there.
3922_715_000006_000009	All the girls who had come had been there then; the Jewish band with fiddles and zithers had come, too, and at last the long expected cart had arrived with the wines and provisions.	All the girls who had come had been there then; the Jewish band with fiddles and zithers had come, too, and at last the long expected cart had arrived with the wines and provisions.
3922_715_000007_000000	Mitya bustled about.	Mitya bustled about.
3922_715_000007_000001	All sorts of people began coming into the room to look on, peasants and their women, who had been roused from sleep and attracted by the hopes of another marvelous entertainment such as they had enjoyed a month before.	All sorts of people began coming into the room to look on, peasants and their women, who had been roused from sleep and attracted by the hopes of another marvelous entertainment such as they had enjoyed a month before.
3922_715_000007_000003	He uncorked bottles and poured out wine for every one who presented himself.	He uncorked bottles and poured out wine for every one who presented himself.
3922_715_000007_000004	Only the girls were very eager for the champagne.	Only the girls were very eager for the champagne.
3922_715_000007_000005	The men preferred rum, brandy, and, above all, hot punch.	The men preferred rum, brandy, and, above all, hot punch.
3922_715_000007_000006	Mitya had chocolate made for all the girls, and ordered that three samovars should be kept boiling all night to provide tea and punch for everyone to help himself.	Mitya had chocolate made for all the girls, and ordered that three samovars should be kept boiling all night to provide tea and punch for everyone to help himself.
3922_715_000008_000000	An absurd chaotic confusion followed, but Mitya was in his natural element, and the more foolish it became, the more his spirits rose.	An absurd chaotic confusion followed, but Mitya was in his natural element, and the more foolish it became, the more his spirits rose.
3922_715_000008_000001	If the peasants had asked him for money at that moment, he would have pulled out his notes and given them away right and left.	If the peasants had asked him for money at that moment, he would have pulled out his notes and given them away right and left.
3922_715_000008_000002	This was probably why the landlord, Trifon Borissovitch, kept hovering about Mitya to protect him. He seemed to have given up all idea of going to bed that night; but he drank little, only one glass of punch, and kept a sharp look-out on Mitya's interests after his own fashion.	This was probably why the landlord, Trifon Borissovitch, kept hovering about Mitya to protect him. He seemed to have given up all idea of going to bed that night; but he drank little, only one glass of punch, and kept a sharp look out on Mitya's interests after his own fashion.
3922_715_000008_000003	He intervened in the nick of time, civilly and obsequiously persuading Mitya not to give away "cigars and Rhine wine," and, above all, money to the peasants as he had done before.	He intervened in the nick of time, civilly and obsequiously persuading Mitya not to give away "cigars and Rhine wine," and, above all, money to the peasants as he had done before.
3922_715_000008_000004	He was very indignant, too, at the peasant girls drinking liqueur, and eating sweets.	He was very indignant, too, at the peasant girls drinking liqueur, and eating sweets.
3922_715_000009_000001	"I'd give them a kick, every one of them, and they'd take it as an honor--that's all they're worth!"	"I'd give them a kick, every one of them, and they'd take it as an honor-that's all they're worth!"
3922_715_000010_000000	Mitya remembered Andrey again, and ordered punch to be sent out to him.	Mitya remembered Andrey again, and ordered punch to be sent out to him.
3922_715_000010_000002	Maximov, blissfully drunk, never left his side.	Maximov, blissfully drunk, never left his side.
3922_715_000010_000003	Grushenka, too, was beginning to get drunk.	Grushenka, too, was beginning to get drunk.
3922_715_000010_000004	Pointing to Kalganov, she said to Mitya:	Pointing to Kalganov, she said to Mitya:
3922_715_000011_000000	"What a dear, charming boy he is!"	"What a dear, charming boy he is!"
3922_715_000012_000000	And Mitya, delighted, ran to kiss Kalganov and Maximov.	And Mitya, delighted, ran to kiss Kalganov and Maximov.
3922_715_000012_000002	She had said nothing yet, and seemed, indeed, purposely to refrain from speaking.	She had said nothing yet, and seemed, indeed, purposely to refrain from speaking.
3922_715_000012_000004	At last she suddenly gripped his hand and drew him vigorously to her.	At last she suddenly gripped his hand and drew him vigorously to her.
3922_715_000013_000001	Have you walked in!...	Have you walked in!...
3922_715_000013_000002	I was frightened.	I was frightened.
3922_715_000013_000003	So you wanted to give me up to him, did you?	So you wanted to give me up to him, did you?
3922_715_000013_000004	Did you really want to?"	Did you really want to?"
3922_715_000014_000000	"I didn't want to spoil your happiness!" Mitya faltered blissfully.	"I didn't want to spoil your happiness!" Mitya faltered blissfully.
3922_715_000015_000000	"Well, go and enjoy yourself ..." she sent him away once more.	"Well, go and enjoy yourself ..." she sent him away once more.
3922_715_000015_000001	"Don't cry, I'll call you back again."	"Don't cry, I'll call you back again."
3922_715_000017_000000	"Come, sit beside me, tell me, how did you hear about me, and my coming here yesterday?	"Come, sit beside me, tell me, how did you hear about me, and my coming here yesterday?
3922_715_000017_000001	From whom did you first hear it?"	From whom did you first hear it?"
3922_715_000018_000000	And Mitya began telling her all about it, disconnectedly, incoherently, feverishly.	And Mitya began telling her all about it, disconnectedly, incoherently, feverishly.
3922_715_000018_000001	He spoke strangely, often frowning, and stopping abruptly.	He spoke strangely, often frowning, and stopping abruptly.
3922_715_000019_000000	"What are you frowning at?" she asked.	"What are you frowning at?" she asked.
3922_715_000020_000000	"Nothing....	"Nothing....
3922_715_000020_000001	I left a man ill there.	I left a man ill there.
3922_715_000020_000002	I'd give ten years of my life for him to get well, to know he was all right!"	I'd give ten years of my life for him to get well, to know he was all right!"
3922_715_000021_000001	So you meant to shoot yourself to-morrow!	So you meant to shoot yourself to morrow!
3922_715_000021_000003	What for?	What for?
3922_715_000021_000004	I like such reckless fellows as you," she lisped, with a rather halting tongue.	I like such reckless fellows as you," she lisped, with a rather halting tongue.
3922_715_000021_000005	"So you would go any length for me, eh?	"So you would go any length for me, eh?
