1401_174511_000000_000000	CHAPTER V	CHAPTER five	false	0.72	8.385	22.764568
1401_174511_000001_000000	OFFICIAL INVESTIGATION	OFFICIAL INVESTIGATION	true	8.385	9.97	18.83143
1401_174511_000002_000000	"And you say they are gone?" cried Mary Louise in surprise, as she came down to breakfast the next morning and found the table laid for one and old Eben waiting to serve her.	"And you say they are gone?" cried Mary Louise in surprise, as she came down to breakfast the next morning and found the table laid for one and old Eben waiting to serve her.	true	10.73	20.11	23.884579
1401_174511_000003_000000	"In de night, chile.	"In de night, chile.	false	20.51	21.93	26.390764
1401_174511_000003_000001	I don' know 'zac'ly wha' der time, by de clock, but de Kun'l an' Missy Burrows did'n' sleep heah a-tall."	I don' know 'zac'ly wha' der time, by de clock, but de Kun'l an' Missy Burrows did'n' sleep heah a tall."	false	21.93	28.47	21.773396
1401_174511_000004_000000	"There is no night train," said the girl, seating herself thoughtfully at the table.	"There is no night train," said the girl, seating herself thoughtfully at the table.	true	28.47	32.2	21
1401_174511_000004_000001	"How could they go, Uncle?"	"How could they go, Uncle?"	true	32.51	33.93	22.79024
1401_174511_000005_000000	"Jus' took deh auto'bile, chile, an' de Kun'l done druv it heself--bag an' baggage.	"Jus' took deh auto'bile, chile, an' de Kun'l done d r u v it heself-bag an' baggage.	false	33.93	40.06	21.342535
1401_174511_000005_000001	But--see heah, Ma'y 'Ouise--we-all ain' s'pose to know nuth'n' bout dat git-away.	But-see heah, Ma'y 'Ouise-we all ain' s'pose to know nuth'n' bout dat git away.	false	40.28	45.18	23.269451
1401_174511_000005_000002	Ef some imper'nent puss'n' ask us, we ain' gwine t' know how dey go, nohow.	e f some imper'nent puss' n' ask us, we ain' gwine t' know how dey go, nohow.	false	45.18	50.47	21.518694
1401_174511_000005_000003	De Kun'l say tell Ma'y 'Ouise she ain' gwine know noth'n' a-tall, 'bout nuth'n', 'cause 'tain't nobody's business."	De Kun'l say tell Ma'y 'Ouise she ain' gwine know noth'n' a tall, 'bout nuth'n', 'cause 'tain't nobody's business."	false	50.6	57.52	22.165293
1401_174511_000006_000000	"I understand, Uncle Eben."	"I understand, Uncle Eben."	true	58.01	59.59	22.669512
