2113_132485_000002_000000	CHAPTER IV	CHAPTER four
2113_132485_000003_000000	Raskolnikov went straight to the house on the canal bank where Sonia lived.	Raskolnikov went straight to the house on the canal bank where Sonia lived.
2113_132485_000003_000001	It was an old green house of three storeys.	It was an old green house of three storeys.
2113_132485_000003_000004	While he was wandering in the darkness, uncertain where to turn for Kapernaumov's door, a door opened three paces from him; he mechanically took hold of it.	While he was wandering in the darkness, uncertain where to turn for Kapernaumov's door, a door opened three paces from him; he mechanically took hold of it.
2113_132485_000006_000000	On a broken chair stood a candle in a battered copper candlestick.	On a broken chair stood a candle in a battered copper candlestick.
2113_132485_000009_000000	A minute later Sonia, too, came in with the candle, set down the candlestick and, completely disconcerted, stood before him inexpressibly agitated and apparently frightened by his unexpected visit.	A minute later Sonia, too, came in with the candle, set down the candlestick and, completely disconcerted, stood before him inexpressibly agitated and apparently frightened by his unexpected visit.
2113_132485_000009_000002	She felt sick and ashamed and happy, too....	She felt sick and ashamed and happy, too....
2113_132485_000010_000000	It was a large but exceedingly low-pitched room, the only one let by the Kapernaumovs, to whose rooms a closed door led in the wall on the left. In the opposite side on the right hand wall was another door, always kept locked.	It was a large but exceedingly low pitched room, the only one let by the Kapernaumovs, to whose rooms a closed door led in the wall on the left. In the opposite side on the right hand wall was another door, always kept locked.
2113_132485_000010_000002	A wall with three windows looking out on to the canal ran aslant so that one corner formed a very acute angle, and it was difficult to see in it without very strong light. The other corner was disproportionately obtuse.	A wall with three windows looking out on to the canal ran aslant so that one corner formed a very acute angle, and it was difficult to see in it without very strong light. The other corner was disproportionately obtuse.
2113_132485_000010_000003	There was scarcely any furniture in the big room: in the corner on the right was a bedstead, beside it, nearest the door, a chair.	There was scarcely any furniture in the big room: in the corner on the right was a bedstead, beside it, nearest the door, a chair.
2113_132485_000010_000005	Two rush-bottom chairs stood by the table.	Two rush bottom chairs stood by the table.
2113_132485_000010_000006	On the opposite wall near the acute angle stood a small plain wooden chest of drawers looking, as it were, lost in a desert.	On the opposite wall near the acute angle stood a small plain wooden chest of drawers looking, as it were, lost in a desert.
2113_132485_000010_000008	The yellow, scratched and shabby wall-paper was black in the corners.	The yellow, scratched and shabby wall paper was black in the corners.
2113_132485_000010_000010	There was every sign of poverty; even the bedstead had no curtain.	There was every sign of poverty; even the bedstead had no curtain.
2113_132485_000012_000000	"I am late....	"I am late....
2113_132485_000013_000001	"My landlady's clock has just struck...	"My landlady's clock has just struck...
2113_132485_000013_000002	I heard it myself...."	I heard it myself...."
2113_132485_000014_000001	"I may perhaps not see you again..."	"I may perhaps not see you again..."
2113_132485_000015_000000	"Are you... going away?"	"Are you... going away?"
2113_132485_000017_000000	"Then you are not coming to Katerina Ivanovna to-morrow?" Sonia's voice shook.	"Then you are not coming to Katerina Ivanovna to morrow?" Sonia's voice shook.
2113_132485_000020_000000	"Why are you standing?	"Why are you standing?
2113_132485_000021_000000	She sat down.	She sat down.
2113_132485_000022_000001	What a hand!	What a hand!
2113_132485_000023_000001	Sonia smiled faintly.	Sonia smiled faintly.
2113_132485_000026_000000	"Yes."	"Yes."
2113_132485_000030_000000	"Yes...."	"Yes...."
2113_132485_000031_000000	"They live there, through that door?"	"They live there, through that door?"
2113_132485_000035_000000	"I should be afraid in your room at night," he observed gloomily.	"I should be afraid in your room at night," he observed gloomily.
2113_132485_000036_000000	"They are very good people, very kind," answered Sonia, who still seemed bewildered, "and all the furniture, everything... everything is theirs. And they are very kind and the children, too, often come to see me."	"They are very good people, very kind," answered Sonia, who still seemed bewildered, "and all the furniture, everything... everything is theirs. And they are very kind and the children, too, often come to see me."
2113_132485_000037_000000	"They all stammer, don't they?"	"They all stammer, don't they?"
2113_132485_000038_000002	And his wife, too....	And his wife, too....
2113_132485_000038_000004	She is a very kind woman.	She is a very kind woman.
2113_132485_000038_000007	But where did you hear about them?" she added with some surprise.	But where did you hear about them?" she added with some surprise.
2113_132485_000039_000001	He told me all about you....	He told me all about you....
2113_132485_000043_000000	"Father.	"Father.
2113_132485_000043_000001	I was walking in the street, out there at the corner, about ten o'clock and he seemed to be walking in front.	I was walking in the street, out there at the corner, about ten o'clock and he seemed to be walking in front.
2113_132485_000043_000003	I wanted to go to Katerina Ivanovna...."	I wanted to go to Katerina Ivanovna...."
2113_132485_000044_000000	"You were walking in the streets?"	"You were walking in the streets?"
2113_132485_000049_000002	"Ah, you don't....	"Ah, you don't....
2113_132485_000049_000004	Her mind is quite unhinged, you see... from sorrow.	Her mind is quite unhinged, you see... from sorrow.
2113_132485_000049_000005	And how clever she used to be... how generous... how kind!	And how clever she used to be... how generous... how kind!
2113_132485_000050_000001	Her pale cheeks flushed, there was a look of anguish in her eyes.	Her pale cheeks flushed, there was a look of anguish in her eyes.
2113_132485_000051_000000	"Beat me! how can you?	"Beat me! how can you?
2113_132485_000051_000002	And if she did beat me, what then?	And if she did beat me, what then?
2113_132485_000051_000003	What of it?	What of it?
2113_132485_000051_000004	You know nothing, nothing about it....	You know nothing, nothing about it....
2113_132485_000051_000006	And ill....	And ill....
2113_132485_000051_000008	She has such faith that there must be righteousness everywhere and she expects it....	She has such faith that there must be righteousness everywhere and she expects it....
2113_132485_000051_000009	And if you were to torture her, she wouldn't do wrong.	And if you were to torture her, she wouldn't do wrong.
2113_132485_000051_000011	Like a child, like a child.	Like a child, like a child.
2113_132485_000051_000012	She is good!"	She is good!"
2113_132485_000053_000000	Sonia looked at him inquiringly.	Sonia looked at him inquiringly.
2113_132485_000054_000001	They were all on your hands before, though....	They were all on your hands before, though....
2113_132485_000054_000002	And your father came to you to beg for drink.	And your father came to you to beg for drink.
2113_132485_000054_000003	Well, how will it be now?"	Well, how will it be now?"
2113_132485_000056_000000	"Will they stay there?"	"Will they stay there?"
2113_132485_000057_000000	"I don't know....	"I don't know....
2113_132485_000059_000001	We are one, we live like one." Sonia was agitated again and even angry, as though a canary or some other little bird were to be angry.	We are one, we live like one." Sonia was agitated again and even angry, as though a canary or some other little bird were to be angry.
2113_132485_000059_000004	"And how she cried to-day!	"And how she cried to day!
2113_132485_000059_000008	Then she will be comforted again.	Then she will be comforted again.
2113_132485_000059_000010	And she kisses and hugs me, comforts me, and you know she has such faith, such faith in her fancies!	And she kisses and hugs me, comforts me, and you know she has such faith, such faith in her fancies!
2113_132485_000059_000011	One can't contradict her.	One can't contradict her.
2113_132485_000059_000013	She dragged the wash tub into the room with her feeble hands and sank on the bed, gasping for breath.	She dragged the wash tub into the room with her feeble hands and sank on the bed, gasping for breath.
2113_132485_000059_000014	We went this morning to the shops to buy shoes for Polenka and Lida for theirs are quite worn out.	We went this morning to the shops to buy shoes for Polenka and Lida for theirs are quite worn out.
2113_132485_000059_000016	And she picked out such dear little boots, for she has taste, you don't know.	And she picked out such dear little boots, for she has taste, you don't know.
2113_132485_000061_000000	"And aren't you sorry for them?	"And aren't you sorry for them?
2113_132485_000061_000001	Aren't you sorry?" Sonia flew at him again.	Aren't you sorry?" Sonia flew at him again.
2113_132485_000061_000002	"Why, I know, you gave your last penny yourself, though you'd seen nothing of it, and if you'd seen everything, oh dear!	"Why, I know, you gave your last penny yourself, though you'd seen nothing of it, and if you'd seen everything, oh dear!
2113_132485_000061_000004	Only last week!	Only last week!
2113_132485_000061_000006	I was cruel!	I was cruel!
2113_132485_000061_000007	And how often I've done it!	And how often I've done it!
2113_132485_000064_000000	"Yes, I--I.	"Yes, I-I.
2113_132485_000064_000007	They just reminded her of her old happy days.	They just reminded her of her old happy days.
2113_132485_000064_000008	She looked at herself in the glass, admired herself, and she has no clothes at all, no things of her own, hasn't had all these years! And she never asks anyone for anything; she is proud, she'd sooner give away everything.	She looked at herself in the glass, admired herself, and she has no clothes at all, no things of her own, hasn't had all these years! And she never asks anyone for anything; she is proud, she'd sooner give away everything.
2113_132485_000064_000010	And I was sorry to give them.	And I was sorry to give them.
2113_132485_000064_000011	'What use are they to you, Katerina Ivanovna?' I said.	'What use are they to you, Katerina Ivanovna?' I said.
2113_132485_000064_000014	And she was so grieved, so grieved at my refusing her. And it was so sad to see....	And she was so grieved, so grieved at my refusing her. And it was so sad to see....
2113_132485_000066_000000	"Yes....	"Yes....
2113_132485_000066_000001	Did you know her?" Sonia asked with some surprise.	Did you know her?" Sonia asked with some surprise.
2113_132485_000067_000000	"Katerina Ivanovna is in consumption, rapid consumption; she will soon die," said Raskolnikov after a pause, without answering her question.	"Katerina Ivanovna is in consumption, rapid consumption; she will soon die," said Raskolnikov after a pause, without answering her question.
2113_132485_000072_000000	"And the children?	"And the children?
2113_132485_000072_000001	What can you do except take them to live with you?"	What can you do except take them to live with you?"
2113_132485_000075_000000	"And, what, if even now, while Katerina Ivanovna is alive, you get ill and are taken to the hospital, what will happen then?" he persisted pitilessly.	"And, what, if even now, while Katerina Ivanovna is alive, you get ill and are taken to the hospital, what will happen then?" he persisted pitilessly.
2113_132485_000076_000000	"How can you?	"How can you?
2113_132485_000076_000001	That cannot be!"	That cannot be!"
2113_132485_000078_000002	What will happen to them then?	What will happen to them then?
2113_132485_000078_000003	They will be in the street, all of them, she will cough and beg and knock her head against some wall, as she did to-day, and the children will cry.... Then she will fall down, be taken to the police station and to the hospital, she will die, and the children..."	They will be in the street, all of them, she will cough and beg and knock her head against some wall, as she did to day, and the children will cry.... Then she will fall down, be taken to the police station and to the hospital, she will die, and the children..."
2113_132485_000079_000000	"Oh, no....	"Oh, no...
2113_132485_000079_000001	God will not let it be!" broke at last from Sonia's overburdened bosom.	God will not let it be!" broke at last from Sonia's overburdened bosom.
2113_132485_000081_000000	Raskolnikov got up and began to walk about the room.	Raskolnikov got up and began to walk about the room.
2113_132485_000082_000000	"And can't you save?	"And can't you save?
2113_132485_000086_000000	"And it didn't come off!	"And it didn't come off!
2113_132485_000086_000002	No need to ask."	No need to ask."
2113_132485_000087_000001	Another minute passed.	Another minute passed.
2113_132485_000092_000002	"God would not allow anything so awful!"	"God would not allow anything so awful!"
2113_132485_000095_000000	"But, perhaps, there is no God at all," Raskolnikov answered with a sort of malignance, laughed and looked at her.	"But, perhaps, there is no God at all," Raskolnikov answered with a sort of malignance, laughed and looked at her.
2113_132485_000096_000000	Sonia's face suddenly changed; a tremor passed over it.	Sonia's face suddenly changed; a tremor passed over it.
2113_132485_000096_000001	She looked at him with unutterable reproach, tried to say something, but could not speak and broke into bitter, bitter sobs, hiding her face in her hands.	She looked at him with unutterable reproach, tried to say something, but could not speak and broke into bitter, bitter sobs, hiding her face in her hands.
2113_132485_000098_000002	At last he went up to her; his eyes glittered.	At last he went up to her; his eyes glittered.
2113_132485_000098_000003	He put his two hands on her shoulders and looked straight into her tearful face.	He put his two hands on her shoulders and looked straight into her tearful face.
2113_132485_000098_000005	All at once he bent down quickly and dropping to the ground, kissed her foot.	All at once he bent down quickly and dropping to the ground, kissed her foot.
2113_132485_000098_000007	And certainly he looked like a madman.	And certainly he looked like a madman.
2113_132485_000099_000000	"What are you doing to me?" she muttered, turning pale, and a sudden anguish clutched at her heart.	"What are you doing to me?" she muttered, turning pale, and a sudden anguish clutched at her heart.
2113_132485_000100_000000	He stood up at once.	He stood up at once.
2113_132485_000102_000003	An honour!	An honour!
2113_132485_000102_000004	Why, I'm... dishonourable.... Ah, why did you say that?"	Why, I'm... dishonourable.... Ah, why did you say that?"
2113_132485_000103_000000	"It was not because of your dishonour and your sin I said that of you, but because of your great suffering.	"It was not because of your dishonour and your sin I said that of you, but because of your great suffering.
2113_132485_000103_000002	Isn't that fearful?	Isn't that fearful?
2113_132485_000103_000005	It would be better, a thousand times better and wiser to leap into the water and end it all!"	It would be better, a thousand times better and wiser to leap into the water and end it all!"
2113_132485_000105_000002	She had not even noticed the cruelty of his words.	She had not even noticed the cruelty of his words.
2113_132485_000106_000003	What held her up--surely not depravity?	What held her up-surely not depravity?
2113_132485_000108_000000	The last idea was the most revolting, but he was a sceptic, he was young, abstract, and therefore cruel, and so he could not help believing that the last end was the most likely.	The last idea was the most revolting, but he was a sceptic, he was young, abstract, and therefore cruel, and so he could not help believing that the last end was the most likely.
2113_132485_000109_000000	"But can that be true?" he cried to himself.	"But can that be true?" he cried to himself.
2113_132485_000109_000001	"Can that creature who has still preserved the purity of her spirit be consciously drawn at last into that sink of filth and iniquity?	"Can that creature who has still preserved the purity of her spirit be consciously drawn at last into that sink of filth and iniquity?
2113_132485_000109_000005	"No, what has kept her from the canal till now is the idea of sin and they, the children....	"No, what has kept her from the canal till now is the idea of sin and they, the children....
2113_132485_000109_000006	And if she has not gone out of her mind... but who says she has not gone out of her mind?	And if she has not gone out of her mind... but who says she has not gone out of her mind?
2113_132485_000109_000009	Does she expect a miracle?	Does she expect a miracle?
2113_132485_000109_000010	No doubt she does.	No doubt she does.
2113_132485_000110_000002	He began looking more intently at her.	He began looking more intently at her.
2113_132485_000134_000000	"Find it and read it to me," he said.	"Find it and read it to me," he said.
2113_132485_000139_000001	When I was at school.	When I was at school.
2113_132485_000139_000002	Read!"	Read!"
2113_132485_000140_000000	"And haven't you heard it in church?"	"And haven't you heard it in church?"
2113_132485_000141_000000	"I... haven't been.	"I... haven't been.
2113_132485_000141_000001	Do you often go?"	Do you often go?"
2113_132485_000144_000000	"I understand....	"I understand....
2113_132485_000145_000001	I was at church last week, too...	I was at church last week, too...
