3728_105398_000000_000000	Marguerite turned it over in her fingers, and then studied the engraving on the shield.	Marguerite turned it over in her fingers, and then studied the engraving on the shield.	false	3.03	8.28	22.621996
3728_105398_000000_000001	It represented a small star-shaped flower, of a shape she had seen so distinctly twice before: once at the opera, and once at Lord Grenville's ball.	It represented a small star shaped flower, of a shape she had seen so distinctly twice before: once at the opera, and once at Lord Grenville's ball.	false	8.28	17.76	24.300495
3728_105398_000001_000000	CHAPTER XIX THE SCARLET PIMPERNEL	CHAPTER nineteen THE SCARLET PIMPERNEL	true	17.76	20.59	25.005146
3728_105398_000002_000000	At what particular moment the strange doubt first crept into Marguerite's mind, she could not herself have said.	At what particular moment the strange doubt first crept into Marguerite's mind, she could not herself have said.	true	22.16	29.14	24.407486
3728_105398_000002_000001	With the ring tightly clutched in her hand, she had run out of the room, down the stairs, and out into the garden, where, in complete seclusion, alone with the flowers, and the river and the birds, she could look again at the ring, and study that device more closely.	With the ring tightly clutched in her hand, she had run out of the room, down the stairs, and out into the garden, where, in complete seclusion, alone with the flowers, and the river and the birds, she could look again at the ring, and study that device more closely.	false	29.24	45.1	24.03727
3728_105398_000003_000000	Stupidly, senselessly, now, sitting beneath the shade of an overhanging sycamore, she was looking at the plain gold shield, with the star-shaped little flower engraved upon it.	Stupidly, senselessly, now, sitting beneath the shade of an overhanging sycamore, she was looking at the plain gold shield, with the star shaped little flower engraved upon it.	true	45.32	56.01	22.300732
3728_105398_000004_000000	Bah!	Bah!	false	56.01	57.51	18.568426
3728_105398_000004_000001	It was ridiculous! she was dreaming! her nerves were overwrought, and she saw signs and mysteries in the most trivial coincidences.	It was ridiculous! she was dreaming! her nerves were overwrought, and she saw signs and mysteries in the most trivial coincidences.	false	57.51	65.44	21.564754
3728_105398_000004_000002	Had not everybody about town recently made a point of affecting the device of that mysterious and heroic Scarlet Pimpernel?	Had not everybody about town recently made a point of affecting the device of that mysterious and heroic Scarlet Pimpernel?	true	65.48	72.795	21
3728_105398_000005_000000	Did she herself wear it embroidered on her gowns?	Did she herself wear it embroidered on her gowns?	true	72.795	75.78	20.955463
3728_105398_000005_000001	set in gems and enamel in her hair?	set in gems and enamel in her hair?	true	75.78	78.34	20.281172
