3728_105398_000001_000000	CHAPTER XIX THE SCARLET PIMPERNEL	CHAPTER nineteen THE SCARLET PIMPERNEL
3728_105398_000002_000000	At what particular moment the strange doubt first crept into Marguerite's mind, she could not herself have said.	At what particular moment the strange doubt first crept into Marguerite's mind, she could not herself have said.
3728_105398_000003_000000	Stupidly, senselessly, now, sitting beneath the shade of an overhanging sycamore, she was looking at the plain gold shield, with the star-shaped little flower engraved upon it.	Stupidly, senselessly, now, sitting beneath the shade of an overhanging sycamore, she was looking at the plain gold shield, with the star shaped little flower engraved upon it.
3728_105398_000004_000002	Had not everybody about town recently made a point of affecting the device of that mysterious and heroic Scarlet Pimpernel?	Had not everybody about town recently made a point of affecting the device of that mysterious and heroic Scarlet Pimpernel?
3728_105398_000005_000000	Did she herself wear it embroidered on her gowns?	Did she herself wear it embroidered on her gowns?
3728_105398_000005_000001	set in gems and enamel in her hair?	set in gems and enamel in her hair?
3728_105398_000005_000002	What was there strange in the fact that Sir Percy should have chosen to use the device as a seal-ring?	What was there strange in the fact that Sir Percy should have chosen to use the device as a seal ring?
3728_105398_000005_000003	He might easily have done that . . . yes . . . quite easily . . . and . . . besides . . . what connection could there be between her exquisite dandy of a husband, with his fine clothes and refined, lazy ways, and the daring plotter who rescued French victims from beneath the very eyes of the leaders of a bloodthirsty revolution?	He might easily have done that . . . yes . . . quite easily . . . and . . . besides . . . what connection could there be between her exquisite dandy of a husband, with his fine clothes and refined, lazy ways, and the daring plotter who rescued French victims from beneath the very eyes of the leaders of a bloodthirsty revolution?
3728_105398_000006_000000	Her thoughts were in a whirl--her mind a blank . . .	Her thoughts were in a whirl-her mind a blank . . .
3728_105398_000008_000001	You did not expect me quite so soon, did you, my darling little Margot CHERIE?"	You did not expect me quite so soon, did you, my darling little Margot CHERIE?"
3728_105398_000010_000000	"Indeed, sweet one," she said with a smile, "it is delightful to have you all to myself, and for a nice whole long day. . . .	"Indeed, sweet one," she said with a smile, "it is delightful to have you all to myself, and for a nice whole long day. . . .
3728_105398_000010_000001	You won't be bored?"	You won't be bored?"
3728_105398_000011_000000	"Oh! bored!	"Oh! bored!
3728_105398_000011_000001	Margot, how CAN you say such a wicked thing.	Margot, how CAN you say such a wicked thing.
3728_105398_000012_000000	"And to talk secrets."	"And to talk secrets."
3728_105398_000013_000000	The two young girls had linked their arms in one another's and began wandering round the garden.	The two young girls had linked their arms in one another's and began wandering round the garden.
3728_105398_000014_000000	"Oh! how lovely your home is, Margot, darling," said little Suzanne, enthusiastically, "and how happy you must be!"	"Oh! how lovely your home is, Margot, darling," said little Suzanne, enthusiastically, "and how happy you must be!"
3728_105398_000015_000001	I ought to be happy--oughtn't I, sweet one?" said Marguerite, with a wistful little sigh.	I ought to be happy-oughtn't I, sweet one?" said Marguerite, with a wistful little sigh.
3728_105398_000016_000000	"How sadly you say it, CHERIE. . . .	"How sadly you say it, CHERIE. . . .
3728_105398_000016_000002	Do you remember?--some we did not even confide to Sister Theresa of the Holy Angels--though she was such a dear."	Do you remember?--some we did not even confide to Sister Theresa of the Holy Angels-though she was such a dear."
3728_105398_000017_000001	"Faith, there's naught to be ashamed of!	"Faith, there's naught to be ashamed of!
3728_105398_000018_000000	"Indeed, CHERIE, I am not ashamed," rejoined Suzanne, softly; "and it makes me very, very proud to hear you speak so well of him.	"Indeed, CHERIE, I am not ashamed," rejoined Suzanne, softly; "and it makes me very, very proud to hear you speak so well of him.
3728_105398_000018_000001	I think maman will consent," she added thoughtfully, "and I shall be--oh! so happy--but, of course, nothing is to be thought of until papa is safe. . . ."	I think maman will consent," she added thoughtfully, "and I shall be-oh! so happy-but, of course, nothing is to be thought of until papa is safe. . . ."
3728_105398_000019_000000	Marguerite started.	Marguerite started.
3728_105398_000019_000001	Suzanne's father!	Suzanne's father!
3728_105398_000019_000002	the Comte de Tournay!--one of those whose life would be jeopardised if Chauvelin succeeded in establishing the identity of the Scarlet Pimpernel.	the Comte de Tournay!--one of those whose life would be jeopardised if Chauvelin succeeded in establishing the identity of the Scarlet Pimpernel.
3728_105398_000021_000000	Armand's peril, Chauvelin's threat, his cruel "Either--or--" which she had accepted.	Armand's peril, Chauvelin's threat, his cruel "Either-or-" which she had accepted.
3728_105398_000022_000000	And then her own work in the matter, which should have culminated at one o'clock in Lord Grenville's dining-room, when the relentless agent of the French Government would finally learn who was this mysterious Scarlet Pimpernel, who so openly defied an army of spies and placed himself so boldly, and for mere sport, on the side of the enemies of France.	And then her own work in the matter, which should have culminated at one o'clock in Lord Grenville's dining room, when the relentless agent of the French Government would finally learn who was this mysterious Scarlet Pimpernel, who so openly defied an army of spies and placed himself so boldly, and for mere sport, on the side of the enemies of France.
3728_105398_000023_000000	Since then she had heard nothing from Chauvelin.	Since then she had heard nothing from Chauvelin.
3728_105398_000023_000001	She had concluded that he had failed, and yet, she had not felt anxious about Armand, because her husband had promised her that Armand would be safe.	She had concluded that he had failed, and yet, she had not felt anxious about Armand, because her husband had promised her that Armand would be safe.
3728_105398_000024_000000	But now, suddenly, as Suzanne prattled merrily along, an awful horror came upon her for what she had done.	But now, suddenly, as Suzanne prattled merrily along, an awful horror came upon her for what she had done.
3728_105398_000024_000001	Chauvelin had told her nothing, it was true; but she remembered how sarcastic and evil he looked when she took final leave of him after the ball.	Chauvelin had told her nothing, it was true; but she remembered how sarcastic and evil he looked when she took final leave of him after the ball.
3728_105398_000024_000002	Had he discovered something then?	Had he discovered something then?
