6233_61743_000000_000000	Did any one know where the horse-hunter had his home?	Did any one know where the horse hunter had his home?	false	0	2.13	22.298159
6233_61743_000001_000000	No one could state the exact locality; though there were several who believed it was somewhere among the head-waters of the Nueces, on a creek called the "Alamo."	No one could state the exact locality; though there were several who believed it was somewhere among the head waters of the Nueces, on a creek called the "Alamo."	false	2.13	7.74	20
6233_61743_000002_000000	To the Alamo, then, did they determine upon proceeding in quest of the missing man, or his dead body--perhaps, also, to find that of Maurice the mustanger; and, at the same time, avenge upon the savage assassins two murders instead of one.	To the Alamo, then, did they determine upon proceeding in quest of the missing man, or his dead body-perhaps, also, to find that of Maurice the mustanger; and, at the same time, avenge upon the savage assassins two murders instead of one.	false	7.74	19.38	23.701279
6233_61743_000003_000000	CHAPTER THIRTY NINE.	CHAPTER THIRTY NINE.	true	19.38	20.74	22.033989
6233_61743_000004_000000	THE POOL OF BLOOD.	THE POOL OF BLOOD.	true	20.78	22.42	22.388033
6233_61743_000005_000000	Notwithstanding its number--larger than usual for a party of borderers merely in search of a strayed neighbour--the expedition pursued its way with, considerable caution.	Notwithstanding its number-larger than usual for a party of borderers merely in search of a strayed neighbour-the expedition pursued its way with, considerable caution.	true	23.36	33.07	19
6233_61743_000006_000000	There was reason.	There was reason.	true	33.32	34.515	26.10952
6233_61743_000006_000001	The Indians were upon the war-trail.	The Indians were upon the war trail.	false	34.515	36.66	24
6233_61743_000006_000002	Scouts were sent out in advance; and professed "trackers" employed to pick up, and interpret the "sign."	Scouts were sent out in advance; and professed "trackers" employed to pick up, and interpret the "sign."	true	36.66	42.52	27
6233_61743_000007_000000	On the prairie, extending nearly ten miles to the westward of the Leona, no trail was discovered.	On the prairie, extending nearly ten miles to the westward of the Leona, no trail was discovered.	true	42.89	48.46	21
6233_61743_000007_000001	The turf, hard and dry, only showed the tracks of a horse when going in a gallop.	The turf, hard and dry, only showed the tracks of a horse when going in a gallop.	true	48.65	53.2	23.160023
6233_61743_000007_000002	None such were seen along the route.	None such were seen along the route.	true	53.24	55.36	33.744175
6233_61743_000008_000000	At ten miles' distance from the Fort the plain is traversed by a tract of chapparal, running north-west and south-east.	At ten miles' distance from the Fort the plain is traversed by a tract of chapparal, running north-west and south-east.	false	56.57	63.33	21
6233_61743_000008_000001	It is a true Texan jungle, laced by llianas, and almost impenetrable for man and horse.	It is a true Texan jungle, laced by llianas, and almost impenetrable for man and horse.	false	63.33	69.49	20
6233_61743_000009_000000	Through this jungle, directly opposite the Fort, there is an opening, through which passes a path--the shortest that leads to the head waters of the Nueces.	Through this jungle, directly opposite the Fort, there is an opening, through which passes a path-the shortest that leads to the head waters of the Nueces.	true	70.55	79.45	23.76687
6233_61743_000009_000001	It is a sort of natural avenue among the trees that stand closely crowded on each side, but refrain from meeting.	It is a sort of natural avenue among the trees that stand closely crowded on each side, but refrain from meeting.	true	79.94	86.74	19
6233_61743_000009_000002	It may be artificial: some old "war-trail" of the Comanches, erst trodden by their expeditionary parties on the maraud to Tamaulipas, Coahuila, or New Leon.	It may be artificial: some old "war trail" of the Comanches, erst trodden by their expeditionary parties on the maraud to Tamaulipas, Coahuila, or New Leon.	true	87.02	96.76	22
6233_61743_000010_000000	The trackers knew that it conducted to the Alamo; and, therefore, guided the expedition into it.	The trackers knew that it conducted to the Alamo; and, therefore, guided the expedition into it.	true	97.1	102.4	22
6233_61743_000011_000000	Shortly after entering among the trees, one of the latter, who had gone afoot in the advance, was seen standing by the edge of the thicket, as if waiting to announce some recently discovered fact.	Shortly after entering among the trees, one of the latter, who had gone afoot in the advance, was seen standing by the edge of the thicket, as if waiting to announce some recently discovered fact.	true	102.74	112.87	21
6233_61743_000012_000000	"What is it?" demanded the major, spurring ahead of the others, and riding up to the tracker.	"What is it?" demanded the major, spurring ahead of the others, and riding up to the tracker.	true	113.3	117.84	23.416199
6233_61743_000012_000001	"Sign?"	"Sign?"	true	117.84	118.53	33.671463
6233_61743_000013_000000	"Ay, that there is, major; and plenty of it.	"Ay, that there is, major; and plenty of it.	false	118.53	121.485	22.181627
6233_61743_000013_000001	Look there!	Look there!	true	121.485	122.235	28.853855
6233_61743_000013_000002	In that bit of sottish ground you see--"	In that bit of sottish ground you see-"	true	122.235	124.14	16
6233_61743_000014_000000	"The tracks of a horse."	"The tracks of a horse."	true	124.14	125.58	22
6233_61743_000015_000000	"Of two horses, major," said the man, correcting the officer with an air of deference.	"Of two horses, major," said the man, correcting the officer with an air of deference.	false	125.58	130.3	21.733475
6233_61743_000016_000000	"True.	"True.	true	130.76	131.355	29.102531
6233_61743_000016_000001	There are two."	There are two."	true	131.355	132.375	30.510916
6233_61743_000017_000000	"Farther on they become four; though they're all made by the same two horses.	"Farther on they become four; though they're all made by the same two horses.	false	132.375	136.59	14
6233_61743_000017_000001	They have gone up this openin' a bit, and come back again."	They have gone up this openin' a bit, and come back again."	true	136.59	139.42	24.916086
6233_61743_000018_000000	"Well, Spangler, my good fellow; what do you make of it?"	"Well, Spangler, my good fellow; what do you make of it?"	true	139.64	142.54	23.889078
6233_61743_000019_000000	"Not much," replied Spangler, who was one of the paid scouts of the cantonment; "not much of _that_; I hav'n't been far enough up the openin' to make out what it means--only far enough to know that _a man has been murdered_."	"Not much," replied Spangler, who was one of the paid scouts of the cantonment; "not much of underscore that underscore; I hav'n't been far enough up the openin' to make out what it means-only far enough to know that underscore a man has been murdered underscore."	false	142.58	154.71	22.24985
6233_61743_000020_000000	"What proof have you of what you say?	"What proof have you of what you say?	true	154.71	156.45	22
6233_61743_000020_000001	Is there a dead body?"	Is there a dead body?"	true	156.45	157.69	23.018269
6233_61743_000021_000000	"No.	"no	true	157.79	158.43	34.418415
6233_61743_000021_000001	Not as much as the little finger; not even a hair of the head, so fur as I can see."	Not as much as the little finger; not even a hair of the head, so fur as I can see."	false	158.43	163.24	21
6233_61743_000022_000000	"What then?"	"What then?"	true	163.31	164.23	27.371689
6233_61743_000023_000000	"Blood, a regular pool of it--enough to have cleared out the carcass of a hull buffalo.	"Blood, a regular pool of it-enough to have cleared out the carcass of a hull buffalo.	true	164.27	169.695	23.295616
6233_61743_000023_000001	Come and see for yourself.	Come and see for yourself.	true	169.695	171.15	17
6233_61743_000023_000002	But," continued the scout in a muttered undertone, "if you wish me to follow up the sign as it ought to be done, you'll order the others to stay back--'specially them as are now nearest you."	But," continued the scout in a muttered undertone, "if you wish me to follow up the sign as it ought to be done, you'll order the others to stay back-'specially them as are now nearest you."	true	171.15	182.89	24.89216
6233_61743_000024_000000	This observation appeared to be more particularly pointed at the planter and his nephew; as the tracker, on making it, glanced furtively towards both.	This observation appeared to be more particularly pointed at the planter and his nephew; as the tracker, on making it, glanced furtively towards both.	true	183.32	191.98	23
6233_61743_000025_000000	"By all means," replied the major.	"By all means," replied the major.	true	192.62	195.04	20.013706
6233_61743_000025_000001	"Yes, Spangler, you shall have every facility for your work.	"Yes, Spangler, you shall have every facility for your work.	true	195.71	198.99	22.081306
6233_61743_000025_000002	Gentlemen! may I request you to remain where you are for a few minutes.	Gentlemen! may I request you to remain where you are for a few minutes.	true	198.99	202.96	18
6233_61743_000025_000003	My tracker, here, has to go through a performance that requires him to have the ground to himself.	My tracker, here, has to go through a performance that requires him to have the ground to himself.	true	203	207.885	19
6233_61743_000025_000004	He can only take me along with him."	He can only take me along with him."	true	207.885	209.95	24.856916
6233_61743_000026_000000	Of course the major's request was a command, courteously conveyed, to men who were not exactly his subordinates.	Of course the major's request was a command, courteously conveyed, to men who were not exactly his subordinates.	true	210.47	215.89	11
6233_61743_000026_000001	It was obeyed, however, just as if they had been; and one and all kept their places, while the officer, following his scout, rode away from the ground.	It was obeyed, however, just as if they had been; and one and all kept their places, while the officer, following his scout, rode away from the ground.	true	216.02	225.01	22.279806
6233_61743_000027_000000	About fifty yards further on, Spangler came to a stand.	About fifty yards further on, Spangler came to a stand.	true	225.53	228.82	20
6233_61743_000028_000000	"You see that, major?" said he, pointing to the ground.	"You see that, major?" said he, pointing to the ground.	true	228.95	232.66	27.458755
6233_61743_000029_000000	"I should be blind if I didn't," replied the officer.	"I should be blind if I didn't," replied the officer.	true	233.12	236.38	21.323614
6233_61743_000029_000001	"A pool of blood--as you say, big enough to have emptied the veins of a buffalo. If it has come from those of a man, I should say that whoever shed it is no longer in the land of the living."	"A pool of blood-as you say, big enough to have emptied the veins of a buffalo. If it has come from those of a man, I should say that whoever shed it is no longer in the land of the living."	true	236.54	247.54	19.095076
6233_61743_000030_000000	"Dead!" pronounced the tracker.	"Dead!" pronounced the tracker.	true	248.12	250.3	20.889057
