8006_112592_000001_000000	CHAPTER VI.	CHAPTER six.
8006_112592_000002_000000	HOW IRELAND BECAME THE MOST LEARNED COUNTRY IN EUROPE.	HOW IRELAND BECAME THE MOST LEARNED COUNTRY IN EUROPE.
8006_112592_000003_000000	In old pagan times, long before the arrival of St. Patrick, there were schools in Ireland taught by druids.	In old pagan times, long before the arrival of saint Patrick, there were schools in Ireland taught by druids.
8006_112592_000003_000001	And when at last Christianity came, and was spreading rapidly over the land, those old schools were still held on; but they were no longer taught by druids, and they were no longer pagan, for teachers and scholars were now all Christians.	And when at last Christianity came, and was spreading rapidly over the land, those old schools were still held on; but they were no longer taught by druids, and they were no longer pagan, for teachers and scholars were now all Christians.
8006_112592_000004_000001	These were what are called monastic or ecclesiastical schools, for they were mostly taught by monks; while the older schools, being taught by laymen, were called lay schools.	These were what are called monastic or ecclesiastical schools, for they were mostly taught by monks; while the older schools, being taught by laymen, were called lay schools.
8006_112592_000005_000000	In lay schools was taught what might be called the native learning--the learning that had grown up in the country in the course of ages.	In lay schools was taught what might be called the native learning-the learning that had grown up in the country in the course of ages.
8006_112592_000005_000002	In these last the professional men were educated.	In these last the professional men were educated.
8006_112592_000006_000000	These lay schools, being now within the Christian communion, were not abolished or discouraged in any way by St. Patrick or his successors.	These lay schools, being now within the Christian communion, were not abolished or discouraged in any way by saint Patrick or his successors.
8006_112592_000006_000001	They were simply let alone, to teach their own secular learning just as they pleased.	They were simply let alone, to teach their own secular learning just as they pleased.
8006_112592_000006_000002	They continued on, and were to be found in every part of Ireland for fourteen centuries after St. Patrick's arrival, down to a period within our own memory; but of course greatly changed as time went on.	They continued on, and were to be found in every part of Ireland for fourteen centuries after saint Patrick's arrival, down to a period within our own memory; but of course greatly changed as time went on.
8006_112592_000006_000004	I was myself educated in some of those lay schools; and I remember with pleasure several of my old teachers: rough and unpolished men most of them, but excellent, solid scholars, and full of enthusiasm for learning--enthusiasm which they communicated to their pupils.	I was myself educated in some of those lay schools; and I remember with pleasure several of my old teachers: rough and unpolished men most of them, but excellent, solid scholars, and full of enthusiasm for learning-enthusiasm which they communicated to their pupils.
8006_112592_000006_000006	But the famine of 1847 broke up those schools, and in a very few years they nearly all disappeared.	But the famine of eighteen forty seven broke up those schools, and in a very few years they nearly all disappeared.
8006_112592_000007_000000	But our business here is mainly with the early monastic schools, which became so celebrated all over Europe.	But our business here is mainly with the early monastic schools, which became so celebrated all over Europe.
8006_112592_000007_000001	Before going farther it is well to remark that these schools also continued, and increased and multiplied as time went on.	Before going farther it is well to remark that these schools also continued, and increased and multiplied as time went on.
8006_112592_000007_000002	They held their ground successfully--as the lay schools did--during the evil days of later ages, when determined attempts were made, under the penal laws, to suppress them; and at the present day they are working all over the country quite as vigorously as in days of yore.	They held their ground successfully-as the lay schools did-during the evil days of later ages, when determined attempts were made, under the penal laws, to suppress them; and at the present day they are working all over the country quite as vigorously as in days of yore.
8006_112592_000008_000000	To notice all the monastic schools of old that attained eminence would demand more space than can be afforded here.	To notice all the monastic schools of old that attained eminence would demand more space than can be afforded here.
8006_112592_000008_000004	Cork), and Derry.	Cork), and Derry.
8006_112592_000008_000005	Besides these, at least twenty-five others, all eminent, are specially mentioned in our old books.	Besides these, at least twenty five others, all eminent, are specially mentioned in our old books.
8006_112592_000009_000000	Many of the monastic colleges had very large numbers of students.	Many of the monastic colleges had very large numbers of students.
8006_112592_000009_000001	In Clonard there were 3,000, all residing in and around the college; and Bangor founded by St. Comgall, and Clonfert founded by St. Brendan the Navigator, had each as many.	In Clonard there were three thousand, all residing in and around the college; and Bangor founded by saint Comgall, and Clonfert founded by saint Brendan the Navigator, had each as many.
8006_112592_000010_000000	The students were of all classes--rich and poor--from the sons of kings and chiefs down to the sons of farmers, tradesmen, and labourers; young laymen for general education, as well as ecclesiastical students for the priesthood.	The students were of all classes-rich and poor-from the sons of kings and chiefs down to the sons of farmers, tradesmen, and labourers; young laymen for general education, as well as ecclesiastical students for the priesthood.
8006_112592_000010_000001	All those who had the means paid their way in everything.	All those who had the means paid their way in everything.
