8006_112592_000000_000000	It was usual for the founders of churches to plant trees round the buildings.	It was usual for the founders of churches to plant trees round the buildings.	false	0	7.62	23.45789
8006_112592_000000_000001	These "Sacred Groves," as they were called, were subsequently held in great veneration, and it was regarded as a desecration to cut down one of the trees, or even to lop off a branch.	These "Sacred Groves," as they were called, were subsequently held in great veneration, and it was regarded as a desecration to cut down one of the trees, or even to lop off a branch.	false	7.62	31.695	22.612234
8006_112592_000001_000000	CHAPTER VI.	CHAPTER six.	true	31.695	32.98	23.862383
8006_112592_000002_000000	HOW IRELAND BECAME THE MOST LEARNED COUNTRY IN EUROPE.	HOW IRELAND BECAME THE MOST LEARNED COUNTRY IN EUROPE.	true	33.44	37.39	21.233807
8006_112592_000003_000000	In old pagan times, long before the arrival of St. Patrick, there were schools in Ireland taught by druids.	In old pagan times, long before the arrival of saint Patrick, there were schools in Ireland taught by druids.	true	39.23	47.08	22.833084
8006_112592_000003_000001	And when at last Christianity came, and was spreading rapidly over the land, those old schools were still held on; but they were no longer taught by druids, and they were no longer pagan, for teachers and scholars were now all Christians.	And when at last Christianity came, and was spreading rapidly over the land, those old schools were still held on; but they were no longer taught by druids, and they were no longer pagan, for teachers and scholars were now all Christians.	true	47.87	64.96	23.124712
8006_112592_000004_000000	But as soon as St. Patrick came, a new class of schools began to spring up; for he and the other early missionaries founded monasteries everywhere through the country, and in connexion with almost every monastery there was a school.	But as soon as saint Patrick came, a new class of schools began to spring up; for he and the other early missionaries founded monasteries everywhere through the country, and in connexion with almost every monastery there was a school.	false	66.74	82.69	21.349653
8006_112592_000004_000001	These were what are called monastic or ecclesiastical schools, for they were mostly taught by monks; while the older schools, being taught by laymen, were called lay schools.	These were what are called monastic or ecclesiastical schools, for they were mostly taught by monks; while the older schools, being taught by laymen, were called lay schools.	true	83.78	95.86	23.398314
8006_112592_000005_000000	In lay schools was taught what might be called the native learning--the learning that had grown up in the country in the course of ages.	In lay schools was taught what might be called the native learning-the learning that had grown up in the country in the course of ages.	true	97.25	105.73	25.018751
8006_112592_000005_000001	It consisted mainly of the following subjects:--To read and write the Irish language; Irish grammar, and rules of poetical composition--a very extensive and complicated subject; geography and history, especially the topography and history of Ireland; and a knowledge of the poetry, and of the historical and romantic tales of the country: while a great many of the schools were for professions--special schools of law, of medicine, of poetry, of history and antiquities, and so forth.	It consisted mainly of the following subjects:--To read and write the Irish language; Irish grammar, and rules of poetical composition-a very extensive and complicated subject; geography and history, especially the topography and history of Ireland; and a knowledge of the poetry, and of the historical and romantic tales of the country: while a great many of the schools were for professions-special schools of law, of medicine, of poetry, of history and antiquities, and so forth.	true	107.18	144.52	22.95927
8006_112592_000005_000002	In these last the professional men were educated.	In these last the professional men were educated.	true	145.37	149.05	21.757313
8006_112592_000006_000000	These lay schools, being now within the Christian communion, were not abolished or discouraged in any way by St. Patrick or his successors.	These lay schools, being now within the Christian communion, were not abolished or discouraged in any way by saint Patrick or his successors.	true	150.68	160.24	22.971674
8006_112592_000006_000001	They were simply let alone, to teach their own secular learning just as they pleased.	They were simply let alone, to teach their own secular learning just as they pleased.	true	161.06	167.35	23.448082
8006_112592_000006_000002	They continued on, and were to be found in every part of Ireland for fourteen centuries after St. Patrick's arrival, down to a period within our own memory; but of course greatly changed as time went on.	They continued on, and were to be found in every part of Ireland for fourteen centuries after saint Patrick's arrival, down to a period within our own memory; but of course greatly changed as time went on.	true	168.11	182.62	23.048702
8006_112592_000006_000003	In later times they were much more numerous in Munster than in the other provinces; and they taught--and taught well--classics and mathematics; and often both combined in the same school.	In later times they were much more numerous in Munster than in the other provinces; and they taught-and taught well-classics and mathematics; and often both combined in the same school.	false	183.92	198.01	22.945303
8006_112592_000006_000004	I was myself educated in some of those lay schools; and I remember with pleasure several of my old teachers: rough and unpolished men most of them, but excellent, solid scholars, and full of enthusiasm for learning--enthusiasm which they communicated to their pupils.	I was myself educated in some of those lay schools; and I remember with pleasure several of my old teachers: rough and unpolished men most of them, but excellent, solid scholars, and full of enthusiasm for learning-enthusiasm which they communicated to their pupils.	true	198.89	221.8	21.517462
8006_112592_000006_000005	In some respects indeed they resembled the rugged, earnest, scholarly Irishmen of old times, who travelled through Europe to spread religion and learning, as described at pp. 54, 55, farther on.	In some respects indeed they resembled the rugged, earnest, scholarly Irishmen of old times, who travelled through Europe to spread religion and learning, as described at p p. fifty four, fifty five, farther on.	false	222.83	238.39	21.679548
8006_112592_000006_000006	But the famine of 1847 broke up those schools, and in a very few years they nearly all disappeared.	But the famine of eighteen forty seven broke up those schools, and in a very few years they nearly all disappeared.	true	239.63	248.17	20.986334
8006_112592_000007_000000	But our business here is mainly with the early monastic schools, which became so celebrated all over Europe.	But our business here is mainly with the early monastic schools, which became so celebrated all over Europe.	true	248.81	256.63	22.53083
8006_112592_000007_000001	Before going farther it is well to remark that these schools also continued, and increased and multiplied as time went on.	Before going farther it is well to remark that these schools also continued, and increased and multiplied as time went on.	true	257.57	265.54	21.959175
8006_112592_000007_000002	They held their ground successfully--as the lay schools did--during the evil days of later ages, when determined attempts were made, under the penal laws, to suppress them; and at the present day they are working all over the country quite as vigorously as in days of yore.	They held their ground successfully-as the lay schools did-during the evil days of later ages, when determined attempts were made, under the penal laws, to suppress them; and at the present day they are working all over the country quite as vigorously as in days of yore.	true	266.48	284.98	21.798882
