204_162375_000000_000000	CHAPTER II	CHAPTER two	false	2.7	27.85	17.91497
204_162375_000001_000000	I COME TO MY JOURNEY'S END	I COME TO MY JOURNEY'S END	true	28.1	30.19	17.471811
204_162375_000002_000000	On the forenoon of the second day, coming to the top of a hill, I saw all the country fall away before me down to the sea; and in the midst of this descent, on a long ridge, the city of Edinburgh smoking like a kiln.	On the forenoon of the second day, coming to the top of a hill, I saw all the country fall away before me down to the sea; and in the midst of this descent, on a long ridge, the city of Edinburgh smoking like a kiln.	true	32.54	46.45	18
204_162375_000002_000001	There was a flag upon the castle, and ships moving or lying anchored in the firth; both of which, for as far away as they were, I could distinguish clearly; and both brought my country heart into my mouth.	There was a flag upon the castle, and ships moving or lying anchored in the firth; both of which, for as far away as they were, I could distinguish clearly; and both brought my country heart into my mouth.	true	46.88	59.68	19.805098
204_162375_000003_000000	Presently after, I came by a house where a shepherd lived, and got a rough direction for the neighbourhood of Cramond; and so, from one to another, worked my way to the westward of the capital by Colinton, till I came out upon the Glasgow road.	Presently after, I came by a house where a shepherd lived, and got a rough direction for the neighbourhood of Cramond; and so, from one to another, worked my way to the westward of the capital by Colinton, till I came out upon the Glasgow road.	true	60.41	74.89	18
204_162375_000003_000001	And there, to my great pleasure and wonder, I beheld a regiment marching to the fifes, every foot in time; an old red-faced general on a grey horse at the one end, and at the other the company of Grenadiers, with their Pope's-hats.	And there, to my great pleasure and wonder, I beheld a regiment marching to the fifes, every foot in time; an old red faced general on a grey horse at the one end, and at the other the company of Grenadiers, with their Pope's hats.	false	75.14	88.99	19
204_162375_000003_000002	The pride of life seemed to mount into my brain at the sight of the red coats and the hearing of that merry music.	The pride of life seemed to mount into my brain at the sight of the red coats and the hearing of that merry music.	true	89.81	95.97	15
204_162375_000004_000000	A little farther on, and I was told I was in Cramond parish, and began to substitute in my inquiries the name of the house of Shaws.	A little farther on, and I was told I was in Cramond parish, and began to substitute in my inquiries the name of the house of Shaws.	false	95.97	105.25	19.194515
204_162375_000004_000001	It was a word that seemed to surprise those of whom I sought my way.	It was a word that seemed to surprise those of whom I sought my way.	false	105.95	109.87	12
204_162375_000004_000002	At first I thought the plainness of my appearance, in my country habit, and that all dusty from the road, consorted ill with the greatness of the place to which I was bound.	At first I thought the plainness of my appearance, in my country habit, and that all dusty from the road, consorted ill with the greatness of the place to which I was bound.	true	110.39	120.58	19
204_162375_000004_000003	But after two, or maybe three, had given me the same look and the same answer, I began to take it in my head there was something strange about the Shaws itself.	But after two, or maybe three, had given me the same look and the same answer, I began to take it in my head there was something strange about the Shaws itself.	false	121.37	130.69	14
204_162375_000005_000000	The better to set this fear at rest, I changed the form of my inquiries; and spying an honest fellow coming along a lane on the shaft of his cart, I asked him if he had ever heard tell of a house they called the house of Shaws.	The better to set this fear at rest, I changed the form of my inquiries; and spying an honest fellow coming along a lane on the shaft of his cart, I asked him if he had ever heard tell of a house they called the house of Shaws.	true	132.89	146.2	16
204_162375_000006_000000	He stopped his cart and looked at me, like the others.	He stopped his cart and looked at me, like the others.	true	146.93	149.7	17
204_162375_000007_000000	"Ay" said he.	"Ay" said he.	false	149.7	151.99	20.790558
204_162375_000007_000001	"What for?"	"What for?"	true	152.09	153.19	23.707464
204_162375_000008_000000	"It's a great house?" I asked.	"It's a great house?" I asked.	true	154.04	156.61	17.714333
204_162375_000009_000000	"Doubtless," says he.	"Doubtless," says he.	true	157.49	159.64	18.888617
204_162375_000009_000001	"The house is a big, muckle house."	"The house is a big, muckle house."	true	160.01	162.06	19
204_162375_000010_000000	"Ay," said I, "but the folk that are in it?"	"Ay," said I, "but the folk that are in it?"	false	162.06	166.33	20.376614
204_162375_000011_000000	"Folk?" cried he.	"Folk?" cried he.	true	167.03	168.75	25.108522
204_162375_000011_000001	"Are ye daft?	"Are ye daft?	true	168.75	170.04	23.046787
204_162375_000011_000002	There's nae folk there--to call folk."	There's nae folk there-to call folk."	false	170.04	172.66	26.006754
204_162375_000012_000000	"What?" say I; "not Mr. Ebenezer?"	"What?" say I; "not mr Ebenezer?"	true	173.15	176.68	20.52423
