204_162375_000007_000001	"What for?"	"What for?"
204_162375_000011_000000	"Folk?" cried he.	"Folk?" cried he.
204_162375_000011_000001	"Are ye daft?	"Are ye daft?
204_162375_000012_000000	"What?" say I; "not Mr. Ebenezer?"	"What?" say I; "not mr Ebenezer?"
204_162375_000017_000000	"Hoot, hoot, hoot," said the barber, "nae kind of a man, nae kind of a man at all;" and began to ask me very shrewdly what my business was; but I was more than a match for him at that, and he went on to his next customer no wiser than he came.	"Hoot, hoot, hoot," said the barber, "nae kind of a man, nae kind of a man at all;" and began to ask me very shrewdly what my business was; but I was more than a match for him at that, and he went on to his next customer no wiser than he came.
204_162375_000018_000002	What kind of a great house was this, that all the parish should start and stare to be asked the way to it? or what sort of a gentleman, that his ill-fame should be thus current on the wayside?	What kind of a great house was this, that all the parish should start and stare to be asked the way to it? or what sort of a gentleman, that his ill fame should be thus current on the wayside?
204_162375_000019_000002	My heart sank. "That!" I cried.	My heart sank. "That!" I cried.
204_162375_000020_000001	"That is the house of Shaws!" she cried.	"That is the house of Shaws!" she cried.
204_162375_000020_000002	"Blood built it; blood stopped the building of it; blood shall bring it down.	"Blood built it; blood stopped the building of it; blood shall bring it down.
204_162375_000020_000003	See here!" she cried again--"I spit upon the ground, and crack my thumb at it!	See here!" she cried again-"I spit upon the ground, and crack my thumb at it!
204_162375_000020_000004	Black be its fall!	Black be its fall!
204_162375_000021_000000	And the woman, whose voice had risen to a kind of eldritch sing-song, turned with a skip, and was gone.	And the woman, whose voice had risen to a kind of eldritch sing song, turned with a skip, and was gone.
204_162375_000021_000002	In those days folk still believed in witches and trembled at a curse; and this one, falling so pat, like a wayside omen, to arrest me ere I carried out my purpose, took the pith out of my legs.	In those days folk still believed in witches and trembled at a curse; and this one, falling so pat, like a wayside omen, to arrest me ere I carried out my purpose, took the pith out of my legs.
204_162375_000022_000001	The more I looked, the pleasanter that country-side appeared; being all set with hawthorn bushes full of flowers; the fields dotted with sheep; a fine flight of rooks in the sky; and every sign of a kind soil and climate; and yet the barrack in the midst of it went sore against my fancy.	The more I looked, the pleasanter that country side appeared; being all set with hawthorn bushes full of flowers; the fields dotted with sheep; a fine flight of rooks in the sky; and every sign of a kind soil and climate; and yet the barrack in the midst of it went sore against my fancy.
204_162375_000023_000000	Country folk went by from the fields as I sat there on the side of the ditch, but I lacked the spirit to give them a good-e'en.	Country folk went by from the fields as I sat there on the side of the ditch, but I lacked the spirit to give them a good e'en.
204_162375_000024_000002	Presently it brought me to stone uprights, with an unroofed lodge beside them, and coats of arms upon the top.	Presently it brought me to stone uprights, with an unroofed lodge beside them, and coats of arms upon the top.
204_162375_000031_000000	"I have come here with a letter," I said, "to Mr. Ebenezer Balfour of Shaws.	"I have come here with a letter," I said, "to mr Ebenezer Balfour of Shaws.
204_162375_000031_000001	Is he here?"	Is he here?"
204_162375_000035_000000	"I will do no such thing," I cried.	"I will do no such thing," I cried.
204_162375_000036_000000	"A what?" cried the voice, sharply.	"A what?" cried the voice, sharply.
