7994_258959_000000_000000	DIVISION B--WEALTH AND RENT	DIVISION B-WEALTH AND RENT
7994_258959_000002_000000	WEALTH AND ITS INDIRECT USES	WEALTH AND ITS INDIRECT USES
7994_258959_000005_000000	1.	one.
7994_258959_000005_000002	If one wishing the hickory-nut hanging above his head must first pick up a stick to throw at it, the nut is removed one step from desire.	If one wishing the hickory nut hanging above his head must first pick up a stick to throw at it, the nut is removed one step from desire.
7994_258959_000005_000003	But even among savages the processes are much more complicated.	But even among savages the processes are much more complicated.
7994_258959_000005_000004	The Indian with a crude knife fashions his bow and arrow, fastens the flint and cord which represent still other processes of industry, and shoots the bird which satisfies his hunger.	The Indian with a crude knife fashions his bow and arrow, fastens the flint and cord which represent still other processes of industry, and shoots the bird which satisfies his hunger.
7994_258959_000005_000005	In modern conditions the relations are vastly more complicated; only at the end of a long series do men arrive at the thing which gratifies their wants.	In modern conditions the relations are vastly more complicated; only at the end of a long series do men arrive at the thing which gratifies their wants.
7994_258959_000007_000002	No agent or influence intervening, a thing may yet be removed a long way from gratification.	No agent or influence intervening, a thing may yet be removed a long way from gratification.
7994_258959_000007_000003	A tree may not be fitted to bear fruit for ten years to come.	A tree may not be fitted to bear fruit for ten years to come.
7994_258959_000007_000004	Meantime, there are many other possible uses for the tree: it may be used for fuel, or to make a canoe with which to catch fish, or to follow some other indirect method of production.	Meantime, there are many other possible uses for the tree: it may be used for fuel, or to make a canoe with which to catch fish, or to follow some other indirect method of production.
7994_258959_000007_000006	The number of steps has no necessary relation to the time.	The number of steps has no necessary relation to the time.
7994_258959_000007_000007	A number of technical steps may be taken in half an hour, or a process of a single technical step may last a year.	A number of technical steps may be taken in half an hour, or a process of a single technical step may last a year.
7994_258959_000010_000000	Many goods of just the same form as the foregoing may not be affording current gratification (except that afforded by thrift and forethought), but are kept because later they will gratify a more intense want or gratify a want better.	Many goods of just the same form as the foregoing may not be affording current gratification (except that afforded by thrift and forethought), but are kept because later they will gratify a more intense want or gratify a want better.
7994_258959_000010_000001	Apples and potatoes are kept in a cellar so that their use is distributed throughout the winter; cider and wine are kept till they get a quality that appeals more to the palate.	Apples and potatoes are kept in a cellar so that their use is distributed throughout the winter; cider and wine are kept till they get a quality that appeals more to the palate.
7994_258959_000010_000002	Coal, wood, and stocks of goods, are thus kept in the form of enjoyable goods, destined to be physically destroyed when at length they yield a gratification. Evidently they must be storing up meantime a certain additional utility, for otherwise there would be no reason why they should be kept for the future.	Coal, wood, and stocks of goods, are thus kept in the form of enjoyable goods, destined to be physically destroyed when at length they yield a gratification. Evidently they must be storing up meantime a certain additional utility, for otherwise there would be no reason why they should be kept for the future.
7994_258959_000010_000003	Such goods as these are sometimes called unripened consumption goods, but until ripened they bear in part the character of durable agents.	Such goods as these are sometimes called unripened consumption goods, but until ripened they bear in part the character of durable agents.
7994_258959_000011_000000	Abiding sources of economic enjoyments are called durable agents.	Abiding sources of economic enjoyments are called durable agents.
7994_258959_000011_000001	The inhabited house is a source of continued gratification in each moment's shelter it affords; but, further, it is the durable source of a series of future uses, as yet unripened.	The inhabited house is a source of continued gratification in each moment's shelter it affords; but, further, it is the durable source of a series of future uses, as yet unripened.
7994_258959_000011_000002	The hammer, the hoe, the tree, the field may all be considered as agents to secure consumption goods.	The hammer, the hoe, the tree, the field may all be considered as agents to secure consumption goods.
7994_258959_000011_000003	Some of these are but one step removed from direct gratification, as the hoe helping the gardener to get food for his own use.	Some of these are but one step removed from direct gratification, as the hoe helping the gardener to get food for his own use.
7994_258959_000013_000003	Yet the classification is practical, corresponding as it does with thoughts which men have in the use of goods.	Yet the classification is practical, corresponding as it does with thoughts which men have in the use of goods.
7994_258959_000013_000004	By repairs and other methods goods become, and are looked upon as, durable sources of a series of uses.	By repairs and other methods goods become, and are looked upon as, durable sources of a series of uses.
7994_258959_000014_000000	It is to be noted further that the enjoyable goods pass over into psychic income, that is, they are the stream of objective utilities that is each moment detaching itself as income from the great mass of wealth. The durable goods are those utilities which for the time remain, not yet ripened or ready to be converted into psychic income.	It is to be noted further that the enjoyable goods pass over into psychic income, that is, they are the stream of objective utilities that is each moment detaching itself as income from the great mass of wealth. The durable goods are those utilities which for the time remain, not yet ripened or ready to be converted into psychic income.
7994_258959_000015_000002	CONDITIONS OF ECONOMIC WEALTH	CONDITIONS OF ECONOMIC WEALTH
7994_258959_000017_000000	1.	one.
7994_258959_000017_000002	Climate is itself a direct source of gratification.	Climate is itself a direct source of gratification.
