7994_258959_000000_000000	DIVISION B--WEALTH AND RENT	DIVISION B-WEALTH AND RENT	true	30.03	33.07	21.037922
7994_258959_000001_000000	CHAPTER 7	CHAPTER seven	true	33.56	34.78	18.485386
7994_258959_000002_000000	WEALTH AND ITS INDIRECT USES	WEALTH AND ITS INDIRECT USES	true	34.94	37.45	27.698633
7994_258959_000003_000000	Sec. I. THE GRADES OF RELATION OF INDIRECT GOODS TO GRATIFICATION	Sec. i THE GRADES OF RELATION OF INDIRECT GOODS TO GRATIFICATION	false	37.73	43.2	21.132942
7994_258959_000004_000000	[Sidenote: Technical rank of agents]	[Sidenote: Technical rank of agents]	false	43.2	46.15	23.415392
7994_258959_000005_000000	1.	one.	true	46.91	47.61	28.36517
7994_258959_000005_000001	_Goods may be ranked according to their technical relation to wants._ The technical rank of goods (sometimes spoken of as the degree of roundaboutness of the process) signifies the number of steps or processes that intervene between the agent used and the desired form.	underscore Goods may be ranked according to their technical relation to wants.underscore The technical rank of goods (sometimes spoken of as the degree of roundaboutness of the process) signifies the number of steps or processes that intervene between the agent used and the desired form.	false	47.61	65.89	22.391886
7994_258959_000005_000002	If one wishing the hickory-nut hanging above his head must first pick up a stick to throw at it, the nut is removed one step from desire.	If one wishing the hickory nut hanging above his head must first pick up a stick to throw at it, the nut is removed one step from desire.	true	66.47	76	22.17868
7994_258959_000005_000003	But even among savages the processes are much more complicated.	But even among savages the processes are much more complicated.	true	76.4	81.01	21.843945
7994_258959_000005_000004	The Indian with a crude knife fashions his bow and arrow, fastens the flint and cord which represent still other processes of industry, and shoots the bird which satisfies his hunger.	The Indian with a crude knife fashions his bow and arrow, fastens the flint and cord which represent still other processes of industry, and shoots the bird which satisfies his hunger.	true	81.32	93.7	21.80162
7994_258959_000005_000005	In modern conditions the relations are vastly more complicated; only at the end of a long series do men arrive at the thing which gratifies their wants.	In modern conditions the relations are vastly more complicated; only at the end of a long series do men arrive at the thing which gratifies their wants.	true	94.19	104.28	22
7994_258959_000006_000000	[Sidenote: Time relations of goods to wants]	[Sidenote: Time relations of goods to wants]	false	104.28	107.85	19.598299
7994_258959_000007_000000	2.	two.	false	107.85	108.78	100
7994_258959_000007_000001	_Goods may be ranked by their relation to wants in time._ The relation in respect to time is measured by the period that must elapse before the utility of an agent results in, is converted into, gratification.	underscore Goods may be ranked by their relation to wants in time.underscore The relation in respect to time is measured by the period that must elapse before the utility of an agent results in, is converted into, gratification.	false	108.78	124.36	22.246311
7994_258959_000007_000002	No agent or influence intervening, a thing may yet be removed a long way from gratification.	No agent or influence intervening, a thing may yet be removed a long way from gratification.	true	124.67	131.565	20.927576
7994_258959_000007_000003	A tree may not be fitted to bear fruit for ten years to come.	A tree may not be fitted to bear fruit for ten years to come.	true	131.565	135.34	22.66068
7994_258959_000007_000004	Meantime, there are many other possible uses for the tree: it may be used for fuel, or to make a canoe with which to catch fish, or to follow some other indirect method of production.	Meantime, there are many other possible uses for the tree: it may be used for fuel, or to make a canoe with which to catch fish, or to follow some other indirect method of production.	true	135.62	147.7	23.84051
7994_258959_000007_000005	Evidently the technical and time relations of goods are very different.	Evidently the technical and time relations of goods are very different.	false	148.34	152.68	22.79472
7994_258959_000007_000006	The number of steps has no necessary relation to the time.	The number of steps has no necessary relation to the time.	true	153.17	156.61	20.92611
7994_258959_000007_000007	A number of technical steps may be taken in half an hour, or a process of a single technical step may last a year.	A number of technical steps may be taken in half an hour, or a process of a single technical step may last a year.	true	157.31	164.29	24.809828
7994_258959_000007_000008	In the mechanic arts the technical relations are of primary significance, but in economics the time relations are mainly to be considered.	In the mechanic arts the technical relations are of primary significance, but in economics the time relations are mainly to be considered.	false	164.87	178.05	21.807037
7994_258959_000008_000000	3.	three.	true	178.05	178.77	13
7994_258959_000008_000001	_Economic goods may be classified as immediately enjoyable goods and durable agents._ Enjoyable goods are goods in a final form, producing gratification or just ready to give gratification the next moment, as the cool draft of air made by a fan on a hot day, the cup of coffee steaming on the table.	underscore Economic goods may be classified as immediately enjoyable goods and durable agents.underscore Enjoyable goods are goods in a final form, producing gratification or just ready to give gratification the next moment, as the cool draft of air made by a fan on a hot day, the cup of coffee steaming on the table.	false	178.77	201.45	22.894268
7994_258959_000009_000000	[Sidenote: Enjoyable goods and durable agents]	[Sidenote: Enjoyable goods and durable agents]	false	201.45	202.44	0
7994_258959_000010_000000	Many goods of just the same form as the foregoing may not be affording current gratification (except that afforded by thrift and forethought), but are kept because later they will gratify a more intense want or gratify a want better.	Many goods of just the same form as the foregoing may not be affording current gratification (except that afforded by thrift and forethought), but are kept because later they will gratify a more intense want or gratify a want better.	true	202.44	219.28	24.687805
7994_258959_000010_000001	Apples and potatoes are kept in a cellar so that their use is distributed throughout the winter; cider and wine are kept till they get a quality that appeals more to the palate.	Apples and potatoes are kept in a cellar so that their use is distributed throughout the winter; cider and wine are kept till they get a quality that appeals more to the palate.	true	219.92	231.25	24.156864
