224_129790_000000_000000	CHAPTER X. DON DIEGO	CHAPTER ten DON DIEGO	true	21.06	23.77	28.290323
224_129790_000001_000000	Don Diego de Espinosa y Valdez awoke, and with languid eyes in aching head, he looked round the cabin, which was flooded with sunlight from the square windows astern.	Don Diego de Espinosa y Valdez awoke, and with languid eyes in aching head, he looked round the cabin, which was flooded with sunlight from the square windows astern.	false	24.89	36.04	22.253721
224_129790_000001_000001	Then he uttered a moan, and closed his eyes again, impelled to this by the monstrous ache in his head.	Then he uttered a moan, and closed his eyes again, impelled to this by the monstrous ache in his head.	true	36.71	43.78	20
224_129790_000001_000002	Lying thus, he attempted to think, to locate himself in time and space.	Lying thus, he attempted to think, to locate himself in time and space.	true	44.45	49.96	19.512781
224_129790_000001_000003	But between the pain in his head and the confusion in his mind, he found coherent thought impossible.	But between the pain in his head and the confusion in his mind, he found coherent thought impossible.	false	50.03	56.44	21
224_129790_000002_000000	An indefinite sense of alarm drove him to open his eyes again, and once more to consider his surroundings.	An indefinite sense of alarm drove him to open his eyes again, and once more to consider his surroundings.	true	57.44	64.18	19
224_129790_000003_000000	There could be no doubt that he lay in the great cabin of his own ship, the Cinco Llagas, so that his vague disquiet must be, surely, ill-founded.	There could be no doubt that he lay in the great cabin of his own ship, the Cinco Llagas, so that his vague disquiet must be, surely, ill founded.	false	64.7	74.5	23.1797
224_129790_000003_000001	And yet, stirrings of memory coming now to the assistance of reflection, compelled him uneasily to insist that here something was not as it should be.	And yet, stirrings of memory coming now to the assistance of reflection, compelled him uneasily to insist that here something was not as it should be.	true	74.84	85.42	23.174055
224_129790_000003_000002	The low position of the sun, flooding the cabin with golden light from those square ports astern, suggested to him at first that it was early morning, on the assumption that the vessel was headed westward.	The low position of the sun, flooding the cabin with golden light from those square ports astern, suggested to him at first that it was early morning, on the assumption that the vessel was headed westward.	true	85.97	97.69	20
224_129790_000003_000003	Then the alternative occurred to him.	Then the alternative occurred to him.	true	98.09	100.81	29
224_129790_000003_000004	They might be sailing eastward, in which case the time of day would be late afternoon. That they were sailing he could feel from the gentle forward heave of the vessel under him.	They might be sailing eastward, in which case the time of day would be late afternoon. That they were sailing he could feel from the gentle forward heave of the vessel under him.	true	101	113.32	21.633623
