3003_14274_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.
3003_14274_000003_000000	ARMY LETTERS FROM AN OFFICER'S WIFE	ARMY LETTERS FROM AN OFFICER'S WIFE
3003_14274_000005_000000	PREFACE	PREFACE
3003_14274_000006_000000	PERHAPS it is not necessary to say that the events mentioned in the letters are not imaginary--perhaps the letters themselves tell that! They are truthful accounts of experiences that came into my own life with the Army in the far West, whether they be about Indians, desperadoes, or hunting--not one little thing has been stolen.	PERHAPS it is not necessary to say that the events mentioned in the letters are not imaginary-perhaps the letters themselves tell that! They are truthful accounts of experiences that came into my own life with the Army in the far West, whether they be about Indians, desperadoes, or hunting-not one little thing has been stolen.
3003_14274_000006_000002	All flowery descriptions have been omitted, as it seemed that a simple, concise narration of events as they actually occurred, was more in keeping with the life, and that which came into it.	All flowery descriptions have been omitted, as it seemed that a simple, concise narration of events as they actually occurred, was more in keeping with the life, and that which came into it.
3003_14274_000008_000000	KIT CARSON, COLORADO TERRITORY, October, 1871.	KIT CARSON, COLORADO TERRITORY, October, eighteen seventy one.
3003_14274_000009_000003	They looked, in the moonlight, like huge cakes of clay, where spooks and creepy things might be found.	They looked, in the moonlight, like huge cakes of clay, where spooks and creepy things might be found.
3003_14274_000009_000004	The hotel is much like the houses, and appears to have been made of dirt, and a few drygoods boxes.	The hotel is much like the houses, and appears to have been made of dirt, and a few drygoods boxes.
3003_14274_000009_000005	Even the low roof is of dirt.	Even the low roof is of dirt.
3003_14274_000009_000006	The whole place is horrible, and dismal beyond description, and just why anyone lives here I cannot understand.	The whole place is horrible, and dismal beyond description, and just why anyone lives here I cannot understand.
3003_14274_000010_000000	I am all upset!	I am all upset!
3003_14274_000010_000001	Faye has just been in to say that only one of my trunks can be taken on the stage with us, and of course I had to select one that has all sorts of things in it, and consequently leave my pretty dresses here, to be sent for--all but the Japanese silk which happens to be in that trunk.	Faye has just been in to say that only one of my trunks can be taken on the stage with us, and of course I had to select one that has all sorts of things in it, and consequently leave my pretty dresses here, to be sent for-all but the Japanese silk which happens to be in that trunk.
3003_14274_000010_000003	And then, to make my shortcomings the more vexatious, Faye will be simply fine all the time, in his brand new uniform!	And then, to make my shortcomings the more vexatious, Faye will be simply fine all the time, in his brand new uniform!
3003_14274_000012_000000	FORT LYON, COLORADO TERRITORY, October, 1871.	FORT LYON, COLORADO TERRITORY, October, eighteen seventy one.
3003_14274_000013_000000	AFTER months of anticipation and days of weary travel we have at last got to our army home!	AFTER months of anticipation and days of weary travel we have at last got to our army home!
3003_14274_000013_000001	As you know, Fort Lyon is fifty miles from Kit Carson, and we came all that distance in a funny looking stage coach called a "jerkey," and a good name for it, too, for at times it seesawed back and forth and then sideways, in an awful breakneck way.	As you know, Fort Lyon is fifty miles from Kit Carson, and we came all that distance in a funny looking stage coach called a "jerkey," and a good name for it, too, for at times it seesawed back and forth and then sideways, in an awful breakneck way.
3003_14274_000013_000002	The day was glorious, and the atmosphere so clear, we could see miles and miles in every direction.	The day was glorious, and the atmosphere so clear, we could see miles and miles in every direction.
3003_14274_000014_000000	It was dark when we reached the post, so of course we could see nothing that night.	It was dark when we reached the post, so of course we could see nothing that night.
3003_14274_000014_000001	General and Mrs. Phillips gave us a most cordial welcome--just as though they had known us always.	General and mrs Phillips gave us a most cordial welcome-just as though they had known us always.
3003_14274_000014_000002	Dinner was served soon after we arrived, and the cheerful dining room, and the table with its dainty china and bright silver, was such a surprise--so much nicer than anything we had expected to find here, and all so different from the terrible places we had seen since reaching the plains.	Dinner was served soon after we arrived, and the cheerful dining room, and the table with its dainty china and bright silver, was such a surprise-so much nicer than anything we had expected to find here, and all so different from the terrible places we had seen since reaching the plains.
3003_14274_000014_000003	It was apparent at once that this was not a place for spooks!	It was apparent at once that this was not a place for spooks!
3003_14274_000014_000005	I was so disappointed when I was told this, but Faye says that he is very much afraid that I will have cause, sooner or later, to think that the grade of captain is quite high enough.	I was so disappointed when I was told this, but Faye says that he is very much afraid that I will have cause, sooner or later, to think that the grade of captain is quite high enough.
3003_14274_000014_000006	He thinks this way because, having graduated at West Point this year, he is only a second lieutenant just now, and General Phillips is his captain and company commander.	He thinks this way because, having graduated at West Point this year, he is only a second lieutenant just now, and General Phillips is his captain and company commander.
3003_14274_000015_000001	At least that is what they tell me.	At least that is what they tell me.
3003_14274_000015_000003	Most girls would.	Most girls would.
3003_14274_000015_000004	A soldier in uniform waited upon us at dinner, and that seemed so funny.	A soldier in uniform waited upon us at dinner, and that seemed so funny.
3003_14274_000015_000005	I wanted to watch him all the time, which distracted me, I suppose, for once I called General Phillips "Mister!"	I wanted to watch him all the time, which distracted me, I suppose, for once I called General Phillips "Mister!"
3003_14274_000015_000006	It so happened, too, that just that instant there was not a sound in the room, so everyone heard the blunder. General Phillips straightened back in his chair, and his little son gave a smothered giggle--for which he should have been sent to bed at once. But that was not all!	It so happened, too, that just that instant there was not a sound in the room, so everyone heard the blunder. General Phillips straightened back in his chair, and his little son gave a smothered giggle-for which he should have been sent to bed at once. But that was not all!
3003_14274_000015_000007	That soldier, who had been so dignified and stiff, put his hand over his mouth and fairly rushed from the room so he could laugh outright.	That soldier, who had been so dignified and stiff, put his hand over his mouth and fairly rushed from the room so he could laugh outright.
3003_14274_000015_000008	And how I longed to run some place, too--but not to laugh, oh, no!	And how I longed to run some place, too-but not to laugh, oh, no!
3003_14274_000016_000003	When I told Faye about it, he looked vexed and said I must never laugh at an enlisted man--that it was not dignified in the wife of an officer to do so.	When I told Faye about it, he looked vexed and said I must never laugh at an enlisted man-that it was not dignified in the wife of an officer to do so.
3003_14274_000016_000005	I wanted to say more, but Faye suddenly left the room.	I wanted to say more, but Faye suddenly left the room.
3003_14274_000017_000001	There is no high wall around it as there is at Fort Trumbull.	There is no high wall around it as there is at Fort Trumbull.
3003_14274_000017_000005	A little ditch--they call it acequia--runs all around the post, and brings water to the trees and lawns, but water for use in the houses is brought up in wagons from the Arkansas River, and is kept in barrels.	A little ditch-they call it acequia-runs all around the post, and brings water to the trees and lawns, but water for use in the houses is brought up in wagons from the Arkansas River, and is kept in barrels.
3003_14274_000018_000000	Yesterday morning--our first here--we were awakened by the sounds of fife and drum that became louder and louder, until finally I thought the whole Army must be marching to the house.	Yesterday morning-our first here-we were awakened by the sounds of fife and drum that became louder and louder, until finally I thought the whole Army must be marching to the house.
3003_14274_000018_000001	I stumbled over everything in the room in my haste to get to one of the little dormer windows, but there was nothing to be seen, as it was still quite dark.	I stumbled over everything in the room in my haste to get to one of the little dormer windows, but there was nothing to be seen, as it was still quite dark.
3003_14274_000018_000002	The drumming became less loud, and then ceased altogether, when a big gun was fired that must have wasted any amount of powder, for it shook the house and made all the windows rattle.	The drumming became less loud, and then ceased altogether, when a big gun was fired that must have wasted any amount of powder, for it shook the house and made all the windows rattle.
3003_14274_000018_000003	Then three or four bugles played a little air, which it was impossible to hear because of the horrible howling and crying of dogs--such howls of misery you never heard--they made me shiver.	Then three or four bugles played a little air, which it was impossible to hear because of the horrible howling and crying of dogs-such howls of misery you never heard-they made me shiver.
3003_14274_000018_000005	There was the same performance this morning, and at breakfast I asked General Phillips why soldiers required such a beating of drums, and deafening racket generally, to awaken them in the morning.	There was the same performance this morning, and at breakfast I asked General Phillips why soldiers required such a beating of drums, and deafening racket generally, to awaken them in the morning.
3003_14274_000019_000001	So it is apparent to me that the safest thing to do is to call everyone general--there seem to be so many here.	So it is apparent to me that the safest thing to do is to call everyone general-there seem to be so many here.
3003_14274_000019_000002	If I make a mistake, it will be on the right side, at least.	If I make a mistake, it will be on the right side, at least.
3003_14274_000020_000001	But instead of the smile and gracious acquiescence I had expected, there was another straightening back in the chair, and a silence that was ominous and chilling.	But instead of the smile and gracious acquiescence I had expected, there was another straightening back in the chair, and a silence that was ominous and chilling.
3003_14274_000020_000002	Finally, he recovered sufficient breath to tell me that at present, there were no good carpenters in the company.	Finally, he recovered sufficient breath to tell me that at present, there were no good carpenters in the company.
3003_14274_000020_000003	Later on, however, I learned that only captains and officers of higher rank can have such things.	Later on, however, I learned that only captains and officers of higher rank can have such things.
3003_14274_000020_000004	The captains seem to have the best of everything, and the lieutenants are expected to get along with smaller houses, much less pay, and much less everything else, and at the same time perform all of the disagreeable duties.	The captains seem to have the best of everything, and the lieutenants are expected to get along with smaller houses, much less pay, and much less everything else, and at the same time perform all of the disagreeable duties.
3003_14274_000021_000000	Faye is wonderfully amiable about it, and assures me that when he gets to be a captain I will see that it is just and fair.	Faye is wonderfully amiable about it, and assures me that when he gets to be a captain I will see that it is just and fair.
3003_14274_000021_000001	But I happen to remember that he told me not long ago that he might not get his captaincy for twenty years.	But I happen to remember that he told me not long ago that he might not get his captaincy for twenty years.
3003_14274_000021_000002	Just think of it--a whole long lifetime--and always a Mister, too--and perhaps by that time it will be "just and fair" for the lieutenants to have everything!	Just think of it-a whole long lifetime-and always a Mister, too-and perhaps by that time it will be "just and fair" for the lieutenants to have everything!
3003_14274_000022_000002	It has a hall with a pretty stairway, three rooms and a large shed downstairs, and two rooms and a very large hall closet on the second floor.	It has a hall with a pretty stairway, three rooms and a large shed downstairs, and two rooms and a very large hall closet on the second floor.
3003_14274_000022_000003	A soldier is cleaning the windows and floors, and making things tidy generally.	A soldier is cleaning the windows and floors, and making things tidy generally.
3003_14274_000022_000004	Many of the men like to cook, and do things for officers of their company, thereby adding to their pay, and these men are called strikers.	Many of the men like to cook, and do things for officers of their company, thereby adding to their pay, and these men are called strikers.
3003_14274_000023_000000	There are four companies here--three of infantry and one troop of cavalry.	There are four companies here-three of infantry and one troop of cavalry.
3003_14274_000023_000001	You must always remember that Faye is in the infantry.	You must always remember that Faye is in the infantry.
3003_14274_000023_000002	With the cavalry he has a classmate, and a friend, also, which will make it pleasant for both of us.	With the cavalry he has a classmate, and a friend, also, which will make it pleasant for both of us.
3003_14274_000023_000003	In my letters to you I will disregard army etiquette, and call the lieutenants by their rank, otherwise you would not know of whom I was writing--an officer or civilian.	In my letters to you I will disregard army etiquette, and call the lieutenants by their rank, otherwise you would not know of whom I was writing-an officer or civilian.
3003_14274_000023_000004	Lieutenant Baldwin has been on the frontier many years, and is an experienced hunter of buffalo and antelope.	Lieutenant Baldwin has been on the frontier many years, and is an experienced hunter of buffalo and antelope.
3003_14274_000023_000005	He says that I must commence riding horseback at once, and has generously offered me the use of one of his horses.	He says that I must commence riding horseback at once, and has generously offered me the use of one of his horses.
3003_14274_000023_000006	Mrs. Phillips insists upon my using her saddle until I can get one from the East, so I can ride as soon as our trunks come.	mrs Phillips insists upon my using her saddle until I can get one from the East, so I can ride as soon as our trunks come.
