3003_14274_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.	false	9.36	11.26	22
3003_14274_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.	true	11.63	15.1	22.96847
3003_14274_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.	false	15.47	25.05	22.780231
3003_14274_000001_000000	LETTERS FROM AN OFFICER'S WIFE ***	LETTERS FROM AN OFFICER'S WIFE asterisk asterisk asterisk	false	25.05	29.94	24.69542
3003_14274_000002_000000	Produced by Dianne Bean	Produced by Dianne Bean	false	29.94	37.2	21.56165
3003_14274_000003_000000	ARMY LETTERS FROM AN OFFICER'S WIFE	ARMY LETTERS FROM AN OFFICER'S WIFE	true	37.2	39.51	20.762377
3003_14274_000004_000000	By Frances M. A. Roe	By Frances m a Roe	false	39.51	39.66	-20
3003_14274_000005_000000	PREFACE	PREFACE	true	39.66	40.45	26.009773
3003_14274_000006_000000	PERHAPS it is not necessary to say that the events mentioned in the letters are not imaginary--perhaps the letters themselves tell that! They are truthful accounts of experiences that came into my own life with the Army in the far West, whether they be about Indians, desperadoes, or hunting--not one little thing has been stolen.	PERHAPS it is not necessary to say that the events mentioned in the letters are not imaginary-perhaps the letters themselves tell that! They are truthful accounts of experiences that came into my own life with the Army in the far West, whether they be about Indians, desperadoes, or hunting-not one little thing has been stolen.	true	41.09	64.48	22.450184
3003_14274_000006_000001	They are of a life that has passed--as has passed the buffalo and the antelope--yes, and the log and adobe quarters for the Army.	They are of a life that has passed-as has passed the buffalo and the antelope-yes, and the log and adobe quarters for the Army.	false	64.88	74.35	22.957413
3003_14274_000006_000002	All flowery descriptions have been omitted, as it seemed that a simple, concise narration of events as they actually occurred, was more in keeping with the life, and that which came into it.	All flowery descriptions have been omitted, as it seemed that a simple, concise narration of events as they actually occurred, was more in keeping with the life, and that which came into it.	true	74.9	87.7	22.745436
3003_14274_000006_000003	FRANCES M. A. ROE.	FRANCES m a ROE.	false	88.07	94.59	25.528442
3003_14274_000007_000000	ARMY LETTERS FROM AN OFFICER'S WIFE	ARMY LETTERS FROM AN OFFICER'S WIFE	false	94.59	104.61	21.806316
3003_14274_000008_000000	KIT CARSON, COLORADO TERRITORY, October, 1871.	KIT CARSON, COLORADO TERRITORY, October, eighteen seventy one.	true	104.61	109.26	23
3003_14274_000009_000000	IT is late, so this can be only a note--to tell you that we arrived here safely, and will take the stage for Fort Lyon to-morrow morning at six o'clock.	i t is late, so this can be only a note-to tell you that we arrived here safely, and will take the stage for Fort Lyon to morrow morning at six o'clock.	false	109.26	119.56	23.029903
3003_14274_000009_000001	I am thankful enough that our stay is short at this terrible place, where one feels there is danger of being murdered any minute. Not one woman have I seen here, but there are men--any number of dreadful-looking men--each one armed with big pistols, and leather belts full of cartridges.	I am thankful enough that our stay is short at this terrible place, where one feels there is danger of being murdered any minute. Not one woman have I seen here, but there are men-any number of dreadful looking men-each one armed with big pistols, and leather belts full of cartridges.	false	120.2	140.77	21.696028
