1851_148312_000003_000000	There lived in Padua a gentleman named Baptista, who had two fair daughters.	There lived in Padua a gentleman named Baptista, who had two fair daughters.
1851_148312_000003_000002	But Baptista said the elder daughter must marry first.	But Baptista said the elder daughter must marry first.
1851_148312_000005_000000	A gentleman from Verona, named Petruchio, was the one they thought of, and, half in jest, they asked him if he would marry Katharine, the disagreeable scold.	A gentleman from Verona, named Petruchio, was the one they thought of, and, half in jest, they asked him if he would marry Katharine, the disagreeable scold.
1851_148312_000005_000001	Much to their surprise he said yes, that was just the sort of wife for him, and if Katharine were handsome and rich, he himself would undertake soon to make her good-tempered.	Much to their surprise he said yes, that was just the sort of wife for him, and if Katharine were handsome and rich, he himself would undertake soon to make her good tempered.
1851_148312_000006_000001	And just then her music master rushed in, complaining that the naughty girl had broken her lute over his head, because he told her she was not playing correctly.	And just then her music master rushed in, complaining that the naughty girl had broken her lute over his head, because he told her she was not playing correctly.
1851_148312_000007_000000	"Never mind," said Petruchio, "I love her better than ever, and long to have some chat with her."	"Never mind," said Petruchio, "I love her better than ever, and long to have some chat with her."
1851_148312_000009_000000	"You've only heard half," said Katharine, rudely.	"You've only heard half," said Katharine, rudely.
1851_148312_000011_000000	"Your wife!" cried Kate.	"Your wife!" cried Kate.
1851_148312_000011_000001	"Never!" She said some extremely disagreeable things to him, and, I am sorry to say, ended by boxing his ears.	"Never!" She said some extremely disagreeable things to him, and, I am sorry to say, ended by boxing his ears.
1851_148312_000012_000000	"If you do that again, I'll cuff you," he said quietly; and still protested, with many compliments, that he would marry none but her.	"If you do that again, I'll cuff you," he said quietly; and still protested, with many compliments, that he would marry none but her.
1851_148312_000013_000000	When Baptista came back, he asked at once--	When Baptista came back, he asked at once-
1851_148312_000014_000000	"How speed you with my daughter?"	"How speed you with my daughter?"
1851_148312_000015_000000	"How should I speed but well," replied Petruchio--"how, but well?"	"How should I speed but well," replied Petruchio-"how, but well?"
1851_148312_000016_000000	"How now, daughter Katharine?" the father went on.	"How now, daughter Katharine?" the father went on.
1851_148312_000017_000000	"I don't think," said Katharine, angrily, "you are acting a father's part in wishing me to marry this mad-cap ruffian."	"I don't think," said Katharine, angrily, "you are acting a father's part in wishing me to marry this mad cap ruffian."
1851_148312_000018_000000	"Ah!" said Petruchio, "you and all the world would talk amiss of her. You should see how kind she is to me when we are alone.	"Ah!" said Petruchio, "you and all the world would talk amiss of her. You should see how kind she is to me when we are alone.
1851_148312_000018_000001	In short, I will go off to Venice to buy fine things for our wedding--for--kiss me, Kate! we will be married on Sunday."	In short, I will go off to Venice to buy fine things for our wedding-for-kiss me, Kate! we will be married on Sunday."
1851_148312_000019_000000	With that, Katharine flounced out of the room by one door in a violent temper, and he, laughing, went out by the other.	With that, Katharine flounced out of the room by one door in a violent temper, and he, laughing, went out by the other.
1851_148312_000019_000001	But whether she fell in love with Petruchio, or whether she was only glad to meet a man who was not afraid of her, or whether she was flattered that, in spite of her rough words and spiteful usage, he still desired her for his wife--she did indeed marry him on Sunday, as he had sworn she should.	But whether she fell in love with Petruchio, or whether she was only glad to meet a man who was not afraid of her, or whether she was flattered that, in spite of her rough words and spiteful usage, he still desired her for his wife-she did indeed marry him on Sunday, as he had sworn she should.
1851_148312_000020_000000	To vex and humble Katharine's naughty, proud spirit, he was late at the wedding, and when he came, came wearing such shabby clothes that she was ashamed to be seen with him.	To vex and humble Katharine's naughty, proud spirit, he was late at the wedding, and when he came, came wearing such shabby clothes that she was ashamed to be seen with him.
