1851_148312_000000_000000	They would have taken Othello back to Venice to try him there, but he escaped them on his sword.	They would have taken Othello back to Venice to try him there, but he escaped them on his sword.	false	0	5.79	20.432932
1851_148312_000000_000001	"A word or two before you go," he said to the Venetians in the chamber.	"A word or two before you go," he said to the Venetians in the chamber.	false	5.79	9.99	23.142166
1851_148312_000000_000002	"Speak of me as I was--no better, no worse. Say I cast away the pearl of pearls, and wept with these hard eyes; and say that, when in Aleppo years ago I saw a Turk beating a Venetian, I took him by the throat and smote him thus."	"Speak of me as I was-no better, no worse. Say I cast away the pearl of pearls, and wept with these hard eyes; and say that, when in Aleppo years ago I saw a Turk beating a Venetian, I took him by the throat and smote him thus."	false	9.99	21.72	23.04806
1851_148312_000001_000000	With his own hand he stabbed himself to the heart; and ere he died his lips touched the face of Desdemona with despairing love.	With his own hand he stabbed himself to the heart; and ere he died his lips touched the face of Desdemona with despairing love.	false	21.72	21.72	
1851_148312_000002_000000	THE TAMING OF THE SHREW	THE TAMING OF THE SHREW	false	21.72	23.11	27.275574
1851_148312_000003_000000	There lived in Padua a gentleman named Baptista, who had two fair daughters.	There lived in Padua a gentleman named Baptista, who had two fair daughters.	true	24.83	30.91	26.08847
1851_148312_000003_000001	The eldest, Katharine, was so very cross and ill-tempered, and unmannerly, that no one ever dreamed of marrying her, while her sister, Bianca, was so sweet and pretty, and pleasant-spoken, that more than one suitor asked her father for her hand.	The eldest, Katharine, was so very cross and ill tempered, and unmannerly, that no one ever dreamed of marrying her, while her sister, Bianca, was so sweet and pretty, and pleasant spoken, that more than one suitor asked her father for her hand.	false	31.31	47.47	23.296509
1851_148312_000003_000002	But Baptista said the elder daughter must marry first.	But Baptista said the elder daughter must marry first.	true	48.05	51.79	24.823378
1851_148312_000004_000000	So Bianca's suitors decided among themselves to try and get some one to marry Katharine--and then the father could at least be got to listen to their suit for Bianca.	So Bianca's suitors decided among themselves to try and get some one to marry Katharine-and then the father could at least be got to listen to their suit for Bianca.	false	52.97	62.74	23.46271
1851_148312_000005_000000	A gentleman from Verona, named Petruchio, was the one they thought of, and, half in jest, they asked him if he would marry Katharine, the disagreeable scold.	A gentleman from Verona, named Petruchio, was the one they thought of, and, half in jest, they asked him if he would marry Katharine, the disagreeable scold.	true	63.35	74.2	22.931772
1851_148312_000005_000001	Much to their surprise he said yes, that was just the sort of wife for him, and if Katharine were handsome and rich, he himself would undertake soon to make her good-tempered.	Much to their surprise he said yes, that was just the sort of wife for him, and if Katharine were handsome and rich, he himself would undertake soon to make her good tempered.	true	74.48	84.88	22.50727
