56_1733_000000_000000	Chapter 4	Chapter four	false	1.41	8.04	22.1905
56_1733_000001_000000	Darya Alexandrovna, in a dressing jacket, and with her now scanty, once luxuriant and beautiful hair fastened up with hairpins on the nape of her neck, with a sunken, thin face and large, startled eyes, which looked prominent from the thinness of her face, was standing among a litter of all sorts of things scattered all over the room, before an open bureau, from which she was taking something.	Darya Alexandrovna, in a dressing jacket, and with her now scanty, once luxuriant and beautiful hair fastened up with hairpins on the nape of her neck, with a sunken, thin face and large, startled eyes, which looked prominent from the thinness of her face, was standing among a litter of all sorts of things scattered all over the room, before an open bureau, from which she was taking something.	true	8.04	32.11	21.208702
56_1733_000001_000001	Hearing her husband's steps, she stopped, looking towards the door, and trying assiduously to give her features a severe and contemptuous expression.	Hearing her husband's steps, she stopped, looking towards the door, and trying assiduously to give her features a severe and contemptuous expression.	true	32.57	40.33	21.319569
56_1733_000001_000002	She felt she was afraid of him, and afraid of the coming interview.	She felt she was afraid of him, and afraid of the coming interview.	true	40.82	43.99	18.697023
56_1733_000001_000003	She was just attempting to do what she had attempted to do ten times already in these last three days--to sort out the children's things and her own, so as to take them to her mother's--and again she could not bring herself to do this; but now again, as each time before, she kept saying to herself, "that things cannot go on like this, that she must take some step" to punish him, put him to shame, avenge on him some little part at least of the suffering he had caused her.	She was just attempting to do what she had attempted to do ten times already in these last three days-to sort out the children's things and her own, so as to take them to her mother's-and again she could not bring herself to do this; but now again, as each time before, she kept saying to herself, "that things cannot go on like this, that she must take some step" to punish him, put him to shame, avenge on him some little part at least of the suffering he had caused her.	false	44.21	71.41	22.431078
56_1733_000001_000004	She still continued to tell herself that she should leave him, but she was conscious that this was impossible; it was impossible because she could not get out of the habit of regarding him as her husband and loving him.	She still continued to tell herself that she should leave him, but she was conscious that this was impossible; it was impossible because she could not get out of the habit of regarding him as her husband and loving him.	true	71.78	84.13	24.183466
56_1733_000001_000005	Besides this, she realized that if even here in her own house she could hardly manage to look after her five children properly, they would be still worse off where she was going with them all.	Besides this, she realized that if even here in her own house she could hardly manage to look after her five children properly, they would be still worse off where she was going with them all.	true	84.74	94.72	22
56_1733_000001_000006	As it was, even in the course of these three days, the youngest was unwell from being given unwholesome soup, and the others had almost gone without their dinner the day before.	As it was, even in the course of these three days, the youngest was unwell from being given unwholesome soup, and the others had almost gone without their dinner the day before.	true	95.18	104.32	19.749355
56_1733_000001_000007	She was conscious that it was impossible to go away; but, cheating herself, she went on all the same sorting out her things and pretending she was going.	She was conscious that it was impossible to go away; but, cheating herself, she went on all the same sorting out her things and pretending she was going.	false	104.6	112.96	21.477583
56_1733_000002_000000	Seeing her husband, she dropped her hands into the drawer of the bureau as though looking for something, and only looked round at him when he had come quite up to her.	Seeing her husband, she dropped her hands into the drawer of the bureau as though looking for something, and only looked round at him when he had come quite up to her.	true	114.44	123.46	20.001747
56_1733_000002_000001	But her face, to which she tried to give a severe and resolute expression, betrayed bewilderment and suffering.	But her face, to which she tried to give a severe and resolute expression, betrayed bewilderment and suffering.	false	123.98	130.51	21.241817
56_1733_000003_000000	"Dolly!" he said in a subdued and timid voice.	"Dolly!" he said in a subdued and timid voice.	true	131.12	134.47	19.390306
56_1733_000003_000001	He bent his head towards his shoulder and tried to look pitiful and humble, but for all that he was radiant with freshness and health.	He bent his head towards his shoulder and tried to look pitiful and humble, but for all that he was radiant with freshness and health.	true	134.84	141.76	21.47133
56_1733_000003_000002	In a rapid glance she scanned his figure that beamed with health and freshness.	In a rapid glance she scanned his figure that beamed with health and freshness.	true	142.07	145.96	23
56_1733_000003_000003	"Yes, he is happy and content!" she thought; "while I....	"Yes, he is happy and content!" she thought; "while i...	true	146.15	149.53	21.325798
56_1733_000003_000004	And that disgusting good nature, which every one likes him for and praises--I hate that good nature of his," she thought.	And that disgusting good nature, which every one likes him for and praises-I hate that good nature of his," she thought.	true	149.78	155.89	23.18171
56_1733_000003_000005	Her mouth stiffened, the muscles of the cheek contracted on the right side of her pale, nervous face.	Her mouth stiffened, the muscles of the cheek contracted on the right side of her pale, nervous face.	true	156.23	161.8	20.921732
56_1733_000004_000000	"What do you want?" she said in a rapid, deep, unnatural voice.	"What do you want?" she said in a rapid, deep, unnatural voice.	true	162.41	166.42	26.183647
