5333_5097_000000_000000	END OF VOLUME ONE.	END OF VOLUME ONE.	false	1.05	16.305	18.581867
5333_5097_000001_000000	ROB ROY	ROB ROY	true	16.305	17.235	21.649992
5333_5097_000002_000000	By Sir Walter Scott	By Sir Walter Scott	true	17.235	18.58	20.54995
5333_5097_000003_000000	VOLUME TWO	VOLUME TWO	false	18.59	19.38	20.211445
5333_5097_000004_000000	[Illustration: Helen MacGregor--Frontispiece]	[Illustration: Helen MacGregor-Frontispiece]	false	19.38	19.92	14
5333_5097_000005_000000	CHAPTER FIRST	CHAPTER FIRST	true	19.92	21.16	19.387646
5333_5097_000006_000000	And hurry, hurry, off they rode, As fast as fast might be; Hurra, hurra, the dead can ride, Dost fear to ride with me? Burger.	And hurry, hurry, off they rode, As fast as fast might be; Hurra, hurra, the dead can ride, Dost fear to ride with me? Burger.	true	21.74	32.98	20.062056
5333_5097_000007_000000	There is one advantage in an accumulation of evils, differing in cause and character, that the distraction which they afford by their contradictory operation prevents the patient from being overwhelmed under either.	There is one advantage in an accumulation of evils, differing in cause and character, that the distraction which they afford by their contradictory operation prevents the patient from being overwhelmed under either.	true	33.32	46.03	18.215282
5333_5097_000007_000001	I was deeply grieved at my separation from Miss Vernon, yet not so much so as I should have been, had not my father's apprehended distresses forced themselves on my attention; and I was distressed by the news of Mr. Tresham, yet less so than if they had fully occupied my mind. I was neither a false lover nor an unfeeling son; but man can give but a certain portion of distressful emotions to the causes which demand them; and if two operate at once, our sympathy, like the funds of a compounding bankrupt, can only be divided between them.	I was deeply grieved at my separation from Miss Vernon, yet not so much so as I should have been, had not my father's apprehended distresses forced themselves on my attention; and I was distressed by the news of mr Tresham, yet less so than if they had fully occupied my mind. I was neither a false lover nor an unfeeling son; but man can give but a certain portion of distressful emotions to the causes which demand them; and if two operate at once, our sympathy, like the funds of a compounding bankrupt, can only be divided between them.	false	46.34	82.18	17.901823
5333_5097_000007_000002	Such were my reflections when I gained my apartment--it seems, from the illustration, they already began to have a twang of commerce in them.	Such were my reflections when I gained my apartment-it seems, from the illustration, they already began to have a twang of commerce in them.	true	82.43	90.85	19.03652
5333_5097_000008_000000	I set myself seriously to consider your father's letter.	I set myself seriously to consider your father's letter.	true	91.55	95.25	17
