925_8157_000000_000000	II.	two.	false	22.44	23.655	33.069828
925_8157_000000_000001	WHAT YOKES ARE FOR.	WHAT YOKES ARE FOR.	true	23.655	25.39	29.555231
925_8157_000001_000000	There is still one doubt to clear up.	There is still one doubt to clear up.	true	26.36	29.23	22.46519
925_8157_000001_000001	After the statement, "Learn of Me," Christ throws in the disconcerting qualification:	After the statement, "Learn of Me," Christ throws in the disconcerting qualification:	true	29.69	36.69	24
925_8157_000002_000000	"_Take my yoke_ upon you, and learn of Me."	"underscore Take my yoke underscore upon you, and learn of Me."	false	36.69	41.11	20.839827
925_8157_000003_000000	Why, if all this be true, does He call it a _yoke_?	Why, if all this be true, does He call it a underscore yoke underscore?	false	42.17	47.34	25.386618
925_8157_000003_000001	Why, while professing to give Rest, does He with the next breath whisper "_burden_"?	Why, while professing to give Rest, does He with the next breath whisper "underscore burden underscore"?	false	47.34	53.04	25.635704
925_8157_000003_000002	Is the Christian life, after all, what its enemies take it for--an additional weight to the already great woe of life, some extra punctiliousness about duty, some painful devotion to observances, some heavy restriction and trammeling of all that is joyous and free in the world?	Is the Christian life, after all, what its enemies take it for-an additional weight to the already great woe of life, some extra punctiliousness about duty, some painful devotion to observances, some heavy restriction and trammeling of all that is joyous and free in the world?	true	53.04	76.6	20.493393
925_8157_000003_000003	Is life not hard and sorrowful enough without being fettered with yet another yoke?	Is life not hard and sorrowful enough without being fettered with yet another yoke?	true	77.6	84.13	20.617094
925_8157_000004_000000	It is astounding how so glaring a misunderstanding of this plain sentence should ever have passed into currency.	It is astounding how so glaring a misunderstanding of this plain sentence should ever have passed into currency.	true	85.4	94.42	18
925_8157_000004_000001	Did you ever stop to ask what a yoke is really for?	Did you ever stop to ask what a yoke is really for?	true	95.51	99.97	23.126152
925_8157_000004_000002	Is it to be a burden to the animal which wears it?	Is it to be a burden to the animal which wears it?	true	100.76	104.32	22
925_8157_000004_000003	It is just the opposite.	It is just the opposite.	true	105.08	107.74	26.820911
