3368_170952_000000_000000	I entirely agree, he said, in these principles, and promise to make them my laws.	I entirely agree, he said, in these principles, and promise to make them my laws.	false	2.46	21.06	23.69975
3368_170952_000001_000000	BOOK III.	BOOK three.	false	21.06	23.79	23.776075
3368_170952_000002_000000	Such then, I said, are our principles of theology--some tales are to be told, and others are not to be told to our disciples from their youth upwards, if we mean them to honour the gods and their parents, and to value friendship with one another.	Such then, I said, are our principles of theology-some tales are to be told, and others are not to be told to our disciples from their youth upwards, if we mean them to honour the gods and their parents, and to value friendship with one another.	true	23.79	36.97	23.534607
3368_170952_000003_000000	Yes; and I think that our principles are right, he said.	Yes; and I think that our principles are right, he said.	true	36.98	40.51	25.023623
3368_170952_000004_000000	But if they are to be courageous, must they not learn other lessons besides these, and lessons of such a kind as will take away the fear of death?	But if they are to be courageous, must they not learn other lessons besides these, and lessons of such a kind as will take away the fear of death?	true	41.39	49.12	24.465942
3368_170952_000004_000001	Can any man be courageous who has the fear of death in him?	Can any man be courageous who has the fear of death in him?	false	49.34	52.87	21.529184
3368_170952_000005_000000	Certainly not, he said.	Certainly not, he said.	true	53.24	54.85	22.85488
3368_170952_000006_000000	And can he be fearless of death, or will he choose death in battle rather than defeat and slavery, who believes the world below to be real and terrible?	And can he be fearless of death, or will he choose death in battle rather than defeat and slavery, who believes the world below to be real and terrible?	true	55.37	64.095	22.559643
3368_170952_000007_000000	Impossible.	Impossible.	true	64.095	65.23	26.586843
3368_170952_000008_000000	Then we must assume a control over the narrators of this class of tales as well as over the others, and beg them not simply to revile but rather to commend the world below, intimating to them that their descriptions are untrue, and will do harm to our future warriors.	Then we must assume a control over the narrators of this class of tales as well as over the others, and beg them not simply to revile but rather to commend the world below, intimating to them that their descriptions are untrue, and will do harm to our future warriors.	true	65.9	80.71	22.327589
3368_170952_000009_000000	That will be our duty, he said.	That will be our duty, he said.	true	81.38	83.53	29.47673
3368_170952_000010_000000	Then, I said, we shall have to obliterate many obnoxious passages, beginning with the verses,	Then, I said, we shall have to obliterate many obnoxious passages, beginning with the verses,	true	84.08	89.95	23.799007
3368_170952_000011_000000	'I would rather be a serf on the land of a poor and portionless man than rule over all the dead who have come to nought.'	'I would rather be a serf on the land of a poor and portionless man than rule over all the dead who have come to nought.'	true	90.32	96.97	22.725334
3368_170952_000012_000000	We must also expunge the verse, which tells us how Pluto feared,	We must also expunge the verse, which tells us how Pluto feared,	true	97.52	102.36	24.25546
3368_170952_000013_000000	'Lest the mansions grim and squalid which the gods abhor should be seen both of mortals and immortals.'	'Lest the mansions grim and squalid which the gods abhor should be seen both of mortals and immortals.'	false	102.36	108.52	21.296455
3368_170952_000014_000000	And again:--	And again:--	true	108.56	109.39	23.941292
3368_170952_000015_000000	'O heavens! verily in the house of Hades there is soul and ghostly form but no mind at all!'	'O heavens! verily in the house of Hades there is soul and ghostly form but no mind at all!'	true	109.43	115.33	21.996742
3368_170952_000016_000000	Again of Tiresias:--	Again of Tiresias:--	true	116.06	117.52	24.118061
3368_170952_000017_000000	'(To him even after death did Persephone grant mind,) that he alone should be wise; but the other souls are flitting shades.'	'(To him even after death did Persephone grant mind,) that he alone should be wise; but the other souls are flitting shades.'	true	118.25	126.135	24.39834
3368_170952_000018_000000	Again:--	Again:--	true	126.135	126.88	25.465199
3368_170952_000019_000000	'The soul flying from the limbs had gone to Hades, lamenting her fate, leaving manhood and youth.'	'The soul flying from the limbs had gone to Hades, lamenting her fate, leaving manhood and youth.'	true	127.43	133.21	22.45801
3368_170952_000020_000000	Again:--	Again:--	true	134	134.83	27.32084
3368_170952_000021_000000	'And the soul, with shrilling cry, passed like smoke beneath the earth.'	'And the soul, with shrilling cry, passed like smoke beneath the earth.'	true	135.44	139.99	26.40451
3368_170952_000022_000000	And,--	And,--	true	140.06	140.89	28.421608
3368_170952_000023_000000	'As bats in hollow of mystic cavern, whenever any of them has dropped out of the string and falls from the rock, fly shrilling and cling to one another, so did they with shrilling cry hold together as they moved.'	'As bats in hollow of mystic cavern, whenever any of them has dropped out of the string and falls from the rock, fly shrilling and cling to one another, so did they with shrilling cry hold together as they moved.'	true	140.96	153.52	22.46515
3368_170952_000024_000000	And we must beg Homer and the other poets not to be angry if we strike out these and similar passages, not because they are unpoetical, or unattractive to the popular ear, but because the greater the poetical charm of them, the less are they meet for the ears of boys and men who are meant to be free, and who should fear slavery more than death.	And we must beg Homer and the other poets not to be angry if we strike out these and similar passages, not because they are unpoetical, or unattractive to the popular ear, but because the greater the poetical charm of them, the less are they meet for the ears of boys and men who are meant to be free, and who should fear slavery more than death.	true	153.95	173.11	23.234425
3368_170952_000025_000000	Undoubtedly.	Undoubtedly.	true	173.39	174.46	25.233398
3368_170952_000026_000000	Also we shall have to reject all the terrible and appalling names which describe the world below--Cocytus and Styx, ghosts under the earth, and sapless shades, and any similar words of which the very mention causes a shudder to pass through the inmost soul of him who hears them.	Also we shall have to reject all the terrible and appalling names which describe the world below-Cocytus and Styx, ghosts under the earth, and sapless shades, and any similar words of which the very mention causes a shudder to pass through the inmost soul of him who hears them.	false	174.92	191.77	22.892818
3368_170952_000026_000001	I do not say that these horrible stories may not have a use of some kind; but there is a danger that the nerves of our guardians may be rendered too excitable and effeminate by them.	I do not say that these horrible stories may not have a use of some kind; but there is a danger that the nerves of our guardians may be rendered too excitable and effeminate by them.	true	192.17	201.46	22.355747
3368_170952_000027_000000	There is a real danger, he said.	There is a real danger, he said.	true	201.83	204.13	22.478437
3368_170952_000028_000000	Then we must have no more of them.	Then we must have no more of them.	true	204.41	206.37	24.87007
3368_170952_000029_000000	True.	True.	true	206.37	207.07	26.355549
3368_170952_000030_000000	Another and a nobler strain must be composed and sung by us.	Another and a nobler strain must be composed and sung by us.	false	207.17	210.76	22.429792
3368_170952_000031_000000	Clearly.	Clearly.	true	210.95	211.78	23.658588
3368_170952_000032_000000	And shall we proceed to get rid of the weepings and wailings of famous men?	And shall we proceed to get rid of the weepings and wailings of famous men?	true	212.03	215.68	23.059889
3368_170952_000033_000000	They will go with the rest.	They will go with the rest.	true	215.96	217.84	25.23055
3368_170952_000034_000000	But shall we be right in getting rid of them?	But shall we be right in getting rid of them?	true	218.18	220.275	21.047232
3368_170952_000034_000001	Reflect: our principle is that the good man will not consider death terrible to any other good man who is his comrade.	Reflect: our principle is that the good man will not consider death terrible to any other good man who is his comrade.	true	220.275	226.9	22.606485
3368_170952_000035_000000	Yes; that is our principle.	Yes; that is our principle.	true	227.15	228.79	22.805801
3368_170952_000036_000000	And therefore he will not sorrow for his departed friend as though he had suffered anything terrible?	And therefore he will not sorrow for his departed friend as though he had suffered anything terrible?	true	229.16	233.83	23.134863
3368_170952_000037_000000	He will not.	He will not.	true	234.05	235.03	24.976463
3368_170952_000038_000000	Such an one, as we further maintain, is sufficient for himself and his own happiness, and therefore is least in need of other men.	Such an one, as we further maintain, is sufficient for himself and his own happiness, and therefore is least in need of other men.	false	235.67	242.83	23.701277
3368_170952_000039_000000	True, he said.	True, he said.	true	243.35	244.48	22.91297
3368_170952_000040_000000	And for this reason the loss of a son or brother, or the deprivation of fortune, is to him of all men least terrible.	And for this reason the loss of a son or brother, or the deprivation of fortune, is to him of all men least terrible.	true	244.91	252.45	22.61369
3368_170952_000041_000000	Assuredly.	Assuredly.	true	252.45	253.42	26.286024
3368_170952_000042_000000	And therefore he will be least likely to lament, and will bear with the greatest equanimity any misfortune of this sort which may befall him.	And therefore he will be least likely to lament, and will bear with the greatest equanimity any misfortune of this sort which may befall him.	true	253.94	261.43	22.730839
3368_170952_000043_000000	Yes, he will feel such a misfortune far less than another.	Yes, he will feel such a misfortune far less than another.	false	261.74	265.3	22.14058
3368_170952_000044_000000	Then we shall be right in getting rid of the lamentations of famous men, and making them over to women (and not even to women who are good for anything), or to men of a baser sort, that those who are being educated by us to be the defenders of their country may scorn to do the like.	Then we shall be right in getting rid of the lamentations of famous men, and making them over to women (and not even to women who are good for anything), or to men of a baser sort, that those who are being educated by us to be the defenders of their country may scorn to do the like.	true	266	282.04	22.291
3368_170952_000045_000000	That will be very right.	That will be very right.	false	282.53	285.33	26.190052
3368_170952_000046_000000	Then we will once more entreat Homer and the other poets not to depict Achilles, who is the son of a goddess, first lying on his side, then on his back, and then on his face; then starting up and sailing in a frenzy along the shores of the barren sea; now taking the sooty ashes in both his hands and pouring them over his head, or weeping and wailing in the various modes which Homer has delineated.	Then we will once more entreat Homer and the other poets not to depict Achilles, who is the son of a goddess, first lying on his side, then on his back, and then on his face; then starting up and sailing in a frenzy along the shores of the barren sea; now taking the sooty ashes in both his hands and pouring them over his head, or weeping and wailing in the various modes which Homer has delineated.	false	285.33	307.27	22.18096
3368_170952_000046_000001	Nor should he describe Priam the kinsman of the gods as praying and beseeching,	Nor should he describe Priam the kinsman of the gods as praying and beseeching,	true	308	312.04	23.41328
3368_170952_000047_000000	'Rolling in the dirt, calling each man loudly by his name.'	'Rolling in the dirt, calling each man loudly by his name.'	true	312.47	316.33	22.170166
3368_170952_000048_000000	Still more earnestly will we beg of him at all events not to introduce the gods lamenting and saying,	Still more earnestly will we beg of him at all events not to introduce the gods lamenting and saying,	false	316.79	322.03	21.82065
3368_170952_000049_000000	'Alas! my misery!	'Alas! my misery!	true	322.16	323.685	20.845518
3368_170952_000049_000001	Alas! that I bore the bravest to my sorrow.'	Alas! that I bore the bravest to my sorrow.'	true	323.685	326.92	24.202703
3368_170952_000050_000000	But if he must introduce the gods, at any rate let him not dare so completely to misrepresent the greatest of the gods, as to make him say--	But if he must introduce the gods, at any rate let him not dare so completely to misrepresent the greatest of the gods, as to make him say-	true	327.32	335.35	23.201698
3368_170952_000051_000000	'O heavens! with my eyes verily I behold a dear friend of mine chased round and round the city, and my heart is sorrowful.'	'O heavens! with my eyes verily I behold a dear friend of mine chased round and round the city, and my heart is sorrowful.'	true	335.48	343.03	21.75997
3368_170952_000052_000000	Or again:--	Or again:--	true	343.37	344.32	24.127283
3368_170952_000053_000000	Woe is me that I am fated to have Sarpedon, dearest of men to me, subdued at the hands of Patroclus the son of Menoetius.'	Woe is me that I am fated to have Sarpedon, dearest of men to me, subdued at the hands of Patroclus the son of Menoetius.'	false	344.66	353.91	22.438389
3368_170952_000054_000000	For if, my sweet Adeimantus, our youth seriously listen to such unworthy representations of the gods, instead of laughing at them as they ought, hardly will any of them deem that he himself, being but a man, can be dishonoured by similar actions; neither will he rebuke any inclination which may arise in his mind to say and do the like.	For if, my sweet Adeimantus, our youth seriously listen to such unworthy representations of the gods, instead of laughing at them as they ought, hardly will any of them deem that he himself, being but a man, can be dishonoured by similar actions; neither will he rebuke any inclination which may arise in his mind to say and do the like.	false	353.91	374.08	21.893757
3368_170952_000054_000001	And instead of having any shame or self-control, he will be always whining and lamenting on slight occasions.	And instead of having any shame or self control, he will be always whining and lamenting on slight occasions.	true	374.21	380.68	22.294018
3368_170952_000055_000000	Yes, he said, that is most true.	Yes, he said, that is most true.	true	380.99	383.23	24.65959
