1668_136280_000000_000000	CHAPTER XVIII	CHAPTER eighteen	true	4.65	5.67	13
1668_136280_000001_000000	THE NEW SCHOOLMASTER	THE NEW SCHOOLMASTER	false	5.67	6.48	4
1668_136280_000002_000000	Mr. Trigg recalled--His successor--Father O'Keefe--His mild rule and love of angling--My brother is assisted in his studies by the priest-- Happy fishing afternoons--The priest leaves us--How he had been working out his own salvation--We run wild once more--My brother's plan for a journal to be called _The Tin Box_--Our imperious editor's exactions--My little brother revolts--_The Tin Box_ smashed up--The loss it was to me.	mr Trigg recalled-His successor-Father O'Keefe-His mild rule and love of angling-My brother is assisted in his studies by the priest- Happy fishing afternoons-The priest leaves us-How he had been working out his own salvation-We run wild once more-My brother's plan for a journal to be called underscore The Tin Box underscore--Our imperious editor's exactions-My little brother revolts-underscore The Tin Box underscore smashed up-The loss it was to me.	false	6.48	21.93	17.076208
1668_136280_000003_000000	The account of our schooling days under Mr. Trigg was given so far back in this history that the reader will have little recollection of it.	The account of our schooling days under mr Trigg was given so far back in this history that the reader will have little recollection of it.	false	21.93	28.18	14
1668_136280_000003_000001	Mr. Trigg was in a small way a sort of Jekyll and Hyde, all pleasantness in one of his states and all black looks and truculence in the other; so that out of doors and at table we children would say to ourselves in astonishment, "Is this our schoolmaster?" but when in school we would ask, "Is this Mr. Trigg?" But, as I have related, he had been forbidden to inflict corporal punishment on us, and was finally got rid of because in one of his demoniacal moods he thrashed us brutally with his horsewhip.	mr Trigg was in a small way a sort of Jekyll and Hyde, all pleasantness in one of his states and all black looks and truculence in the other; so that out of doors and at table we children would say to ourselves in astonishment, "Is this our schoolmaster?" but when in school we would ask, "Is this mr Trigg?" But, as I have related, he had been forbidden to inflict corporal punishment on us, and was finally got rid of because in one of his demoniacal moods he thrashed us brutally with his horsewhip.	false	28.61	55.12	18.426926
1668_136280_000003_000002	When this occurred we, to our regret, were not permitted to go back to our aboriginal condition of young barbarians: some restraint, some teaching was still imposed upon us by our mother, who took, or rather tried to take, this additional burden on herself.	When this occurred we, to our regret, were not permitted to go back to our aboriginal condition of young barbarians: some restraint, some teaching was still imposed upon us by our mother, who took, or rather tried to take, this additional burden on herself.	true	56.36	71.04	19.033825
1668_136280_000003_000003	Accordingly, we had to meet with our lesson-books and spend three or four hours every morning with her, or in the schoolroom without her, for she was constantly being called away, and when present a portion of the time was spent in a little talk which was not concerned with our lessons.	Accordingly, we had to meet with our lesson books and spend three or four hours every morning with her, or in the schoolroom without her, for she was constantly being called away, and when present a portion of the time was spent in a little talk which was not concerned with our lessons.	true	71.04	84.91	17
1668_136280_000003_000004	For we moved and breathed and had our being in a strange moral atmosphere, where lawless acts were common and evil and good were scarcely distinguishable, and all this made her more anxious about our spiritual than our mental needs.	For we moved and breathed and had our being in a strange moral atmosphere, where lawless acts were common and evil and good were scarcely distinguishable, and all this made her more anxious about our spiritual than our mental needs.	true	85.91	97.39	17
1668_136280_000004_000000	My two elder brothers did not attend, as they had long discovered that their only safe plan was to be their own schoolmasters, and it was even more than she could manage very well to keep the four smaller ones to their tasks.	My two elder brothers did not attend, as they had long discovered that their only safe plan was to be their own schoolmasters, and it was even more than she could manage very well to keep the four smaller ones to their tasks.	true	98.99	109.78	14
1668_136280_000004_000001	She sympathized too much with our impatience at confinement when sun and wind and the cries of wild birds called insistently to us to come out and be alive and enjoy ourselves in our own way.	She sympathized too much with our impatience at confinement when sun and wind and the cries of wild birds called insistently to us to come out and be alive and enjoy ourselves in our own way.	true	110.24	121.09	13
1668_136280_000005_000000	At this stage a successor to Mr. Trigg, a real schoolmaster, was unexpectedly found for us in the person of Father O'Keefe, an Irish priest without a cure and with nothing to do.	At this stage a successor to mr Trigg, a real schoolmaster, was unexpectedly found for us in the person of Father O'Keefe, an Irish priest without a cure and with nothing to do.	false	122.9	133.06	14
1668_136280_000005_000001	Some friends of my father, on one of his periodical visits to Buenos Ayres, mentioned this person to him-this priest who in his wanderings about the world had drifted hither and was anxious to find some place to stay at out on the plains while waiting for something to turn up.	Some friends of my father, on one of his periodical visits to Buenos Ayres, mentioned this person to him this priest who in his wanderings about the world had drifted hither and was anxious to find some place to stay at out on the plains while waiting for something to turn up.	false	133.67	148.3	17
1668_136280_000005_000002	As he was without means he said he would be glad of the position of schoolmaster in the house for a time, that it would exactly suit him.	As he was without means he said he would be glad of the position of schoolmaster in the house for a time, that it would exactly suit him.	true	148.58	155.59	18
1668_136280_000006_000000	Father O'Keefe, who now appeared on the scene, was very unlike Mr. Trigg; he was a very big man in black but rusty clerical garments.	Father O'Keefe, who now appeared on the scene, was very unlike mr Trigg; he was a very big man in black but rusty clerical garments.	true	156.98	165.61	19
1668_136280_000006_000001	He also had an extraordinarily big head and face, all of a dull, reddish colour, usually covered with a three or four days' growth of grizzly hair.	He also had an extraordinarily big head and face, all of a dull, reddish colour, usually covered with a three or four days' growth of grizzly hair.	true	165.89	174.43	15
1668_136280_000006_000002	Although his large face was unmistakably, intensely Irish, it was not the gorilla-like countenance so common in the Irish peasant- priest--the priest one sees every day in the streets of Dublin.	Although his large face was unmistakably, intensely Irish, it was not the gorilla like countenance so common in the Irish peasant priest-the priest one sees every day in the streets of Dublin.	false	175.01	185.92	21.40656
1668_136280_000006_000003	He was, perhaps, of a better class, as his features were all good.	He was, perhaps, of a better class, as his features were all good.	true	186.05	189.88	23.474249
1668_136280_000006_000004	A heavy man as well as a big one, he was not so amusing and so fluent a talker out of school as his predecessor, nor, as we were delighted to discover, so exacting and tyrannical in school.	A heavy man as well as a big one, he was not so amusing and so fluent a talker out of school as his predecessor, nor, as we were delighted to discover, so exacting and tyrannical in school.	true	190.1	200.35	20.82694
1668_136280_000006_000005	On the contrary, in and out of school he was always the same, mild and placid in temper, with a gentle sort of humour, and he was also very absent-minded.	On the contrary, in and out of school he was always the same, mild and placid in temper, with a gentle sort of humour, and he was also very absent minded.	false	200.6	209.5	22
1668_136280_000006_000006	He would forget all about school hours, roam about the gardens and plantations, get into long conversations with the workmen, and eventually, when he found that he was somewhat too casual to please his employer, he enjoined us to "look him up" and let him know when it was school-time.	He would forget all about school hours, roam about the gardens and plantations, get into long conversations with the workmen, and eventually, when he found that he was somewhat too casual to please his employer, he enjoined us to "look him up" and let him know when it was school time.	true	209.81	223.66	21.307117
1668_136280_000006_000007	Looking him up usually took a good deal of time.	Looking him up usually took a good deal of time.	true	223.88	227.2	26.582823
1668_136280_000006_000008	His teaching was not very effective.	His teaching was not very effective.	true	227.84	229.96	19.938871
1668_136280_000006_000009	He could not be severe nor even passably strict, and never punished us in any way.	He could not be severe nor even passably strict, and never punished us in any way.	false	230.09	234.7	21.24092
1668_136280_000006_000010	When lessons were not learned he would sympathize with and comfort us by saying we had done our best and more could not be expected.	When lessons were not learned he would sympathize with and comfort us by saying we had done our best and more could not be expected.	true	234.77	241.15	24.376297
1668_136280_000006_000011	He was also glad of any excuse to let us off for half-a-day.	He was also glad of any excuse to let us off for half a day.	true	241.34	244.99	23.26294
1668_136280_000006_000012	We found out that he was exceedingly fond of fishing--that with a rod and line in his hand he would spend hours of perfect happiness, even without a bite to cheer him, and on any fine day that called us to the plain we would tell him that it was a perfect day for fishing, and ask him to let us off for the afternoon.	We found out that he was exceedingly fond of fishing-that with a rod and line in his hand he would spend hours of perfect happiness, even without a bite to cheer him, and on any fine day that called us to the plain we would tell him that it was a perfect day for fishing, and ask him to let us off for the afternoon.	true	245.03	260.56	23.623447
1668_136280_000006_000013	At dinner time he would broach the subject and say the children had been very hard at their studies all the morning, and that it would be a mistake to force their young minds too much, that all work and no play makes Jack a dull boy, and so on and so forth, and that he considered it would be best for them, instead of going back to more lessons in the afternoon, to go for a ride.	At dinner time he would broach the subject and say the children had been very hard at their studies all the morning, and that it would be a mistake to force their young minds too much, that all work and no play makes Jack a dull boy, and so on and so forth, and that he considered it would be best for them, instead of going back to more lessons in the afternoon, to go for a ride.	false	260.69	278.5	22.926636
1668_136280_000006_000014	He always gained his point, and dinner over we would rush out to catch and saddle our horses, and one for Father O'Keefe.	He always gained his point, and dinner over we would rush out to catch and saddle our horses, and one for Father O'Keefe.	false	278.81	285.28	21.543974
1668_136280_000007_000000	The younger of our two elder brothers, the sportsman and fighter, and our leader and master in all our outdoor pastimes and peregrinations, had taken to the study of mathematics with tremendous enthusiasm, the same temper which he displayed in every subject and exercise that engaged him--fencing, boxing, shooting, hunting, and so on; and on Father O'Keefe's engagement he was anxious to know if the new master would be any use to him.	The younger of our two elder brothers, the sportsman and fighter, and our leader and master in all our outdoor pastimes and peregrinations, had taken to the study of mathematics with tremendous enthusiasm, the same temper which he displayed in every subject and exercise that engaged him-fencing, boxing, shooting, hunting, and so on; and on Father O'Keefe's engagement he was anxious to know if the new master would be any use to him.	true	286.55	311.53	16
1668_136280_000007_000001	The priest had sent a most satisfactory reply; he would be delighted to assist the young gentleman with his mathematics, and to help him over all his difficulties; it was accordingly arranged that my brother was to have an early hour each morning with the master before school hours, and an hour or two in the evening.	The priest had sent a most satisfactory reply; he would be delighted to assist the young gentleman with his mathematics, and to help him over all his difficulties; it was accordingly arranged that my brother was to have an early hour each morning with the master before school hours, and an hour or two in the evening.	true	311.87	327.94	14
1668_136280_000007_000002	Very soon it began to appear that the studies were not progressing smoothly; the priest would come forth as usual with a smiling, placid countenance, my brother with a black scowl on his face, and gaining his room, he would hurl his books down and protest in violent language that the O'Keefe was a perfect fraud, that he knew as much of the infinitesimal calculus as a gaucho on horseback or a wild Indian.	Very soon it began to appear that the studies were not progressing smoothly; the priest would come forth as usual with a smiling, placid countenance, my brother with a black scowl on his face, and gaining his room, he would hurl his books down and protest in violent language that the O'Keefe was a perfect fraud, that he knew as much of the infinitesimal calculus as a gaucho on horseback or a wild Indian.	true	328.43	349.9	17
1668_136280_000007_000003	Then, beginning to see it in a humorous light, he would shout with laughter at the priest's pretentions to know anything, and would say he was only fit to teach babies just out of the cradle to say their ABC.	Then, beginning to see it in a humorous light, he would shout with laughter at the priest's pretentions to know anything, and would say he was only fit to teach babies just out of the cradle to say their a b c.	true	350.48	361.06	19
1668_136280_000007_000004	He only wished the priest had also pretended to some acquaintance with the manly art, so that they could have a few bouts with the gloves on, as it would have been a great pleasure to bruise that big humbugging face black and blue.	He only wished the priest had also pretended to some acquaintance with the manly art, so that they could have a few bouts with the gloves on, as it would have been a great pleasure to bruise that big humbugging face black and blue.	true	361.67	373.81	18
1668_136280_000008_000000	The mathematical lessons soon ceased altogether, but whenever an afternoon outing was arranged my brother would throw aside his books to join us and take the lead.	The mathematical lessons soon ceased altogether, but whenever an afternoon outing was arranged my brother would throw aside his books to join us and take the lead.	true	375.29	383.97	17
1668_136280_000008_000001	The ride to the river, he would say, would give us the opportunity for a little cavalry training and lance- throwing exercise.	The ride to the river, he would say, would give us the opportunity for a little cavalry training and lance throwing exercise.	false	383.97	390.55	14
1668_136280_000008_000002	In the cane-brake he would cut long, straight canes for lances, which at the fishing-ground would be cut down to a proper length for rods.	In the cane brake he would cut long, straight canes for lances, which at the fishing ground would be cut down to a proper length for rods.	true	391.01	398.44	18
1668_136280_000008_000003	Then, mounting, we would set off, O'Keefe ahead, absorbed as usual in his own thoughts, while we at a distance of a hundred yards or so would form in line and go through our evolutions, chasing the flying enemy, O'Keefe; and at intervals our commander would give the order to charge, whereupon we would dash forward with a shout, and when about forty yards from him we would all hurl our lances so as to make them fall just at the feet of his horse.	Then, mounting, we would set off, O'Keefe ahead, absorbed as usual in his own thoughts, while we at a distance of a hundred yards or so would form in line and go through our evolutions, chasing the flying enemy, O'Keefe; and at intervals our commander would give the order to charge, whereupon we would dash forward with a shout, and when about forty yards from him we would all hurl our lances so as to make them fall just at the feet of his horse.	false	398.75	421.87	14
1668_136280_000008_000004	In this way we would charge him a dozen or twenty times before getting to our destination, but never once would he turn his head or have any inkling of our carryings-on in the rear, even when his horse lashed out viciously with his hind legs at the lances when they fell too near his feet.	In this way we would charge him a dozen or twenty times before getting to our destination, but never once would he turn his head or have any inkling of our carryings on in the rear, even when his horse lashed out viciously with his hind legs at the lances when they fell too near his feet.	true	422.63	437.14	18
1668_136280_000009_000000	We enjoyed the advantage of the O'Keefe regime for about a year, then one day, in his usual casual manner, without a hint as to how his private affairs were going, he said that he had to go somewhere to see some one about something, and we saw him no more.	We enjoyed the advantage of the O'Keefe regime for about a year, then one day, in his usual casual manner, without a hint as to how his private affairs were going, he said that he had to go somewhere to see some one about something, and we saw him no more.	true	438.56	452.83	16
1668_136280_000009_000001	However, news of his movements and a good deal of information about him reached us incidentally, from all which it appeared that during his time with us, and for some months previously, Father O'Keefe had been working out his own salvation in a quiet way in accordance with a rather elaborate plan which he had devised.	However, news of his movements and a good deal of information about him reached us incidentally, from all which it appeared that during his time with us, and for some months previously, Father O'Keefe had been working out his own salvation in a quiet way in accordance with a rather elaborate plan which he had devised.	true	453.59	470.08	15
1668_136280_000009_000002	Before he became our teacher he had lived in some priestly establishment in the capital, and had been a hanger- on at the Bishop's palace, waiting for a benefice or for some office, and at length, tired of waiting in vain, he had quietly withdrawn himself from this society and had got into communication with one of the Protestant clergymen of the town.	Before he became our teacher he had lived in some priestly establishment in the capital, and had been a hanger on at the Bishop's palace, waiting for a benefice or for some office, and at length, tired of waiting in vain, he had quietly withdrawn himself from this society and had got into communication with one of the Protestant clergymen of the town.	true	470.48	488.8	17
1668_136280_000009_000003	He intimated or insinuated that he had long been troubled with certain scruples, that his conscience demanded a little more liberty than his church would allow its followers, and this had caused him to cast a wistful eye on that other church whose followers were, alas! accorded a little more liberty than was perhaps good for their souls.	He intimated or insinuated that he had long been troubled with certain scruples, that his conscience demanded a little more liberty than his church would allow its followers, and this had caused him to cast a wistful eye on that other church whose followers were, alas! accorded a little more liberty than was perhaps good for their souls.	true	489.77	506.86	19.934172
1668_136280_000009_000004	But he didn't know, and in any case he would like to correspond on these important matters with one on the other side.	But he didn't know, and in any case he would like to correspond on these important matters with one on the other side.	true	507.26	513.13	23.555342
1668_136280_000009_000005	This letter met with a warm response, and there was much correspondence and meetings with other clerics-Anglican or Episcopalian, I forget which.	This letter met with a warm response, and there was much correspondence and meetings with other clerics Anglican or Episcopalian, I forget which.	true	513.77	521.35	22.439556
