1112_128138_000003_000000	Mr. Ian Hamilton's Ballad of Hadji is undeniably clever.	mr Ian Hamilton's Ballad of Hadji is undeniably clever.
1112_128138_000003_000001	Hadji is a wonderful Arab horse that a reckless hunter rides to death in the pursuit of a wild boar, and the moral of the poem--for there is a moral--seems to be that an absorbing passion is a very dangerous thing and blunts the human sympathies.	Hadji is a wonderful Arab horse that a reckless hunter rides to death in the pursuit of a wild boar, and the moral of the poem-for there is a moral-seems to be that an absorbing passion is a very dangerous thing and blunts the human sympathies.
1112_128138_000003_000002	In the course of the chase a little child is drowned, a Brahmin maiden murdered, and an aged peasant severely wounded, but the hunter cares for none of these things and will not hear of stopping to render any assistance.	In the course of the chase a little child is drowned, a Brahmin maiden murdered, and an aged peasant severely wounded, but the hunter cares for none of these things and will not hear of stopping to render any assistance.
1112_128138_000003_000003	Some of the stanzas are very graceful, notably one beginning	Some of the stanzas are very graceful, notably one beginning
1112_128138_000004_000000	Yes--like a bubble filled with smoke-- The curd-white moon upswimming broke The vacancy of space;	Yes-like a bubble filled with smoke- The curd white moon upswimming broke The vacancy of space;
1112_128138_000005_000000	but such lines as the following, which occur in the description of the fight with the boar--	but such lines as the following, which occur in the description of the fight with the boar-
1112_128138_000006_000000	I hung as close as keepsake locket On maiden breast--but from its socket He wrenched my bridle arm,	I hung as close as keepsake locket On maiden breast-but from its socket He wrenched my bridle arm,
1112_128138_000007_000000	are dreadful, and 'his brains festooned the thorn' is not a very happy way of telling the reader how the boar died.	are dreadful, and 'his brains festooned the thorn' is not a very happy way of telling the reader how the boar died.
1112_128138_000007_000001	All through the volume we find the same curious mixture of good and bad.	All through the volume we find the same curious mixture of good and bad.
1112_128138_000007_000002	To say that the sun kisses the earth 'with flame-moustachoed lip' is awkward and uncouth, and yet the poem in which the expression occurs has some pretty lines.	To say that the sun kisses the earth 'with flame moustachoed lip' is awkward and uncouth, and yet the poem in which the expression occurs has some pretty lines.
1112_128138_000007_000003	Mr. Ian Hamilton should prune.	mr Ian Hamilton should prune.
1112_128138_000007_000005	The volume is nicely printed, but Mr. Strang's frontispiece is not a great success, and most of the tail-pieces seem to have been designed without any reference to the size of the page.	The volume is nicely printed, but mr Strang's frontispiece is not a great success, and most of the tail pieces seem to have been designed without any reference to the size of the page.
1112_128138_000008_000001	It is heavy, abstract and prosaic, and shows how intolerably dull a man can be who has the best intentions and the most earnest beliefs.	It is heavy, abstract and prosaic, and shows how intolerably dull a man can be who has the best intentions and the most earnest beliefs.
1112_128138_000008_000002	In the rest of the volume, where Mr. Catty does not take himself quite so seriously, there are some rather pleasing things.	In the rest of the volume, where mr Catty does not take himself quite so seriously, there are some rather pleasing things.
1112_128138_000008_000003	The sonnet on Shelley's room at University College would be admirable but for the unmusical character of the last line.	The sonnet on Shelley's room at University College would be admirable but for the unmusical character of the last line.
