1112_128138_000000_000000	George Sand.	George Sand.	false	3.36	7.86	15.873887
1112_128138_000000_000001	By the late Elme Marie Caro.	By the late Elme Marie Caro.	false	7.86	20.85	22.011324
1112_128138_000000_000002	Translated by Gustave Masson, B.A., Assistant Master, Harrow School. 'Great French Writers' Series. (Routledge and Sons.)	Translated by Gustave Masson, b a, Assistant Master, Harrow School. 'Great French Writers' Series. (Routledge and Sons.)	false	20.85	26.76	21.707645
1112_128138_000001_000000	THE POETS' CORNER--VII	THE POETS' CORNER-seven	false	26.76	28.89	23.828833
1112_128138_000002_000000	(Pall Mall Gazette, October 24, 1888.)	(Pall Mall Gazette, october twenty fourth eighteen eighty eight.)	false	28.89	33.04	22.374454
1112_128138_000003_000000	Mr. Ian Hamilton's Ballad of Hadji is undeniably clever.	mr Ian Hamilton's Ballad of Hadji is undeniably clever.	true	33.74	39.19	21.084377
1112_128138_000003_000001	Hadji is a wonderful Arab horse that a reckless hunter rides to death in the pursuit of a wild boar, and the moral of the poem--for there is a moral--seems to be that an absorbing passion is a very dangerous thing and blunts the human sympathies.	Hadji is a wonderful Arab horse that a reckless hunter rides to death in the pursuit of a wild boar, and the moral of the poem-for there is a moral-seems to be that an absorbing passion is a very dangerous thing and blunts the human sympathies.	true	39.56	56.2	20.118158
1112_128138_000003_000002	In the course of the chase a little child is drowned, a Brahmin maiden murdered, and an aged peasant severely wounded, but the hunter cares for none of these things and will not hear of stopping to render any assistance.	In the course of the chase a little child is drowned, a Brahmin maiden murdered, and an aged peasant severely wounded, but the hunter cares for none of these things and will not hear of stopping to render any assistance.	true	56.81	70.63	21.082903
1112_128138_000003_000003	Some of the stanzas are very graceful, notably one beginning	Some of the stanzas are very graceful, notably one beginning	true	71.03	75.19	20.33318
1112_128138_000004_000000	Yes--like a bubble filled with smoke-- The curd-white moon upswimming broke The vacancy of space;	Yes-like a bubble filled with smoke- The curd white moon upswimming broke The vacancy of space;	true	75.68	84.7	23.595509
1112_128138_000005_000000	but such lines as the following, which occur in the description of the fight with the boar--	but such lines as the following, which occur in the description of the fight with the boar-	true	85.82	90.82	21.136831
1112_128138_000006_000000	I hung as close as keepsake locket On maiden breast--but from its socket He wrenched my bridle arm,	I hung as close as keepsake locket On maiden breast-but from its socket He wrenched my bridle arm,	true	91.46	98.98	21.891748
1112_128138_000007_000000	are dreadful, and 'his brains festooned the thorn' is not a very happy way of telling the reader how the boar died.	are dreadful, and 'his brains festooned the thorn' is not a very happy way of telling the reader how the boar died.	true	99.65	109	21.321926
1112_128138_000007_000001	All through the volume we find the same curious mixture of good and bad.	All through the volume we find the same curious mixture of good and bad.	true	109.67	114.61	21.372675
1112_128138_000007_000002	To say that the sun kisses the earth 'with flame-moustachoed lip' is awkward and uncouth, and yet the poem in which the expression occurs has some pretty lines.	To say that the sun kisses the earth 'with flame moustachoed lip' is awkward and uncouth, and yet the poem in which the expression occurs has some pretty lines.	true	114.65	126.94	22.776772
1112_128138_000007_000003	Mr. Ian Hamilton should prune.	mr Ian Hamilton should prune.	true	127.34	130.3	22.168705
1112_128138_000007_000004	Pruning, whether in the garden or in the study, is a most healthy and useful employment.	Pruning, whether in the garden or in the study, is a most healthy and useful employment.	false	130.34	137.11	21.330967
