5672_75791_000000_000000	When it was the Five Hundred and Sixty-sixth Night,	When it was the Five Hundred and Sixty sixth Night,
5672_75791_000001_000000	She said, It hath reached me, O auspicious King, that Sindbad the Seaman thus continued:--When I smote the serpent on the head with my golden staff she cast the man forth of her mouth.	She said, It hath reached me, O auspicious King, that Sindbad the Seaman thus continued:--When I smote the serpent on the head with my golden staff she cast the man forth of her mouth.
5672_75791_000001_000003	Then I gave the wand of gold to him whom I had delivered from the serpent and bade him farewell, and my friend took me on his back and flew with me as before, till he brought me to the city and set me down in my own house.	Then I gave the wand of gold to him whom I had delivered from the serpent and bade him farewell, and my friend took me on his back and flew with me as before, till he brought me to the city and set me down in my own house.
5672_75791_000001_000005	Then we embarked, I and my wife, with all our moveables, leaving our houses and domains and so forth, and set sail, and ceased not sailing from island to island and from sea to sea, with a fair wind and a favouring, till we arrived at Bassorah safe and sound.	Then we embarked, I and my wife, with all our moveables, leaving our houses and domains and so forth, and set sail, and ceased not sailing from island to island and from sea to sea, with a fair wind and a favouring, till we arrived at Bassorah safe and sound.
5672_75791_000001_000006	I made no stay there, but freighted another vessel and, transferring my goods to her, set out forthright for Baghdad-city, where I arrived in safety, and entering my quarter and repairing to my house, foregathered with my family and friends and familiars who laid up my goods in my warehouses.	I made no stay there, but freighted another vessel and, transferring my goods to her, set out forthright for Baghdad city, where I arrived in safety, and entering my quarter and repairing to my house, foregathered with my family and friends and familiars who laid up my goods in my warehouses.
5672_75791_000001_000008	Then I forswore travel and vowed to Allah the Most High I would venture no more by land or sea, for that this seventh and last voyage had surfeited me of travel and adventure; and I thanked the Lord (be He praised and glorified!), and blessed Him for having restored me to my kith and kin and country and home.	Then I forswore travel and vowed to Allah the Most High I would venture no more by land or sea, for that this seventh and last voyage had surfeited me of travel and adventure; and I thanked the Lord (be He praised and glorified!), and blessed Him for having restored me to my kith and kin and country and home.
5672_75791_000002_000000	A Translation of The Seventh Voyage of Sindbad the Seaman	A Translation of The Seventh Voyage of Sindbad the Seaman
5672_75791_000003_000000	according to the version of the Calcutta Edition	according to the version of the Calcutta Edition
5672_75791_000004_000000	which differs in essential form from the preceding tale	which differs in essential form from the preceding tale
5672_75791_000005_000000	Know, O my brothers and friends and companions all, that when I left voyaging and commercing, I said in myself, "Sufficeth me that hath befallen me;" and I spent my time in solace and pleasure.	Know, O my brothers and friends and companions all, that when I left voyaging and commercing, I said in myself, "Sufficeth me that hath befallen me;" and I spent my time in solace and pleasure.
5672_75791_000005_000002	I trembled at these words and rejoined, "By Allah the Omnipotent, O my lord, I have taken a loathing to wayfare, and when I hear the words 'Voyage' or 'Travel,' my limbs tremble for what hath befallen me of hardships and horrors.	I trembled at these words and rejoined, "By Allah the Omnipotent, O my lord, I have taken a loathing to wayfare, and when I hear the words 'Voyage' or 'Travel,' my limbs tremble for what hath befallen me of hardships and horrors.
5672_75791_000005_000004	Then I dropped down from Baghdad to the Gulf, and with other merchants embarked, and our ship sailed before a fair wind many days and nights till, by Allah's aid, we reached the island of Sarandib.	Then I dropped down from Baghdad to the Gulf, and with other merchants embarked, and our ship sailed before a fair wind many days and nights till, by Allah's aid, we reached the island of Sarandib.
5672_75791_000005_000005	As soon as we had made fast we landed and I took the present and the letter; and, going in with them to the King, kissed ground before him.	As soon as we had made fast we landed and I took the present and the letter; and, going in with them to the King, kissed ground before him.
5672_75791_000005_000007	By Allah Omnipotent we were longing to see thee, and glory be to God who hath again shown us thy face!" Then taking me by the hand he made me sit by his side, rejoicing, and he welcomed me with familiar kindness again and entreated me as a friend.	By Allah Omnipotent we were longing to see thee, and glory be to God who hath again shown us thy face!" Then taking me by the hand he made me sit by his side, rejoicing, and he welcomed me with familiar kindness again and entreated me as a friend.
5672_75791_000005_000012	But after.	But after.
5672_75791_000005_000014	Some days after I craved his leave to depart, but could not obtain it except by great pressing, whereupon I farewelled him and fared forth from his city, with merchants and other companions, homewards-bound without any desire for travel or companions, homewards-bound without any desire for travel or trade.	Some days after I craved his leave to depart, but could not obtain it except by great pressing, whereupon I farewelled him and fared forth from his city, with merchants and other companions, homewards bound without any desire for travel or companions, homewards bound without any desire for travel or trade.
5672_75791_000005_000015	We continued voyaging and coasting along many islands; but, when we were half-way, we were surrounded by a number of canoes, wherein were men like devils armed with bows and arrows, swords and daggers; habited in mail- coats and other armoury.	We continued voyaging and coasting along many islands; but, when we were half-way, we were surrounded by a number of canoes, wherein were men like devils armed with bows and arrows, swords and daggers; habited in mail coats and other armoury.
5672_75791_000005_000016	They fell upon us and wounded and slew all who opposed them; then, having captured the ship and her contents, carried us to an island, where they sold us at the meanest price.	They fell upon us and wounded and slew all who opposed them; then, having captured the ship and her contents, carried us to an island, where they sold us at the meanest price.
